        Frequency / GHz                S1,1 (W=0.9)/abs,dB
               5.6704001                      -4.8885543
               5.6968002                      -4.9569584
               5.7231998                      -5.0268645
               5.7495999                      -5.0982303
                   5.776                      -5.1710157
               5.8024001                      -5.2451879
               5.8288002                      -5.3207221
               5.8551998                      -5.3976063
               5.8815999                      -5.4758352
                   5.908                      -5.5554191
               5.9344001                      -5.6363808
               5.9608002                      -5.7187506
               5.9871998                      -5.8025812
               6.0135999                      -5.8879348
                    6.04                      -5.9748919
               6.0664001                      -6.0635439
               6.0928001                      -6.1540004
               6.1192002                      -6.2463863
               6.1455998                      -6.3408404
               6.1719999                      -6.4375172
                  6.1984                      -6.5365847
               6.2248001                      -6.6382255
               6.2512002                      -6.7426362
               6.2775998                      -6.8500253
               6.3039999                      -6.9606126
                  6.3304                      -7.0746319
               6.3568001                       -7.192323
               6.3832002                      -7.3139387
               6.4095998                      -7.4397355
               6.4359999                      -7.5699817
                  6.4624                      -7.7049458
                  6.4888                      -7.8449003
               6.5152001                      -7.9901223
               6.5416002                      -8.1408833
               6.5679998                      -8.2974526
               6.5943999                      -8.4600927
                  6.6208                       -8.629056
               6.6472001                       -8.804579
               6.6736002                      -8.9868795
               6.6999998                      -9.1761462
               6.7263999                       -9.372538
                  6.7528                      -9.5761719
               6.7792001                       -9.787113
               6.8056002                      -10.005361
               6.8319998                      -10.230843
               6.8583999                      -10.463391
                  6.8848                      -10.702723
                  6.9112                      -10.948429
               6.9376001                      -11.199933
               6.9640002                      -11.456482
               6.9903998                      -11.717102
               7.0167999                      -11.980573
                  7.0432                      -12.245398
               7.0696001                      -12.509777
               7.0960002                      -12.771576
               7.1223998                      -13.028327
               7.1487999                      -13.277228
                  7.1752                      -13.515178
               7.2016001                      -13.738839
               7.2280002                      -13.944732
               7.2543998                      -14.129379
               7.2807999                      -14.289476
                  7.3072                      -14.422082
                  7.3336                      -14.524823
               7.3600001                      -14.596065
               7.3864002                      -14.635051
               7.4127998                      -14.641952
               7.4391999                      -14.617867
                  7.4656                      -14.564717
               7.4920001                      -14.485104
               7.5184002                      -14.382117
               7.5447998                      -14.259136
               7.5711999                      -14.119643
                  7.5976                      -13.967064
               7.6240001                      -13.804649
               7.6504002                      -13.635382
               7.6767998                      -13.461942
               7.7031999                      -13.286678
                  7.7296                      -13.111608
                   7.756                       -12.93844
               7.7824001                        -12.7686
               7.8088002                      -12.603258
               7.8351998                      -12.443362
               7.8615999                      -12.289675
                   7.888                      -12.142799
               7.9144001                      -12.003204
               7.9408002                      -11.871259
               7.9671998                      -11.747246
               7.9935999                      -11.631384
               8.0200005                      -11.523845
               8.0464001                      -11.424764
               8.0727997                      -11.334261
               8.0992002                       -11.25244
               8.1255999                      -11.179409
               8.1520004                      -11.115278
                  8.1784                      -11.060174
               8.2047997                       -11.01424
               8.2312002                      -10.977646
               8.2575998                      -10.950587
               8.2840004                      -10.933294
                  8.3104                      -10.926028
               8.3367996                      -10.929091
               8.3632002                      -10.942829
               8.3895998                      -10.967626
               8.4160004                      -11.003915
                  8.4424                      -11.052176
               8.4687996                       -11.11294
               8.4952002                      -11.186788
               8.5215998                      -11.274364
               8.5480003                      -11.376359
               8.5743999                      -11.493528
               8.6007996                      -11.626686
               8.6272001                      -11.776709
               8.6535997                      -11.944534
               8.6800003                      -12.131153
               8.7063999                      -12.337612
               8.7327995                      -12.564995
               8.7592001                      -12.814402
               8.7855997                      -13.086921
               8.8120003                      -13.383566
               8.8383999                      -13.705201
               8.8648005                      -14.052407
               8.8912001                      -14.425286
               8.9175997                      -14.823166
               8.9440002                      -15.244179
               8.9703999                      -15.684628
               8.9968004                      -16.138152
                  9.0232                      -16.594609
               9.0495996                      -17.038841
               9.0760002                      -17.449594
               9.1023998                      -17.799328
               9.1288004                      -18.055999
                  9.1552                      -18.187769
               9.1815996                        -18.1703
               9.2080002                      -17.994019
               9.2343998                       -17.66736
               9.2608004                       -17.21394
                  9.2872                      -16.665475
               9.3135996                      -16.054351
               9.3400002                      -15.408695
               9.3663998                      -14.750395
               9.3928003                      -14.095184
               9.4191999                      -13.453684
               9.4455996                      -12.832643
               9.4720001                      -12.236063
               9.4983997                      -11.666062
               9.5248003                      -11.123516
               9.5511999                      -10.608491
               9.5775995                       -10.12055
               9.6040001                      -9.6589535
               9.6303997                       -9.222789
               9.6568003                      -8.8110617
               9.6831999                      -8.4227416
               9.7096004                      -8.0567997
               9.7360001                      -7.7122349
               9.7623997                      -7.3880711
               9.7888002                      -7.0833759
               9.8151999                       -6.797254
               9.8416004                      -6.5288492
                   9.868                      -6.2773409
               9.8943996                      -6.0419398
               9.9208002                        -5.82189
               9.9471998                      -5.6164575
               9.9736004                      -5.4249318
                      10                       -5.246619
                 10.0264                      -5.0808468
                 10.0528                      -4.9269525
                 10.0792                      -4.7842826
                 10.1056                      -4.6521977
                  10.132                       -4.530064
                 10.1584                      -4.4172591
                 10.1848                      -4.3131654
                 10.2112                      -4.2171766
                 10.2376                      -4.1286963
                  10.264                      -4.0471435
                 10.2904                      -3.9719475
                 10.3168                      -3.9025585
                 10.3432                      -3.8384474
                 10.3696                      -3.7791109
                  10.396                      -3.7240753
                 10.4224                      -3.6729009
                 10.4488                      -3.6251873
                 10.4752                      -3.5805738
                 10.5016                      -3.5387474
                  10.528                      -3.4994441
                 10.5544                      -3.4624515
                 10.5808                      -3.4276103
                 10.6072                      -3.3948173
                 10.6336                      -3.3640231
                   10.66                       -3.335231
                 10.6864                      -3.3084968
                 10.7128                      -3.2839244
                 10.7392                      -3.2616648
                 10.7656                       -3.241907
                  10.792                      -3.2248779
                 10.8184                      -3.2108344
                 10.8448                      -3.2000544
                 10.8712                      -3.1928417
                 10.8976                      -3.1895061
                  10.924                        -3.19037
                 10.9504                      -3.1957518
                 10.9768                      -3.2059706
                 11.0032                      -3.2213347
                 11.0296                      -3.2421381
                  11.056                       -3.268657
                 11.0824                      -3.3011444
                 11.1088                      -3.3398287
                 11.1352                       -3.384906
                 11.1616                      -3.4365391
                  11.188                      -3.4948522
                 11.2144                      -3.5599297
                 11.2408                      -3.6318098
                 11.2672                       -3.710485
                 11.2936                      -3.7958905
                   11.32                      -3.8879085
                 11.3464                      -3.9863585
                 11.3728                      -4.0909966
                 11.3992                      -4.2015095
                 11.4256                      -4.3175057
                  11.452                      -4.4385182
                 11.4784                      -4.5640006
                 11.5048                      -4.6933167
                 11.5312                      -4.8257414
                 11.5576                      -4.9604652
                  11.584                      -5.0965901
                 11.6104                      -5.2331342
                 11.6368                      -5.3690357
                 11.6632                      -5.5031746
                 11.6896                      -5.6343695
                  11.716                      -5.7614152
                 11.7424                      -5.8830914
                 11.7688                      -5.9981992
                 11.7952                      -6.1055869
                 11.8216                      -6.2041869
                  11.848                       -6.293044
                 11.8744                      -6.3713535
                 11.9008                      -6.4384854
                 11.9272                      -6.4940074
                 11.9536                      -6.5377026
                   11.98                      -6.5695715
                 12.0064                       -6.589833
                 12.0328                      -6.5989136
                 12.0592                      -6.5974197
                 12.0856                      -6.5861206
                  12.112                      -6.5659099
                 12.1384                      -6.5377761
                 12.1648                      -6.5027694
                 12.1912                      -6.4619649
                 12.2176                       -6.416439
                  12.244                      -6.3672415
                 12.2704                      -6.3153709
                 12.2968                      -6.2617658
                 12.3232                       -6.207284
                 12.3496                      -6.1527004
                  12.376                      -6.0986965
                 12.4024                       -6.045862
                 12.4288                      -5.9946946
                 12.4552                      -5.9455973
                 12.4816                      -5.8988868
                  12.508                      -5.8547941
                 12.5344                       -5.813473
                 12.5608                      -5.7749966
                 12.5872                      -5.7393734
                 12.6136                       -5.706547
                   12.64                      -5.6764038
                 12.6664                      -5.6487789
                 12.6928                      -5.6234566
                 12.7192                      -5.6001919
                 12.7456                      -5.5786971
                  12.772                      -5.5586692
                 12.7984                      -5.5397772
                 12.8248                      -5.5216848
                 12.8512                      -5.5040488
                 12.8776                       -5.486532
                  12.904                      -5.4688041
                 12.9304                      -5.4505534
                 12.9568                      -5.4314917
                 12.9832                      -5.4113632
                 13.0096                      -5.3899426
                  13.036                      -5.3670486
                 13.0624                      -5.3425382
                 13.0888                      -5.3163195
                 13.1152                      -5.2883391
                 13.1416                      -5.2585969
                  13.168                      -5.2271303
                 13.1944                       -5.194023
                 13.2208                      -5.1593947
                 13.2472                      -5.1233996
                 13.2736                      -5.0862179
                    13.3                      -5.0480552
                 13.3264                      -5.0091303
                 13.3528                      -4.9696749
                 13.3792                       -4.929924
                 13.4056                       -4.890111
                  13.432                       -4.850459
                 13.4584                      -4.8111858
                 13.4848                      -4.7724881
                 13.5112                      -4.7345434
                 13.5376                      -4.6975089
                  13.564                      -4.6615124
                 13.5904                      -4.6266624
                 13.6168                      -4.5930342
                 13.6432                      -4.5606807
                 13.6696                      -4.5296265
                  13.696                      -4.4998712
                 13.7224                      -4.4713911
                 13.7488                      -4.4441468
                 13.7752                       -4.418071
                 13.8016                      -4.3930916
                  13.828                      -4.3691187
                 13.8544                      -4.3460583
                 13.8808                      -4.3238088
                 13.9072                       -4.302272
                 13.9336                      -4.2813506
                   13.96                      -4.2609519
                 13.9864                      -4.2409963
                 14.0128                      -4.2214168
                 14.0392                      -4.2021575
                 14.0656                      -4.1831851
                  14.092                      -4.1644789
                 14.1184                       -4.146039
                 14.1448                      -4.1278847
                 14.1712                      -4.1100542
                 14.1976                         -4.0926
                  14.224                       -4.075595
                 14.2504                      -4.0591201
                 14.2768                      -4.0432726
                 14.3032                      -4.0281546
                 14.3296                      -4.0138735
                  14.356                      -4.0005395
                 14.3824                      -3.9882634
                 14.4088                      -3.9771475
                 14.4352                      -3.9672913
                 14.4616                      -3.9587804
                  14.488                       -3.951686
                 14.5144                      -3.9460687
                 14.5408                      -3.9419692
                 14.5672                      -3.9394067
                 14.5936                      -3.9383833
                   14.62                      -3.9388784
                 14.6464                      -3.9408486
                 14.6728                      -3.9442299
                 14.6992                      -3.9489386
                 14.7256                      -3.9548661
                  14.752                      -3.9618871
                 14.7784                      -3.9698601
                 14.8048                      -3.9786252
                 14.8312                      -3.9880107
                 14.8576                      -3.9978331
                  14.884                      -4.0079011
                 14.9104                      -4.0180179
                 14.9368                      -4.0279847
                 14.9632                      -4.0376013
                 14.9896                      -4.0466757
                  15.016                       -4.055018
                 15.0424                      -4.0624505
                 15.0688                      -4.0688037
                 15.0952                      -4.0739264
                 15.1216                      -4.0776803
                  15.148                      -4.0799421
                 15.1744                      -4.0806102
                 15.2008                      -4.0796002
                 15.2272                      -4.0768448
                 15.2536                       -4.072297
                   15.28                      -4.0659279
                 15.3064                      -4.0577254
                 15.3328                      -4.0476916
                 15.3592                      -4.0358475
                 15.3856                      -4.0222246
                  15.412                      -4.0068711
                 15.4384                      -3.9898422
                 15.4648                      -3.9712079
                 15.4912                      -3.9510428
                 15.5176                      -3.9294349
                  15.544                      -3.9064769
                 15.5704                      -3.8822675
                 15.5968                      -3.8569186
                 15.6232                      -3.8305439
                 15.6496                      -3.8032639
                  15.676                      -3.7752099
                 15.7024                       -3.746518
                 15.7288                      -3.7173319
                 15.7552                       -3.687803
                 15.7816                      -3.6580891
                  15.808                      -3.6283576
                 15.8344                      -3.5987807
                 15.8608                      -3.5695399
                 15.8872                      -3.5408211
                 15.9136                      -3.5128194
                   15.94                      -3.4857312
                 15.9664                      -3.4597585
                 15.9928                      -3.4351057
               16.019199                      -3.4119814
               16.045601                      -3.3905896
               16.072001                      -3.3711346
                 16.0984                      -3.3538199
                 16.1248                      -3.3388429
               16.151199                      -3.3263938
               16.177601                      -3.3166581
                  16.204                      -3.3098074
                 16.2304                      -3.3060054
                 16.2568                      -3.3054031
               16.283199                      -3.3081383
               16.309601                      -3.3143337
                  16.336                      -3.3240956
                 16.3624                      -3.3375137
                 16.3888                      -3.3546624
               16.415199                      -3.3755941
               16.441601                      -3.4003454
                  16.468                      -3.4289332
                 16.4944                      -3.4613576
                 16.5208                      -3.4975953
               16.547199                      -3.5376085
               16.573601                      -3.5813364
                    16.6                      -3.6287067
                 16.6264                      -3.6796239
                 16.6528                      -3.7339814
               16.679199                      -3.7916538
               16.705601                      -3.8525053
                  16.732                      -3.9163872
                 16.7584                      -3.9831382
                 16.7848                      -4.0525924
               16.811199                      -4.1245734
               16.837601                      -4.1989047
                  16.864                      -4.2754034
                 16.8904                      -4.3538903
                 16.9168                      -4.4341868
               16.943199                       -4.516119
               16.969601                      -4.5995192
                  16.996                      -4.6842309
                 17.0224                      -4.7701059
                 17.0488                      -4.8570108
               17.075199                      -4.9448231
               17.101601                      -5.0334374
                  17.128                      -5.1227638
                 17.1544                      -5.2127268
               17.180799                      -5.3032678
               17.207199                      -5.3943443
               17.233601                      -5.4859299
                   17.26                      -5.5780088
                 17.2864                      -5.6705807
               17.312799                      -5.7636524
               17.339199                      -5.8572434
               17.365601                      -5.9513782
                  17.392                       -6.046084
                 17.4184                      -6.1413938
               17.444799                      -6.2373377
               17.471201                      -6.3339445
               17.497601                      -6.4312388
                  17.524                      -6.5292386
                 17.5504                      -6.6279545
               17.576799                      -6.7273884
               17.603201                      -6.8275307
               17.629601                      -6.9283618
                  17.656                      -7.0298515
                 17.6824                      -7.1319577
               17.708799                      -7.2346275
               17.735201                      -7.3377993
                 17.7616                      -7.4414012
                  17.788                       -7.545355
                 17.8144                      -7.6495785
               17.840799                      -7.7539852
               17.867201                      -7.8584878
                 17.8936                      -7.9630012
                   17.92                      -8.0674447
                 17.9464                      -8.1717447
               17.972799                      -8.2758369
               17.999201                      -8.3796697
                 18.0256                      -8.4832026
                  18.052                      -8.5864165
                 18.0784                       -8.689304
               18.104799                      -8.7918811
               18.131201                      -8.8941785
                 18.1576                      -8.9962477
                  18.184                       -9.098159
                 18.2104                      -9.1999996
               18.236799                      -9.3018718
               18.263201                      -9.4038925
                 18.2896                      -9.5061901
                  18.316                      -9.6088993
                 18.3424                      -9.7121587
               18.368799                      -9.8161133
               18.395201                      -9.9209007
                 18.4216                      -10.026652
                  18.448                      -10.133487
                 18.4744                      -10.241518
               18.500799                      -10.350826
               18.527201                      -10.461481
                 18.5536                      -10.573516
                   18.58                      -10.686943
                 18.6064                      -10.801731
               18.632799                       -10.91782
               18.659201                      -11.035105
                 18.6856                      -11.153437
                  18.712                      -11.272625
                 18.7384                      -11.392433
               18.764799                      -11.512571
               18.791201                      -11.632708
                 18.8176                      -11.752457
                  18.844                      -11.871389
               18.870399                      -11.989025
               18.896799                      -12.104843
               18.923201                      -12.218283
                 18.9496                      -12.328747
                  18.976                      -12.435607
               19.002399                      -12.538209
               19.028799                      -12.635884
               19.055201                      -12.727956
                 19.0816                      -12.813748
                  19.108                      -12.892593
               19.134399                      -12.963845
               19.160801                      -13.026889
               19.187201                      -13.081149
                 19.2136                        -13.1261
                   19.24                      -13.161276
               19.266399                      -13.186275
               19.292801                       -13.20077
               19.319201                      -13.204511
                 19.3456                       -13.19733
                  19.372                       -13.17914
               19.398399                      -13.149944
               19.424801                      -13.109823
                 19.4512                      -13.058942
                 19.4776                      -12.997545
                  19.504                      -12.925947
               19.530399                      -12.844535
               19.556801                      -12.753759
                 19.5832                      -12.654121
                 19.6096                      -12.546178
                  19.636                      -12.430527
               19.662399                      -12.307799
               19.688801                      -12.178655
                 19.7152                      -12.043773
                 19.7416                      -11.903849
                  19.768                      -11.759575
               19.794399                      -11.611655
               19.820801                      -11.460773
                 19.8472                      -11.307607
                 19.8736                      -11.152812
                    19.9                      -10.997023
               19.926399                      -10.840841
               19.952801                      -10.684841
                 19.9792                      -10.529558
                 20.0056                      -10.375491
                  20.032                      -10.223099
               20.058399                      -10.072799
               20.084801                       -9.924966
                 20.1112                       -9.779932
                 20.1376                      -9.6379858
                  20.164                      -9.4993712
               20.190399                      -9.3642911
               20.216801                      -9.2329055
                 20.2432                       -9.105335
                 20.2696                      -8.9816586
                  20.296                      -8.8619187
               20.322399                      -8.7461186
               20.348801                      -8.6342329
                 20.3752                      -8.5261988
                 20.4016                       -8.421925
               20.427999                      -8.3212973
               20.454399                      -8.2241704
               20.480801                      -8.1303832
                 20.5072                      -8.0397544
                 20.5336                      -7.9520878
               20.559999                      -7.8671795
               20.586399                      -7.7848156
               20.612801                      -7.7047783
                 20.6392                      -7.6268538
                 20.6656                      -7.5508278
               20.691999                       -7.476498
               20.718399                      -7.4036708
               20.744801                      -7.3321695
                 20.7712                      -7.2618333
                 20.7976                      -7.1925207
               20.823999                      -7.1241147
               20.850401                      -7.0565205
               20.876801                      -6.9896671
