        Frequency / GHz                S1,1 (Fg=-1.52)/abs,dB
----------------------------------------------------------------------
                     0.1                     -0.18307362
              0.12639999                     -0.17725968
              0.15279999                     -0.17026903
              0.17919999                     -0.16220791
              0.20559999                      -0.1532003
              0.23199999                     -0.14338104
              0.25839999                      -0.1328978
              0.28479999                     -0.12190584
              0.31119999                     -0.11056877
              0.33759999                    -0.099048969
              0.36399999                    -0.087513965
              0.39039999                    -0.076128454
              0.41679999                    -0.065051899
              0.44319999                    -0.054439428
              0.46959999                    -0.044438545
              0.49599999                    -0.035182335
              0.52240002                    -0.026799026
              0.54879999                    -0.019398438
              0.57520002                    -0.013077455
              0.60159999                   -0.0079198271
              0.62800002                   -0.0039922433
              0.65439999                   -0.0013430718
              0.68080002                  -7.6889024e-06
              0.70719999                   -3.220204e-07
              0.73360002                   -0.0013230768
              0.75999999                   -0.0039564471
              0.78640002                   -0.0078695476
              0.81279999                    -0.013014786
              0.83920002                    -0.019327086
              0.86559999                    -0.026732161
              0.89200002                    -0.035139122
              0.91839999                    -0.044449566
              0.94480002                    -0.054554262
              0.97119999                    -0.065334024
              0.99760002                    -0.076665333
                   1.024                    -0.088418635
                  1.0504                     -0.10046217
                  1.0768                     -0.11266291
                  1.1032                     -0.12488887
                  1.1296                     -0.13701043
                   1.156                     -0.14890341
                  1.1824                     -0.16044931
                  1.2088                     -0.17153889
                  1.2352                     -0.18207113
                  1.2616                     -0.19195928
                   1.288                     -0.20112652
                  1.3144                     -0.20950913
                  1.3408                     -0.21706203
                  1.3672                     -0.22375008
                  1.3936                     -0.22955747
                    1.42                     -0.23448114
                  1.4464                       -0.238536
                  1.4728                     -0.24174894
                  1.4992                     -0.24416396
                  1.5256                     -0.24583481
                   1.552                     -0.24683004
                  1.5784                     -0.24722941
                  1.6048                     -0.24712051
                  1.6312                     -0.24659943
                  1.6576                     -0.24576796
                   1.684                     -0.24473525
                  1.7104                     -0.24361266
                  1.7368                     -0.24251141
                  1.7632                     -0.24154483
                  1.7896                     -0.24082462
                   1.816                     -0.24045823
                  1.8424                     -0.24055261
                  1.8688                     -0.24120531
                  1.8952                     -0.24251101
                  1.9216                     -0.24455489
                   1.948                     -0.24741533
                  1.9744                     -0.25116298
               2.0007999                     -0.25585608
                  2.0272                     -0.26154791
               2.0536001                     -0.26827871
               2.0799999                     -0.27607996
                  2.1064                     -0.28497242
               2.1328001                      -0.2949681
                  2.1592                     -0.30606901
                  2.1856                     -0.31826694
               2.2119999                     -0.33154616
                  2.2384                      -0.3458815
               2.2648001                      -0.3612398
               2.2911999                     -0.37758173
                  2.3176                     -0.39486122
               2.3440001                     -0.41302675
                  2.3704                     -0.43202215
                  2.3968                      -0.4517872
               2.4231999                     -0.47225864
                  2.4496                     -0.49337153
               2.4760001                     -0.51506167
               2.5023999                     -0.53726501
                  2.5288                     -0.55991525
               2.5552001                     -0.58295483
                  2.5816                     -0.60632341
                   2.608                     -0.62996813
               2.6343999                     -0.65384123
                  2.6608                     -0.67789893
               2.6872001                     -0.70210571
               2.7135999                     -0.72643219
                    2.74                     -0.75085661
               2.7664001                     -0.77536425
               2.7927999                     -0.79994807
                  2.8192                     -0.82461067
               2.8455999                     -0.84935816
