        Frequency / GHz                S1,1 (T=0.9)/abs,dB
               5.6968002                      -3.5679486
               5.7231998                      -3.6087586
               5.7495999                      -3.6500545
                   5.776                      -3.6917469
               5.8024001                      -3.7337531
               5.8288002                      -3.7759935
               5.8551998                      -3.8184016
               5.8815999                      -3.8609102
                   5.908                      -3.9034697
               5.9344001                      -3.9460388
               5.9608002                      -3.9885874
               5.9871998                      -4.0311007
               6.0135999                      -4.0735748
                    6.04                      -4.1160225
               6.0664001                      -4.1584678
               6.0928001                      -4.2009524
               6.1192002                      -4.2435304
               6.1455998                      -4.2862691
               6.1719999                      -4.3292487
                  6.1984                      -4.3725611
               6.2248001                      -4.4163121
               6.2512002                       -4.460611
               6.2775998                      -4.5055817
               6.3039999                      -4.5513515
                  6.3304                      -4.5980488
               6.3568001                      -4.6458107
               6.3832002                      -4.6947711
               6.4095998                      -4.7450644
               6.4359999                      -4.7968187
                  6.4624                      -4.8501577
                  6.4888                      -4.9051931
               6.5152001                      -4.9620315
               6.5416002                      -5.0207605
               6.5679998                      -5.0814528
               6.5943999                      -5.1441624
                  6.6208                      -5.2089225
               6.6472001                      -5.2757443
               6.6736002                      -5.3446094
               6.6999998                      -5.4154735
               6.7263999                      -5.4882616
                  6.7528                      -5.5628637
               6.7792001                      -5.6391416
               6.8056002                      -5.7169132
               6.8319998                       -5.795969
               6.8583999                      -5.8760579
                  6.8848                      -5.9568914
                  6.9112                      -6.0381515
               6.9376001                      -6.1194796
               6.9640002                      -6.2004907
               6.9903998                       -6.280773
               7.0167999                      -6.3598886
                  7.0432                      -6.4373881
               7.0696001                      -6.5128099
               7.0960002                       -6.585692
               7.1223998                      -6.6555798
               7.1487999                      -6.7220368
                  7.1752                       -6.784651
               7.2016001                        -6.84305
               7.2280002                      -6.8969052
               7.2543998                      -6.9459444
               7.2807999                      -6.9899592
                  7.3072                      -7.0288058
                  7.3336                      -7.0624177
               7.3600001                      -7.0907993
               7.3864002                      -7.1140314
               7.4127998                      -7.1322661
               7.4391999                      -7.1457221
                  7.4656                      -7.1546782
               7.4920001                      -7.1594686
               7.5184002                      -7.1604664
               7.5447998                      -7.1580801
               7.5711999                      -7.1527392
                  7.5976                      -7.1448866
               7.6240001                      -7.1349683
               7.6504002                      -7.1234191
               7.6767998                      -7.1106632
               7.7031999                      -7.0970989
                  7.7296                      -7.0830993
                   7.756                       -7.069004
               7.7824001                      -7.0551184
               7.8088002                      -7.0417084
               7.8351998                       -7.029007
               7.8615999                      -7.0172088
                   7.888                      -7.0064747
               7.9144001                      -6.9969348
               7.9408002                      -6.9886955
               7.9671998                      -6.9818375
               7.9935999                      -6.9764281
               8.0200005                       -6.972524
               8.0464001                       -6.970179
               8.0727997                      -6.9694481
               8.0992002                      -6.9704007
               8.1255999                      -6.9731167
               8.1520004                      -6.9777054
                  8.1784                      -6.9843008
               8.2047997                      -6.9930744
               8.2312002                       -7.004236
               8.2575998                      -7.0180367
               8.2840004                      -7.0347784
                  8.3104                      -7.0548085
               8.3367996                      -7.0785281
               8.3632002                      -7.1063885
               8.3895998                      -7.1388914
               8.4160004                      -7.1765942
                  8.4424                      -7.2200999
               8.4687996                      -7.2700658
               8.4952002                      -7.3271972
               8.5215998                      -7.3922468
               8.5480003                      -7.4660183
               8.5743999                      -7.5493619
               8.6007996                      -7.6431794
               8.6272001                      -7.7484261
               8.6535997                      -7.8661106
               8.6800003                      -7.9973071
               8.7063999                      -8.1431569
               8.7327995                      -8.3048795
               8.7592001                      -8.4837894
               8.7855997                      -8.6813027
               8.8120003                       -8.898965
               8.8383999                      -9.1384725
               8.8648005                      -9.4017031
               8.8912001                      -9.6907552
               8.9175997                      -10.007998
               8.9440002                      -10.356129
               8.9703999                      -10.738266
               8.9968004                      -11.158039
                  9.0232                      -11.619734
               9.0495996                      -12.128484
               9.0760002                      -12.690511
               9.1023998                      -13.313488
               9.1288004                      -14.007035
                  9.1552                       -14.78345
               9.1815996                      -15.658791
               9.2080002                      -16.654565
               9.2343998                      -17.800366
               9.2608004                      -19.138205
                  9.2872                       -20.72956
               9.3135996                      -22.666008
               9.3400002                      -25.076607
               9.3663998                      -28.053433
               9.3928003                      -30.919566
               9.4191999                       -30.69865
               9.4455996                      -27.701137
               9.4720001                      -24.754585
               9.4983997                      -22.375954
               9.5248003                      -20.457142
               9.5511999                        -18.8723
               9.5775995                       -17.53335
               9.6040001                      -16.381134
               9.6303997                      -15.375096
               9.6568003                      -14.486561
               9.6831999                      -13.694625
               9.7096004                      -12.983629
               9.7360001                      -12.341549
               9.7623997                      -11.758956
               9.7888002                      -11.228318
               9.8151999                      -10.743518
               9.8416004                      -10.299504
                   9.868                      -9.8920629
               9.8943996                      -9.5176256
               9.9208002                      -9.1731386
               9.9471998                      -8.8559671
               9.9736004                      -8.5638091
                      10                      -8.2946418
                 10.0264                      -8.0466721
                 10.0528                      -7.8182999
                 10.0792                      -7.6080878
                 10.1056                       -7.414737
                  10.132                      -7.2370711
                 10.1584                      -7.0740179
                 10.1848                      -6.9245988
                 10.2112                      -6.7879172
                 10.2376                      -6.6631528
                  10.264                      -6.5495538
                 10.2904                      -6.4464316
                 10.3168                      -6.3531565
                 10.3432                      -6.2691562
                 10.3696                      -6.1939096
                  10.396                      -6.1269498
                 10.4224                      -6.0678535
                 10.4488                      -6.0162476
                 10.4752                      -5.9718062
                 10.5016                      -5.9342422
                  10.528                       -5.903316
                 10.5544                       -5.878822
                 10.5808                      -5.8605985
                 10.6072                      -5.8485184
                 10.6336                       -5.842489
                   10.66                       -5.842448
                 10.6864                      -5.8483664
                 10.7128                       -5.860242
                 10.7392                      -5.8780936
                 10.7656                      -5.9019698
                  10.792                      -5.9319314
                 10.8184                      -5.9680638
                 10.8448                      -6.0104634
                 10.8712                      -6.0592384
                 10.8976                      -6.1145084
                  10.924                      -6.1764034
                 10.9504                      -6.2450562
                 10.9768                      -6.3206046
                 11.0032                      -6.4031889
                 11.0296                      -6.4929483
                  11.056                      -6.5900225
                 11.0824                       -6.694548
                 11.1088                      -6.8066577
                 11.1352                      -6.9264786
                 11.1616                       -7.054131
                  11.188                      -7.1897282
                 11.2144                      -7.3333768
                 11.2408                      -7.4851699
                 11.2672                      -7.6451925
                 11.2936                      -7.8135155
                   11.32                      -7.9901966
                 11.3464                      -8.1752801
                 11.3728                      -8.3687881
                 11.3992                      -8.5707275
                 11.4256                      -8.7810821
                  11.452                      -8.9998077
                 11.4784                        -9.22683
                 11.5048                      -9.4620438
                 11.5312                      -9.7052988
                 11.5576                      -9.9564005
                  11.584                      -10.215095
                 11.6104                      -10.481065
                 11.6368                       -10.75391
                 11.6632                      -11.033144
                 11.6896                      -11.318165
                  11.716                      -11.608248
                 11.7424                      -11.902515
                 11.7688                      -12.199917
                 11.7952                      -12.499203
                 11.8216                      -12.798897
                  11.848                      -13.097272
                 11.8744                      -13.392326
                 11.9008                      -13.681762
                 11.9272                      -13.962989
                 11.9536                      -14.233125
                   11.98                      -14.489031
                 12.0064                      -14.727376
                 12.0328                      -14.944721
                 12.0592                      -15.137644
                 12.0856                      -15.302904
                  12.112                      -15.437606
                 12.1384                      -15.539379
                 12.1648                      -15.606538
                 12.1912                      -15.638207
                 12.2176                      -15.634372
                  12.244                      -15.595886
                 12.2704                      -15.524389
                 12.2968                      -15.422187
