        Frequency / GHz                S1,1 (Lf=9.75)/abs,dB
               5.6704001                      -6.3127996
               5.6968002                      -6.4257897
               5.7231998                      -6.5414764
               5.7495999                      -6.6598761
                   5.776                      -6.7810189
               5.8024001                      -6.9049533
               5.8288002                      -7.0317396
               5.8551998                      -7.1614571
               5.8815999                      -7.2942049
                   5.908                      -7.4300996
               5.9344001                      -7.5692758
               5.9608002                      -7.7118933
               5.9871998                      -7.8581325
               6.0135999                      -8.0081947
                    6.04                      -8.1623084
               6.0664001                      -8.3207269
               6.0928001                      -8.4837289
               6.1192002                      -8.6516226
               6.1455998                      -8.8247471
               6.1719999                      -9.0034731
                  6.1984                      -9.1882035
               6.2248001                      -9.3793771
               6.2512002                      -9.5774717
               6.2775998                      -9.7830058
               6.3039999                      -9.9965389
                  6.3304                      -10.218677
               6.3568001                      -10.450075
               6.3832002                      -10.691439
               6.4095998                      -10.943532
               6.4359999                      -11.207175
                  6.4624                      -11.483252
                  6.4888                      -11.772719
               6.5152001                      -12.076602
               6.5416002                      -12.396006
               6.5679998                      -12.732121
               6.5943999                      -13.086226
                  6.6208                      -13.459693
               6.6472001                      -13.853989
               6.6736002                      -14.270678
               6.6999998                      -14.711411
               6.7263999                      -15.177915
                  6.7528                      -15.671956
               6.7792001                      -16.195284
               6.8056002                      -16.749531
               6.8319998                      -17.336041
               6.8583999                      -17.955592
                  6.8848                      -18.607946
                  6.9112                      -19.291139
               6.9376001                      -20.000377
               6.9640002                      -20.726426
               6.9903998                      -21.453411
               7.0167999                      -22.156271
                  7.0432                      -22.798833
               7.0696001                      -23.334648
               7.0960002                      -23.713541
               7.1223998                      -23.894908
               7.1487999                      -23.862809
                  7.1752                      -23.632912
               7.2016001                      -23.245679
               7.2280002                      -22.751314
               7.2543998                      -22.196392
               7.2807999                      -21.617245
                  7.3072                      -21.039073
                  7.3336                      -20.477856
               7.3600001                      -19.942898
               7.3864002                       -19.43903
               7.4127998                      -18.968237
               7.4391999                      -18.530751
                  7.4656                      -18.125782
               7.4920001                      -17.751963
               7.5184002                      -17.407634
               7.5447998                      -17.091017
               7.5711999                      -16.800326
                  7.5976                       -16.53382
               7.6240001                      -16.289853
               7.6504002                       -16.06689
               7.6767998                      -15.863525
               7.7031999                      -15.678482
                  7.7296                      -15.510633
                   7.756                      -15.358987
               7.7824001                      -15.222708
               7.8088002                      -15.101104
               7.8351998                      -14.993637
               7.8615999                      -14.899925
                   7.888                      -14.819735
               7.9144001                       -14.75299
               7.9408002                      -14.699763
               7.9671998                      -14.660278
               7.9935999                      -14.634906
               8.0200005                      -14.624159
               8.0464001                      -14.628688
               8.0727997                      -14.649284
               8.0992002                      -14.686859
               8.1255999                      -14.742455
               8.1520004                       -14.81723
                  8.1784                      -14.912456
               8.2047997                      -15.029507
               8.2312002                      -15.169849
               8.2575998                      -15.335021
               8.2840004                      -15.526611
                  8.3104                      -15.746205
               8.3367996                      -15.995322
               8.3632002                      -16.275294
               8.3895998                       -16.58709
               8.4160004                      -16.931028
                  8.4424                      -17.306339
               8.4687996                      -17.710479
               8.4952002                      -18.138151
               8.5215998                      -18.579887
               8.5480003                      -19.020254
               8.5743999                      -19.435927
               8.6007996                      -19.794515
               8.6272001                      -20.055774
               8.6535997                      -20.177261
               8.6800003                      -20.124811
               8.7063999                      -19.884107
               8.7327995                      -19.466335
               8.7592001                      -18.903759
               8.7855997                      -18.238519
               8.8120003                      -17.511682
               8.8383999                      -16.756925
               8.8648005                      -15.998839
               8.8912001                      -15.253904
               8.9175997                       -14.53239
               8.9440002                      -13.840188
               8.9703999                      -13.180275
               8.9968004                      -12.553759
                  9.0232                      -11.960586
               9.0495996                      -11.400012
               9.0760002                      -10.870894
               9.1023998                      -10.371886
               9.1288004                      -9.9015562
                  9.1552                      -9.4584519
               9.1815996                      -9.0411444
               9.2080002                      -8.6482584
               9.2343998                      -8.2784727
               9.2608004                      -7.9305307
                  9.2872                      -7.6032412
               9.3135996                      -7.2954741
               9.3400002                      -7.0061544
               9.3663998                      -6.7342624
               9.3928003                       -6.478826
               9.4191999                      -6.2389185
               9.4455996                      -6.0136566
               9.4720001                      -5.8021908
               9.4983997                      -5.6037109
               9.5248003                      -5.4174382
               9.5511999                      -5.2426265
               9.5775995                      -5.0785655
               9.6040001                       -4.924568
               9.6303997                      -4.7799875
               9.6568003                      -4.6442059
               9.6831999                      -4.5166381
               9.7096004                      -4.3967368
               9.7360001                      -4.2839891
               9.7623997                       -4.177923
               9.7888002                      -4.0781055
               9.8151999                      -3.9841449
               9.8416004                      -3.8956915
                   9.868                      -3.8124424
               9.8943996                      -3.7341381
               9.9208002                      -3.6605616
               9.9471998                      -3.5915401
               9.9736004                      -3.5269482
                      10                      -3.4666955
                 10.0264                      -3.4107339
                 10.0528                      -3.3590503
                 10.0792                      -3.3116667
                 10.1056                      -3.2686322
                  10.132                      -3.2300207
                 10.1584                      -3.1959279
                 10.1848                      -3.1664676
                 10.2112                      -3.1417591
                 10.2376                      -3.1219355
                  10.264                       -3.107126
                 10.2904                      -3.0974617
                 10.3168                      -3.0930629
                 10.3432                      -3.0940392
                 10.3696                      -3.1004849
                  10.396                       -3.112474
                 10.4224                       -3.130054
                 10.4488                      -3.1532479
                 10.4752                      -3.1820462
                 10.5016                      -3.2164038
                  10.528                      -3.2562375
                 10.5544                      -3.3014252
                 10.5808                       -3.351801
                 10.6072                      -3.4071531
                 10.6336                       -3.467222
                   10.66                      -3.5316999
                 10.6864                      -3.6002304
                 10.7128                      -3.6724043
                 10.7392                      -3.7477663
                 10.7656                       -3.825812
                  10.792                      -3.9059917
                 10.8184                      -3.9877171
                 10.8448                      -4.0703603
                 10.8712                      -4.1532692
                 10.8976                      -4.2357692
                  10.924                      -4.3171751
                 10.9504                      -4.3968037
                 10.9768                      -4.4739859
                 11.0032                      -4.5480777
                 11.0296                      -4.6184788
                  11.056                      -4.6846412
                 11.0824                      -4.7460875
                 11.1088                       -4.802419
                 11.1352                      -4.8533257
                 11.1616                      -4.8986004
                  11.188                      -4.9381297
                 11.2144                      -4.9719104
                 11.2408                      -5.0000389
                 11.2672                      -5.0227081
                 11.2936                      -5.0402007
                   11.32                      -5.0528778
                 11.3464                      -5.0611665
                 11.3728                      -5.0655498
                 11.3992                      -5.0665475
                 11.4256                      -5.0647068
                  11.452                      -5.0605835
                 11.4784                      -5.0547349
                 11.5048                       -5.047707
                 11.5312                        -5.04002
                 11.5576                      -5.0321668
                  11.584                      -5.0246005
                 11.6104                      -5.0177302
                 11.6368                      -5.0119214
                 11.6632                      -5.0074854
                 11.6896                      -5.0046847
                  11.716                        -5.00373
                 11.7424                      -5.0047777
                 11.7688                      -5.0079362
                 11.7952                      -5.0132602
                 11.8216                      -5.0207625
                  11.848                      -5.0304049
                 11.8744                      -5.0421129
                 11.9008                      -5.0557695
                 11.9272                      -5.0712226
                 11.9536                      -5.0882878
                   11.98                      -5.1067568
                 12.0064                      -5.1263906
                 12.0328                      -5.1469372
                 12.0592                      -5.1681292
                 12.0856                      -5.1896862
                  12.112                      -5.2113266
                 12.1384                      -5.2327679
                 12.1648                      -5.2537352
                 12.1912                      -5.2739595
                 12.2176                      -5.2931898
                  12.244                      -5.3111934
                 12.2704                      -5.3277635
                 12.2968                      -5.3427186
                 12.3232                      -5.3559074
                 12.3496                       -5.367211
                  12.376                      -5.3765467
                 12.4024                      -5.3838638
                 12.4288                      -5.3891465
                 12.4552                      -5.3924173
                 12.4816                      -5.3937269
                  12.508                      -5.3931567
                 12.5344                      -5.3908166
                 12.5608                      -5.3868395
                 12.5872                      -5.3813789
                 12.6136                      -5.3746032
                   12.64                      -5.3666958
                 12.6664                        -5.35784
                 12.6928                        -5.34823
                 12.7192                       -5.338055
                 12.7456                      -5.3274972
                  12.772                       -5.316737
                 12.7984                      -5.3059367
                 12.8248                      -5.2952482
                 12.8512                       -5.284805
                 12.8776                      -5.2747254
                  12.904                      -5.2651038
                 12.9304                      -5.2560197
                 12.9568                      -5.2475326
                 12.9832                      -5.2396759
                 13.0096                      -5.2324734
                  13.036                      -5.2259246
                 13.0624                      -5.2200141
                 13.0888                      -5.2147145
                 13.1152                      -5.2099845
                 13.1416                      -5.2057743
                  13.168                      -5.2020256
                 13.1944                      -5.1986774
                 13.2208                      -5.1956693
                 13.2472                      -5.1929381
                 13.2736                      -5.1904284
                    13.3                      -5.1880905
                 13.3264                      -5.1858842
                 13.3528                      -5.1837803
                 13.3792                      -5.1817611
                 13.4056                      -5.1798262
                  13.432                      -5.1779875
                 13.4584                      -5.1762708
                 13.4848                      -5.1747175
                 13.5112                      -5.1733875
                 13.5376                       -5.172345
                  13.564                      -5.1716722
                 13.5904                      -5.1714553
                 13.6168                      -5.1717898
                 13.6432                      -5.1727726
                 13.6696                       -5.174502
                  13.696                      -5.1770737
                 13.7224                      -5.1805756
                 13.7488                      -5.1850883
                 13.7752                      -5.1906779
                 13.8016                      -5.1973955
                  13.828                      -5.2052725
                 13.8544                      -5.2143186
                 13.8808                      -5.2245202
                 13.9072                      -5.2358396
                 13.9336                      -5.2482086
                   13.96                      -5.2615307
                 13.9864                      -5.2756823
                 14.0128                       -5.290509
                 14.0392                      -5.3058269
                 14.0656                      -5.3214273
                  14.092                      -5.3370709
                 14.1184                      -5.3525021
                 14.1448                      -5.3674384
                 14.1712                      -5.3815858
                 14.1976                      -5.3946354
                  14.224                      -5.4062739
                 14.2504                      -5.4161833
                 14.2768                      -5.4240528
                 14.3032                       -5.429579
                 14.3296                      -5.4324769
                  14.356                      -5.4324806
                 14.3824                      -5.4293545
                 14.4088                      -5.4228889
                 14.4352                      -5.4129192
                 14.4616                      -5.3993108
                  14.488                      -5.3819799
                 14.5144                      -5.3608809
                 14.5408                      -5.3360128
                 14.5672                      -5.3074168
                 14.5936                      -5.2751782
                   14.62                      -5.2394176
                 14.6464                      -5.2002888
                 14.6728                      -5.1579815
                 14.6992                       -5.112708
                 14.7256                      -5.0647041
                  14.752                      -5.0142195
                 14.7784                      -4.9615167
                 14.8048                      -4.9068671
                 14.8312                      -4.8505449
                 14.8576                      -4.7928228
                  14.884                       -4.733972
                 14.9104                      -4.6742561
