        Frequency / GHz                S1,1 (S=0.9)/abs,dB
               5.8551998                      -9.2673098
               5.8815999                      -9.3607049
                   5.908                      -9.4747297
               5.9344001                      -9.6068271
               5.9608002                      -9.7542146
               5.9871998                      -9.9139838
               6.0135999                      -10.083236
                    6.04                       -10.25924
               6.0664001                      -10.439605
               6.0928001                      -10.622452
               6.1192002                      -10.806557
               6.1455998                      -10.991447
               6.1719999                      -11.177431
                  6.1984                      -11.365546
               6.2248001                      -11.557446
               6.2512002                      -11.755202
               6.2775998                      -11.961087
               6.3039999                      -12.177302
                  6.3304                       -12.40572
               6.3568001                      -12.647619
               6.3832002                      -12.903441
               6.4095998                      -13.172565
               6.4359999                      -13.453132
                  6.4624                      -13.741913
                  6.4888                      -14.034289
               6.5152001                      -14.324354
               6.5416002                      -14.605227
               6.5679998                      -14.869589
               6.5943999                      -15.110429
                  6.6208                      -15.321951
               6.6472001                      -15.500427
               6.6736002                      -15.644847
               6.6999998                      -15.757131
               6.7263999                      -15.841868
                  6.7528                       -15.90564
               6.7792001                      -15.956099
               6.8056002                      -16.001025
               6.8319998                      -16.047507
               6.8583999                      -16.101328
                  6.8848                      -16.166584
                  6.9112                      -16.245475
               6.9376001                      -16.338268
               6.9640002                      -16.443368
               6.9903998                      -16.557532
               7.0167999                      -16.676206
                  7.0432                      -16.794024
               7.0696001                       -16.90546
               7.0960002                      -17.005582
               7.1223998                      -17.090825
               7.1487999                      -17.159639
                  7.1752                      -17.212864
               7.2016001                      -17.253746
               7.2280002                      -17.287602
               7.2543998                      -17.321188
               7.2807999                       -17.36195
                  7.3072                      -17.417243
                  7.3336                      -17.493645
               7.3600001                      -17.596353
               7.3864002                      -17.728656
               7.4127998                      -17.891441
               7.4391999                      -18.082651
                  7.4656                      -18.296731
               7.4920001                      -18.524079
               7.5184002                      -18.750735
               7.5447998                      -18.958631
               7.5711999                      -19.126883
                  7.5976                      -19.234478
               7.6240001                      -19.264153
               7.6504002                      -19.206426
               7.6767998                      -19.062106
               7.7031999                      -18.842036
                  7.7296                      -18.564195
                   7.756                      -18.249566
               7.7824001                      -17.918375
               7.8088002                      -17.587625
               7.8351998                      -17.269973
               7.8615999                      -16.973568
                   7.888                      -16.702397
               7.9144001                      -16.456808
               7.9408002                      -16.234075
               7.9671998                      -16.028963
               7.9935999                      -15.834341
               8.0200005                      -15.641899
               8.0464001                      -15.443028
               8.0727997                      -15.229835
               8.0992002                      -14.996186
               8.1255999                      -14.738594
               8.1520004                      -14.456741
                  8.1784                      -14.153518
               8.2047997                      -13.834562
               8.2312002                      -13.507458
               8.2575998                      -13.180809
               8.2840004                      -12.863374
                  8.3104                        -12.5634
               8.3367996                      -12.288178
               8.3632002                      -12.043803
               8.3895998                      -11.835059
               8.4160004                      -11.665381
                  8.4424                      -11.536809
               8.4687996                      -11.449915
               8.4952002                      -11.403621
               8.5215998                      -11.394928
               8.5480003                      -11.418514
               8.5743999                      -11.466232
               8.6007996                      -11.526604
               8.6272001                      -11.584501
               8.6535997                      -11.621328
               8.6800003                      -11.616126
               8.7063999                      -11.547939
               8.7327995                      -11.399275
               8.7592001                      -11.159811
               8.7855997                      -10.828886
               8.8120003                      -10.415576
               8.8383999                      -9.9363513
               8.8648005                      -9.4114184
               8.8912001                      -8.8612231
               8.9175997                      -8.3040358
               8.9440002                      -7.7548117
               8.9703999                      -7.2249954
               8.9968004                      -6.7228774
                  9.0232                      -6.2541605
               9.0495996                      -5.8225366
               9.0760002                      -5.4301957
               9.1023998                      -5.0782208
               9.1288004                      -4.7668851
                  9.1552                      -4.4958705
               9.1815996                      -4.2644014
               9.2080002                      -4.0713459
               9.2343998                      -3.9152615
               9.2608004                      -3.7944196
                  9.2872                      -3.7068111
               9.3135996                      -3.6501294
               9.3400002                      -3.6217487
               9.3663998                      -3.6187068
               9.3928003                      -3.6376822
               9.4191999                      -3.6749957
               9.4455996                      -3.7266294
               9.4720001                      -3.7882796
               9.4983997                      -3.8554637
               9.5248003                       -3.923658
               9.5511999                      -3.9884925
               9.5775995                       -4.045981
               9.6040001                      -4.0927538
               9.6303997                      -4.1262802
               9.6568003                      -4.1450328
               9.6831999                      -4.1485656
               9.7096004                      -4.1374935
               9.7360001                      -4.1133719
               9.7623997                      -4.0784965
               9.7888002                      -4.0356544
               9.8151999                       -3.987864
               9.8416004                      -3.9381285
                   9.868                      -3.8892332
               9.8943996                      -3.8435862
               9.9208002                      -3.8031129
               9.9471998                      -3.7692015
               9.9736004                      -3.7426799
                      10                      -3.7238316
                 10.0264                      -3.7124393
                 10.0528                       -3.707845
                 10.0792                      -3.7090295
                 10.1056                      -3.7147119
                  10.132                       -3.723453
                 10.1584                      -3.7337678
                 10.1848                      -3.7442441
                 10.2112                      -3.7536463
                 10.2376                      -3.7610096
                  10.264                      -3.7657108
                 10.2904                       -3.767503
                 10.3168                      -3.7665294
                 10.3432                      -3.7632922
                 10.3696                      -3.7586012
                  10.396                      -3.7534926
                 10.4224                      -3.7491484
                 10.4488                      -3.7467923
                 10.4752                      -3.7476117
                 10.5016                      -3.7526728
                  10.528                      -3.7628607
                 10.5544                      -3.7788388
                 10.5808                      -3.8010193
                 10.6072                      -3.8295598
                 10.6336                       -3.864372
                   10.66                      -3.9051515
                 10.6864                      -3.9514181
                 10.7128                      -4.0025639
                 10.7392                      -4.0579235
                 10.7656                      -4.1168266
                  10.792                      -4.1786744
                 10.8184                      -4.2429891
                 10.8448                      -4.3094752
                 10.8712                      -4.3780467
                 10.8976                      -4.4488554
                  10.924                      -4.5222861
                 10.9504                      -4.5989468
                 10.9768                      -4.6796341
                 11.0032                      -4.7652861
