        Frequency / GHz                S1;1/abs;dB
----------------------------------------------------------------------
               3,5188999                      -19,262939
               3,5367999                        -19,3676
               3,5546999                      -19,463253
               3,5725999                      -19,546229
               3,5905001                      -19,612669
               3,6084001                      -19,658662
               3,6263001                      -19,680436
               3,6442001                      -19,674574
               3,6621001                       -19,63825
               3,6800001                       -19,56944
               3,6979001                      -19,467082
                  3,7158                      -19,331171
                  3,7337                      -19,162746
                  3,7516                      -18,963799
                  3,7695                      -18,737109
                  3,7874                      -18,486019
                  3,8053                      -18,214212
                  3,8232                       -17,92549
                  3,8411                      -17,623596
                   3,859                      -17,312076
                  3,8769                       -16,99418
               3,8947999                       -16,67281
               3,9126999                      -16,350504
               3,9305999                      -16,029437
               3,9484999                      -15,711441
               3,9663999                      -15,398038
               3,9842999                      -15,090472
               4,0022001                      -14,789743
               4,0201001                      -14,496648
               4,0380001                      -14,211805
               4,0559001                      -13,935691
               4,0738001                      -13,668656
               4,0917001                      -13,410954
               4,1096001                      -13,162755
               4,1275001                      -12,924165
                  4,1454                      -12,695238
                  4,1633                      -12,475981
                  4,1812                      -12,266373
                  4,1991                      -12,066366
                   4,217                      -11,875891
                  4,2349                      -11,694863
                  4,2528                       -11,52319
                  4,2707                      -11,360768
                  4,2886                      -11,207489
                  4,3065                      -11,063246
               4,3243999                      -10,927927
               4,3422999                      -10,801419
               4,3601999                      -10,683613
               4,3780999                        -10,5744
               4,3959999                      -10,473677
               4,4138999                      -10,381339
               4,4317999                      -10,297286
               4,4496999                      -10,221427
               4,4675999                      -10,153667
               4,4854999                      -10,093919
               4,5033998                        -10,0421
               4,5212998                      -9,9981279
               4,5391998                       -9,961928
               4,5570998                      -9,9334271
               4,5749998                      -9,9125561
               4,5928998                      -9,8992472
               4,6107998                      -9,8934398
               4,6286998                      -9,8950706
               4,6465998                      -9,9040833
               4,6645002                      -9,9204204
               4,6824002                      -9,9440276
               4,7003002                      -9,9748506
               4,7182002                      -10,012837
               4,7361002                      -10,057934
               4,7540002                      -10,110089
               4,7719002                      -10,169245
               4,7898002                      -10,235347
               4,8077002                      -10,308336
               4,8256001                      -10,388149
               4,8435001                      -10,474718
               4,8614001                      -10,567969
               4,8793001                      -10,667821
               4,8972001                      -10,774185
               4,9151001                      -10,886962
               4,9330001                      -11,006038
               4,9509001                      -11,131289
               4,9688001                       -11,26257
               4,9867001                      -11,399724
                  5,0046                      -11,542564
                  5,0225                      -11,690888
                  5,0404                      -11,844457
                  5,0583                      -12,003008
                  5,0762                       -12,16624
                  5,0941                      -12,333816
                   5,112                      -12,505355
                  5,1299                      -12,680427
                  5,1478                      -12,858559
                  5,1657                      -13,039217
               5,1835999                      -13,221812
               5,2014999                      -13,405698
               5,2193999                      -13,590161
               5,2372999                      -13,774429
               5,2551999                      -13,957667
               5,2730999                      -14,138983
               5,2909999                       -14,31743
               5,3088999                       -14,49202
               5,3267999                      -14,661726
               5,3446999                      -14,825505
               5,3625998                      -14,982316
               5,3804998                      -15,131132
               5,3983998                      -15,270972
               5,4162998                       -15,40092
               5,4341998                      -15,520158
               5,4520998                      -15,627978
               5,4699998                      -15,723818
               5,4878998                      -15,807273
               5,5057998                      -15,878107
               5,5237002                       -15,93627
               5,5416002                      -15,981889
               5,5595002                      -16,015263
               5,5774002                      -16,036861
               5,5953002                      -16,047293
               5,6132002                      -16,047295
               5,6311002                      -16,037702
               5,6490002                      -16,019423
               5,6669002                      -15,993416
               5,6848001                      -15,960663
               5,7027001                      -15,922149
               5,7206001                      -15,878842
               5,7385001                      -15,831678
               5,7564001                      -15,781544
               5,7743001                      -15,729278
               5,7922001                       -15,67565
               5,8101001                      -15,621368
               5,8280001                      -15,567067
               5,8459001                      -15,513318
                  5,8638                      -15,460619
                  5,8817                      -15,409406
                  5,8996                      -15,360046
                  5,9175                       -15,31285
                  5,9354                      -15,268067
