        Frequency / GHz                S1,1/abs,dB
                  3,2737                      -10,739356
                  3,2886                      -10,773687
               3,3034999                      -10,805502
               3,3183999                      -10,834624
               3,3333001                      -10,860882
               3,3482001                      -10,884114
               3,3631001                      -10,904177
                   3,378                      -10,920962
                  3,3929                      -10,934392
                  3,4078                      -10,944439
               3,4226999                      -10,951121
               3,4375999                      -10,954513
               3,4525001                      -10,954745
               3,4674001                      -10,951998
                  3,4823                      -10,946508
                  3,4972                      -10,938556
                  3,5121                      -10,928459
                   3,527                      -10,916569
               3,5418999                      -10,903255
               3,5567999                      -10,888903
               3,5717001                      -10,873896
               3,5866001                      -10,858609
                  3,6015                      -10,843406
                  3,6164                      -10,828624
                  3,6313                      -10,814572
               3,6461999                      -10,801524
               3,6610999                      -10,789723
               3,6760001                      -10,779371
               3,6909001                      -10,770636
               3,7058001                      -10,763658
                  3,7207                      -10,758543
                  3,7356                      -10,755379
                  3,7505                      -10,754238
               3,7653999                      -10,755186
               3,7802999                      -10,758289
               3,7952001                      -10,763625
               3,8101001                      -10,771291
                   3,825                      -10,781414
                  3,8399                      -10,794153
                  3,8548                      -10,809717
                  3,8697                      -10,828358
               3,8845999                      -10,850385
               3,8994999                      -10,876166
               3,9144001                      -10,906123
               3,9293001                      -10,940742
                  3,9442                      -10,980563
                  3,9591                      -11,026183
                   3,974                      -11,078254
               3,9888999                      -11,137472
               4,0037999                       -11,20458
               4,0187001                      -11,280362
               4,0335999                      -11,365632
               4,0485001                       -11,46124
               4,0633998                      -11,568062
                  4,0783                      -11,686998
               4,0932002                      -11,818972
               4,1080999                      -11,964928
               4,1230001                      -12,125831
               4,1378999                      -12,302669
               4,1528001                      -12,496452
               4,1676998                      -12,708212
                  4,1826                      -12,939014
               4,1975002                      -13,189946
                  4,2124                      -13,462134
               4,2273002                      -13,756736
               4,2421999                      -14,074946
               4,2571001                      -14,417991
               4,2719998                      -14,787125
                  4,2869                      -15,183615
               4,3017998                      -15,608722
                  4,3167                      -16,063655
               4,3316002                      -16,549507
               4,3464999                      -17,067156
               4,3614001                      -17,617105
               4,3762999                      -18,199228
               4,3912001                      -18,812414
               4,4060998                      -19,454017
                   4,421                      -20,119082
               4,4359002                      -20,799291
               4,4507999                      -21,481657
               4,4657001                      -22,147161
               4,4805999                      -22,769882
               4,4955001                       -23,31767
               4,5103998                       -23,75563
                  4,5253                      -24,053003
               4,5402002                      -24,191711
                  4,5551                      -24,172398
               4,5700002                       -24,01417
               4,5848999                      -23,748202
               4,5998001                      -23,409195
               4,6146998                      -23,028714
                  4,6296                      -22,631943
               4,6444998                       -22,23717
                  4,6594                      -21,856717
               4,6743002                      -21,498304
               4,6891999                      -21,166347
               4,7041001                      -20,862977
               4,7189999                      -20,588801
               4,7339001                      -20,343423
               4,7487998                      -20,125806
                  4,7637                      -19,934506
               4,7786002                      -19,767823
               4,7934999                      -19,623918
               4,8084002                      -19,500862
               4,8232999                       -19,39669
               4,8382001                      -19,309432
               4,8530998                       -19,23713
                   4,868                      -19,177854
               4,8829002                      -19,129717
                  4,8978                      -19,090887
               4,9127002                      -19,059594
               4,9275999                      -19,034138
