        Frequency / GHz                S1,1/abs,dB
                 14,3891                      -6,8932228
                  14,404                      -6,8674074
                 14,4189                       -6,841595
                 14,4338                      -6,8163771
                 14,4487                      -6,7923302
                 14,4636                      -6,7699907
                 14,4785                      -6,7498373
                 14,4934                      -6,7322721
                 14,5083                      -6,7176108
                 14,5232                      -6,7060677
                 14,5381                      -6,6977564
                  14,553                      -6,6926827
                 14,5679                      -6,6907492
                 14,5828                      -6,6917603
                 14,5977                      -6,6954311
                 14,6126                      -6,7014002
                 14,6275                       -6,709249
                 14,6424                      -6,7185163
                 14,6573                      -6,7287189
                 14,6722                      -6,7393792
                 14,6871                      -6,7500436
                  14,702                      -6,7603065
                 14,7169                      -6,7698293
                 14,7318                      -6,7783612
                 14,7467                      -6,7857487
                 14,7616                      -6,7919486
                 14,7765                      -6,7970282
                 14,7914                      -6,8011623
                 14,8063                      -6,8046262
                 14,8212                      -6,8077847
                 14,8361                      -6,8110689
                  14,851                      -6,8149593
                 14,8659                      -6,8199597
                 14,8808                      -6,8265761
                 14,8957                      -6,8352887
                 14,9106                      -6,8465321
                 14,9255                      -6,8606715
                 14,9404                      -6,8779845
                 14,9553                      -6,8986468
                 14,9702                      -6,9227192
                 14,9851                      -6,9501423
                      15                      -6,9807264

