"# Channel 1"
"# Trace 1"
Frequency; Formatted Data; Formatted Data
+8,55015750000E+009; -1,97247391795E+001; +0,00000000000E+000
+8,64015600000E+009; -1,99547643242E+001; +0,00000000000E+000
+8,73015450000E+009; -1,77533353681E+001; +0,00000000000E+000
+8,82015300000E+009; -1,77303887730E+001; +0,00000000000E+000
+8,91015150000E+009; -1,40139521087E+001; +0,00000000000E+000
+9,00015000000E+009; -1,13601761194E+001; +0,00000000000E+000
+9,09014850000E+009; -8,91131973296E+000; +0,00000000000E+000
+9,18014700000E+009; -7,63855609236E+000; +0,00000000000E+000
+9,27014550000E+009; -6,82651212796E+000; +0,00000000000E+000
+9,36014400000E+009; -6,75425635261E+000; +0,00000000000E+000
+9,45014250000E+009; -6,62601869164E+000; +0,00000000000E+000
+9,54014100000E+009; -6,84610435515E+000; +0,00000000000E+000
+9,63013950000E+009; -6,92500776005E+000; +0,00000000000E+000
+9,72013800000E+009; -6,85068069130E+000; +0,00000000000E+000
+9,81013650000E+009; -6,74476956202E+000; +0,00000000000E+000
+9,90013500000E+009; -6,82041895643E+000; +0,00000000000E+000
+9,99013350000E+009; -6,75857483572E+000; +0,00000000000E+000
+1,00801320000E+010; -6,78468706530E+000; +0,00000000000E+000
+1,01701305000E+010; -6,76544810827E+000; +0,00000000000E+000
+1,02601290000E+010; -7,14745295130E+000; +0,00000000000E+000
+1,03501275000E+010; -7,38866779613E+000; +0,00000000000E+000
+1,04401260000E+010; -8,33295831516E+000; +0,00000000000E+000
+1,05301245000E+010; -7,98273401904E+000; +0,00000000000E+000
+1,06201230000E+010; -7,82315980599E+000; +0,00000000000E+000
+1,07101215000E+010; -7,88727789039E+000; +0,00000000000E+000
+1,08001200000E+010; -7,59720216468E+000; +0,00000000000E+000
+1,08901185000E+010; -8,21052567358E+000; +0,00000000000E+000
+1,09801170000E+010; -8,31528237417E+000; +0,00000000000E+000
+1,10701155000E+010; -8,89939209925E+000; +0,00000000000E+000
+1,11601140000E+010; -9,85034596219E+000; +0,00000000000E+000
+1,12501125000E+010; -1,07028391329E+001; +0,00000000000E+000
+1,13401110000E+010; -1,00204124591E+001; +0,00000000000E+000
+1,14301095000E+010; -1,09024103589E+001; +0,00000000000E+000
+1,15201080000E+010; -1,13663766572E+001; +0,00000000000E+000
+1,16101065000E+010; -1,21024310102E+001; +0,00000000000E+000
+1,17001050000E+010; -1,34283626485E+001; +0,00000000000E+000
+1,17901035000E+010; -1,43590317838E+001; +0,00000000000E+000
+1,18801020000E+010; -1,36788635324E+001; +0,00000000000E+000
+1,19701005000E+010; -1,49506311146E+001; +0,00000000000E+000
+1,20600990000E+010; -1,50772457807E+001; +0,00000000000E+000
+1,21500975000E+010; -1,52415889865E+001; +0,00000000000E+000
+1,22400960000E+010; -1,51987191192E+001; +0,00000000000E+000
+1,23300945000E+010; -1,75062661415E+001; +0,00000000000E+000
+1,24200930000E+010; -1,66794754343E+001; +0,00000000000E+000
+1,25100915000E+010; -1,75747004389E+001; +0,00000000000E+000
+1,26000900000E+010; -1,85955568704E+001; +0,00000000000E+000
+1,26900885000E+010; -1,81653927423E+001; +0,00000000000E+000
+1,27800870000E+010; -1,95879159078E+001; +0,00000000000E+000
