        Frequency / GHz                S1,1 (wf=2.88)/abs,dB
               5.8024001                      -14.366135
               5.8288002                      -14.568192
               5.8551998                      -14.777681
               5.8815999                      -14.993181
                   5.908                      -15.214713
               5.9344001                      -15.443579
               5.9608002                      -15.681962
               5.9871998                       -15.93231
               6.0135999                      -16.196532
                    6.04                      -16.475083
               6.0664001                       -16.76599
               6.0928001                      -17.063875
               6.1192002                      -17.359145
               6.1455998                      -17.637614
               6.1719999                      -17.880992
                  6.1984                      -18.068724
               6.2248001                      -18.181357
               6.2512002                      -18.204885
               6.2775998                       -18.13453
               6.3039999                       -17.97622
                  6.3304                      -17.744981
               6.3568001                      -17.461082
               6.3832002                      -17.145716
               6.4095998                      -16.817711
               6.4359999                      -16.491722
                  6.4624                      -16.177765
                  6.4888                      -15.881537
               6.5152001                      -15.605148
               6.5416002                      -15.347957
               6.5679998                      -15.107445
               6.5943999                      -14.880038
                  6.6208                      -14.661873
               6.6472001                      -14.449481
               6.6736002                      -14.240345
               6.6999998                       -14.03327
               6.7263999                      -13.828537
                  6.7528                      -13.627837
               6.7792001                      -13.434015
               6.8056002                      -13.250688
               6.8319998                      -13.081818
               6.8583999                      -12.931296
                  6.8848                      -12.802589
                  6.9112                      -12.698468
               6.9376001                      -12.620819
               6.9640002                      -12.570527
               6.9903998                       -12.54742
               7.0167999                      -12.550265
                  7.0432                      -12.576819
               7.0696001                      -12.623939
               7.0960002                      -12.687755
               7.1223998                      -12.763927
               7.1487999                       -12.84798
                  7.1752                        -12.9357
               7.2016001                      -13.023569
               7.2280002                       -13.10916
               7.2543998                      -13.191452
               7.2807999                      -13.270981
                  7.3072                      -13.349814
                  7.3336                      -13.431353
               7.3600001                      -13.520003
               7.3864002                      -13.620768
               7.4127998                      -13.738864
               7.4391999                      -13.879359
                  7.4656                      -14.046905
               7.4920001                      -14.245547
               7.5184002                      -14.478611
               7.5447998                      -14.748654
               7.5711999                      -15.057474
                  7.5976                      -15.406142
               7.6240001                      -15.795105
               7.6504002                      -16.224303
               7.6767998                      -16.693355
               7.7031999                      -17.201804
                  7.7296                      -17.749428
                   7.756                      -18.336628
               7.7824001                      -18.964873
               7.8088002                       -19.63717
               7.8351998                      -20.358545
               7.8615999                      -21.136454
                   7.888                      -21.981075
               7.9144001                      -22.905397
               7.9408002                      -23.924866
               7.9671998                      -25.056125
               7.9935999                      -26.313504
               8.0200005                      -27.700106
               8.0464001                      -29.186474
               8.0727997                      -30.666635
               8.0992002                      -31.901988
               8.1255999                      -32.561753
               8.1520004                      -32.495014
                  8.1784                      -31.920482
               8.2047997                      -31.191018
               8.2312002                      -30.548767
               8.2575998                      -30.107498
               8.2840004                      -29.904494
                  8.3104                      -29.925133
               8.3367996                       -30.08379
               8.3632002                       -30.16268
               8.3895998                      -29.782873
               8.4160004                      -28.625685
                  8.4424                      -26.787003
               8.4687996                      -24.645021
               8.4952002                      -22.496859
               8.5215998                      -20.477295
               8.5480003                      -18.626196
               8.5743999                      -16.944298
               8.6007996                      -15.419281
               8.6272001                      -14.035952
               8.6535997                      -12.779821
               8.6800003                      -11.638157
               8.7063999                      -10.600108
               8.7327995                      -9.6565197
               8.7592001                       -8.799676
               8.7855997                       -8.023047
               8.8120003                      -7.3210684
               8.8383999                      -6.6889485
               8.8648005                      -6.1225131
               8.8912001                       -5.618071
               8.9175997                       -5.172297
               8.9440002                      -4.7821316
               8.9703999                      -4.4446908
               8.9968004                      -4.1571741
                  9.0232                      -3.9167912
               9.0495996                      -3.7206779
               9.0760002                      -3.5658187
               9.1023998                      -3.4489811
               9.1288004                      -3.3666485
                  9.1552                      -3.3149714
               9.1815996                      -3.2897385
               9.2080002                      -3.2863841
               9.2343998                      -3.3000358
               9.2608004                      -3.3256165
                  9.2872                      -3.3580127
               9.3135996                      -3.3922943
               9.3400002                      -3.4239827
               9.3663998                      -3.4493282
               9.3928003                      -3.4655583
               9.4191999                       -3.471058
               9.4455996                      -3.4654291
               9.4720001                      -3.4494351
               9.4983997                      -3.4248186
               9.5248003                      -3.3940275
               9.5511999                      -3.3599028
               9.5775995                      -3.3253587
               9.6040001                      -3.2930981
               9.6303997                      -3.2653874
               9.6568003                       -3.243904
               9.6831999                       -3.229642
               9.7096004                      -3.2228935
               9.7360001                       -3.223279
               9.7623997                      -3.2298285
               9.7888002                      -3.2411091
               9.8151999                      -3.2553791
               9.8416004                      -3.2707704
                   9.868                      -3.2854813
               9.8943996                      -3.2979534
               9.9208002                      -3.3070349
               9.9471998                      -3.3120801
               9.9736004                      -3.3130082
                      10                      -3.3102827
                 10.0264                      -3.3048441
                 10.0528                      -3.2979817
                 10.0792                      -3.2911823
                 10.1056                       -3.285973
                  10.132                      -3.2837697
                 10.1584                      -3.2857465
                 10.1848                      -3.2927471
                 10.2112                      -3.3052311
                 10.2376                      -3.3232571
                  10.264                      -3.3465114
                 10.2904                      -3.3743632
                 10.3168                      -3.4059514
                 10.3432                      -3.4402957
                 10.3696                      -3.4764096
                  10.396                      -3.5134171
                 10.4224                      -3.5506567
                 10.4488                        -3.58776
                 10.4752                      -3.6246993
                 10.5016                      -3.6617961
                  10.528                      -3.6996912
                 10.5544                      -3.7392883
                 10.5808                      -3.7816674
                 10.6072                       -3.827991
                 10.6336                      -3.8794064
                   10.66                      -3.9369604
                 10.6864                      -4.0015289
                 10.7128                      -4.0737638
                 10.7392                      -4.1540789
                 10.7656                      -4.2426385
                  10.792                      -4.3393901
                 10.8184                      -4.4441005
                 10.8448                      -4.5564194
                 10.8712                      -4.6759422
                 10.8976                      -4.8022832
                  10.924                      -4.9351378
                 10.9504                      -5.0743419
                 10.9768                       -5.219905
                 11.0032                      -5.3720267
                 11.0296                      -5.5310944
                  11.056                      -5.6976464
                 11.0824                       -5.872331
                 11.1088                      -6.0558322
                 11.1352                      -6.2488036
                 11.1616                      -6.4517872
                  11.188                      -6.6651451
                 11.2144                      -6.8889915
                 11.2408                       -7.123142
                 11.2672                      -7.3670825
                 11.2936                      -7.6199524
                   11.32                      -7.8805561
                 11.3464                       -8.147386
                 11.3728                      -8.4186766
                 11.3992                      -8.6924701
                 11.4256                      -8.9666938
                  11.452                      -9.2392494
                 11.4784                      -9.5080823
                 11.5048                      -9.7712504
                 11.5312                       -10.02696
                 11.5576                      -10.273569
                  11.584                      -10.509578
                 11.6104                      -10.733566
                 11.6368                      -10.944143
                 11.6632                      -11.139879
                 11.6896                      -11.319261
                  11.716                      -11.480674
                 11.7424                      -11.622415
                 11.7688                      -11.742763
                 11.7952                      -11.840057
                 11.8216                      -11.912831
                  11.848                       -11.95992
                 11.8744                      -11.980574
                 11.9008                      -11.974526
                 11.9272                      -11.942035
                 11.9536                      -11.883864
                   11.98                      -11.801248
                 12.0064                      -11.695811
                 12.0328                      -11.569496
                 12.0592                       -11.42448
                 12.0856                      -11.263109
                  12.112                      -11.087831
                 12.1384                      -10.901149
                 12.1648                      -10.705574
                 12.1912                      -10.503581
                 12.2176                      -10.297562
                  12.244                      -10.089785
                 12.2704                      -9.8823392
                 12.2968                      -9.6770986
                 12.3232                      -9.4756855
                 12.3496                      -9.2794425
                  12.376                      -9.0894188
                 12.4024                      -8.9063766
                 12.4288                      -8.7307989
                 12.4552                      -8.5629292
                 12.4816                       -8.402812
                  12.508                      -8.2503458
                 12.5344                      -8.1053492
                 12.5608                      -7.9676197
                 12.5872                      -7.8369972
                 12.6136                      -7.7134163
                   12.64                      -7.5969454
                 12.6664                      -7.4878113
                 12.6928                      -7.3864033
                 12.7192                       -7.293266
                 12.7456                       -7.209062
                  12.772                      -7.1345377
                 12.7984                      -7.0704622
                 12.8248                      -7.0175741
                 12.8512                      -6.9765233
                 12.8776                       -6.947814
                  12.904                      -6.9317549
                 12.9304                       -6.928428
                 12.9568                      -6.9376509
                 12.9832                      -6.9589718
                 13.0096                      -6.9916667
                  13.036                      -7.0347556
                 13.0624                      -7.0870352
                 13.0888                       -7.147123
                 13.1152                      -7.2135185
                 13.1416                      -7.2846673
                  13.168                      -7.3590424
                 13.1944                      -7.4352122
                 13.2208                       -7.511906
                 13.2472                      -7.5880654
                 13.2736                      -7.6628732
                    13.3                      -7.7357592
                 13.3264                      -7.8063816
                 13.3528                      -7.8745833
                 13.3792                      -7.9403325
                 13.4056                      -8.0036569
                  13.432                      -8.0645672
                 13.4584                      -8.1230017
                 13.4848                       -8.178773
                 13.5112                      -8.2315378
                 13.5376                      -8.2807941
                  13.564                      -8.3258933
                 13.5904                      -8.3660786
                 13.6168                      -8.4005339
                 13.6432                      -8.4284452
                 13.6696                      -8.4490645
                  13.696                      -8.4617632
                 13.7224                      -8.4660779
                 13.7488                      -8.4617359
                 13.7752                      -8.4486559
                 13.8016                      -8.4269439
                  13.828                      -8.3968567
                 13.8544                      -8.3587713
                 13.8808                      -8.3131412
                 13.9072                      -8.2604621
                 13.9336                      -8.2012444
                   13.96                       -8.135998
                 13.9864                      -8.0652306
                 14.0128                      -7.9894525
                 14.0392                      -7.9091946
                 14.0656                      -7.8250262
                  14.092                      -7.7375724
                 14.1184                       -7.647526
                 14.1448                      -7.5556542
                 14.1712                      -7.4627924
                 14.1976                      -7.3698252
                  14.224                      -7.2776719
                 14.2504                      -7.1872473
                 14.2768                      -7.0994394
                 14.3032                      -7.0150695
                 14.3296                      -6.9348682
                  14.356                      -6.8594517
                 14.3824                      -6.7893057
                 14.4088                       -6.724779
                 14.4352                      -6.6660849
                 14.4616                      -6.6133096
                  14.488                      -6.5664313
                 14.5144                      -6.5253396
                 14.5408                      -6.4898638
                 14.5672                      -6.4598003
                 14.5936                      -6.4349396
                   14.62                      -6.4150907
                 14.6464                      -6.4001012
                 14.6728                      -6.3898714
                 14.6992                      -6.3843601
                 14.7256                       -6.383583
                  14.752                      -6.3876022
                 14.7784                      -6.3965134
                 14.8048                      -6.4104231
                 14.8312                      -6.4294251
                 14.8576                      -6.4535764
                  14.884                      -6.4828707
                 14.9104                      -6.5172208
                 14.9368                      -6.5564431
                 14.9632                      -6.6002451
                 14.9896                      -6.6482294
                  15.016                      -6.6998947
                 15.0424                      -6.7546578
                 15.0688                      -6.8118703
                 15.0952                      -6.8708513
                 15.1216                      -6.9309181
                  15.148                      -6.9914188
                 15.1744                       -7.051768
                 15.2008                      -7.1114704
                 15.2272                      -7.1701402
                 15.2536                      -7.2275123
                   15.28                      -7.2834392
                 15.3064                      -7.3378739
                 15.3328                      -7.3908547
                 15.3592                      -7.4424661
                 15.3856                      -7.4928104
                  15.412                      -7.5419677
                 15.4384                      -7.5899684
                 15.4648                      -7.6367676
                 15.4912                      -7.6822299
                 15.5176                      -7.7261288
                  15.544                       -7.768158
                 15.5704                      -7.8079465
                 15.5968                      -7.8451015
                 15.6232                       -7.879236
                 15.6496                      -7.9100162
                  15.676                      -7.9371943
                 15.7024                      -7.9606408
                 15.7288                      -7.9803628
                 15.7552                      -7.9965047
                 15.7816                      -8.0093396
                  15.808                      -8.0192375
                 15.8344                      -8.0266278
                 15.8608                        -8.03195
                 15.8872                      -8.0356014
                 15.9136                      -8.0378875
                   15.94                      -8.0389819
                 15.9664                      -8.0388902
                 15.9928                      -8.0374386
               16.019199                      -8.0342747
               16.045601                      -8.0288817
               16.072001                      -8.0206201
                 16.0984                      -8.0087709
                 16.1248                      -7.9926021
               16.151199                      -7.9714225
               16.177601                      -7.9446532
                  16.204                      -7.9118759
                 16.2304                      -7.8728719
                 16.2568                      -7.8276453
               16.283199                       -7.776423
               16.309601                      -7.7196328
                  16.336                      -7.6578725
                 16.3624                       -7.591863
                 16.3888                      -7.5223944
               16.415199                      -7.4502768
               16.441601                      -7.3762971
                  16.468                      -7.3011795
                 16.4944                      -7.2255621
                 16.5208                      -7.1499905
               16.547199                      -7.0749142
               16.573601                      -7.0006939
                    16.6                      -6.9276214
                 16.6264                      -6.8559362
                 16.6528                      -6.7858474
               16.679199                      -6.7175485
               16.705601                      -6.6512298
                  16.732                      -6.5870856
                 16.7584                      -6.5253142
                 16.7848                      -6.4661096
               16.811199                      -6.4096538
               16.837601                       -6.356098
                  16.864                      -6.3055509
                 16.8904                      -6.2580638
                 16.9168                       -6.213621
               16.943199                      -6.1721329
               16.969601                      -6.1334387
                  16.996                      -6.0973158
                 17.0224                      -6.0634909
                 17.0488                       -6.031663
               17.075199                      -6.0015275
               17.101601                      -5.9728033
                  17.128                      -5.9452546
