"wgnd
References : ['dB(S(1,1))']
Dependency : [wgnd]
Num. Points : [7]
Matrix Size : scalar
Type : Real","freq
References : ['dB(S(1,1))']
Dependency : [wgnd,freq]
Num. Points : [7,1491]
Matrix Size : scalar
Type : Real","dB(S(1,1))
References : []
Dependency : [wgnd,freq]
Num. Points : [7,1491]
Matrix Size : scalar
Type : Real"
15.200,1.870 GHz,-0.438
15.200,1.880 GHz,-0.447
15.200,1.890 GHz,-0.456
15.200,1.900 GHz,-0.466
15.200,1.910 GHz,-0.476
15.200,1.920 GHz,-0.486
15.200,1.930 GHz,-0.497
15.200,1.940 GHz,-0.508
15.200,1.950 GHz,-0.520
15.200,1.960 GHz,-0.532
15.200,1.970 GHz,-0.545
15.200,1.980 GHz,-0.559
15.200,1.990 GHz,-0.573
15.200,2.000 GHz,-0.588
15.200,2.010 GHz,-0.603
15.200,2.020 GHz,-0.619
15.200,2.030 GHz,-0.636
15.200,2.040 GHz,-0.654
15.200,2.050 GHz,-0.672
15.200,2.060 GHz,-0.691
15.200,2.070 GHz,-0.711
15.200,2.080 GHz,-0.732
15.200,2.090 GHz,-0.753
15.200,2.100 GHz,-0.776
15.200,2.110 GHz,-0.799
15.200,2.120 GHz,-0.824
15.200,2.130 GHz,-0.849
15.200,2.140 GHz,-0.876
15.200,2.150 GHz,-0.903
15.200,2.160 GHz,-0.932
15.200,2.170 GHz,-0.962
15.200,2.180 GHz,-0.993
15.200,2.190 GHz,-1.025
15.200,2.200 GHz,-1.059
15.200,2.210 GHz,-1.094
15.200,2.220 GHz,-1.130
15.200,2.230 GHz,-1.168
15.200,2.240 GHz,-1.207
15.200,2.250 GHz,-1.248
15.200,2.260 GHz,-1.290
15.200,2.270 GHz,-1.334
15.200,2.280 GHz,-1.379
15.200,2.290 GHz,-1.426
15.200,2.300 GHz,-1.475
15.200,2.310 GHz,-1.526
15.200,2.320 GHz,-1.579
15.200,2.330 GHz,-1.633
15.200,2.340 GHz,-1.690
15.200,2.350 GHz,-1.748
15.200,2.360 GHz,-1.809
15.200,2.370 GHz,-1.872
15.200,2.380 GHz,-1.937
15.200,2.390 GHz,-2.004
15.200,2.400 GHz,-2.073
15.200,2.410 GHz,-2.145
15.200,2.420 GHz,-2.219
15.200,2.430 GHz,-2.296
15.200,2.440 GHz,-2.375
15.200,2.450 GHz,-2.457
15.200,2.460 GHz,-2.541
15.200,2.470 GHz,-2.629
15.200,2.480 GHz,-2.719
15.200,2.490 GHz,-2.811
15.200,2.500 GHz,-2.907
15.200,2.510 GHz,-3.005
15.200,2.520 GHz,-3.107
15.200,2.530 GHz,-3.212
15.200,2.540 GHz,-3.319
15.200,2.550 GHz,-3.430
15.200,2.560 GHz,-3.544
15.200,2.570 GHz,-3.662
15.200,2.580 GHz,-3.782
15.200,2.590 GHz,-3.907
15.200,2.600 GHz,-4.034
15.200,2.610 GHz,-4.166
15.200,2.620 GHz,-4.300
15.200,2.630 GHz,-4.439
15.200,2.640 GHz,-4.581
15.200,2.650 GHz,-4.727
15.200,2.660 GHz,-4.877
15.200,2.670 GHz,-5.031
15.200,2.680 GHz,-5.189
15.200,2.690 GHz,-5.350
15.200,2.700 GHz,-5.517
15.200,2.710 GHz,-5.687
15.200,2.720 GHz,-5.861
15.200,2.730 GHz,-6.040
15.200,2.740 GHz,-6.224
15.200,2.750 GHz,-6.412
15.200,2.760 GHz,-6.604
15.200,2.770 GHz,-6.802
15.200,2.780 GHz,-7.004
15.200,2.790 GHz,-7.211
15.200,2.800 GHz,-7.423
15.200,2.810 GHz,-7.641
15.200,2.820 GHz,-7.863
15.200,2.830 GHz,-8.091
15.200,2.840 GHz,-8.324
15.200,2.850 GHz,-8.563
15.200,2.860 GHz,-8.808
15.200,2.870 GHz,-9.058
15.200,2.880 GHz,-9.314
15.200,2.890 GHz,-9.576
15.200,2.900 GHz,-9.844
15.200,2.910 GHz,-10.119
15.200,2.920 GHz,-10.399
15.200,2.930 GHz,-10.686
15.200,2.940 GHz,-10.978
15.200,2.950 GHz,-11.278
15.200,2.960 GHz,-11.583
15.200,2.970 GHz,-11.894
15.200,2.980 GHz,-12.212
15.200,2.990 GHz,-12.535
15.200,3.000 GHz,-12.864
15.200,3.010 GHz,-13.199
15.200,3.020 GHz,-13.538
15.200,3.030 GHz,-13.881
15.200,3.040 GHz,-14.227
15.200,3.050 GHz,-14.575
15.200,3.060 GHz,-14.925
15.200,3.070 GHz,-15.274
15.200,3.080 GHz,-15.621
15.200,3.090 GHz,-15.964
15.200,3.100 GHz,-16.299
15.200,3.110 GHz,-16.625
15.200,3.120 GHz,-16.938
15.200,3.130 GHz,-17.234
15.200,3.140 GHz,-17.510
15.200,3.150 GHz,-17.761
15.200,3.160 GHz,-17.985
15.200,3.170 GHz,-18.177
15.200,3.180 GHz,-18.334
15.200,3.190 GHz,-18.455
15.200,3.200 GHz,-18.537
15.200,3.210 GHz,-18.580
15.200,3.220 GHz,-18.586
15.200,3.230 GHz,-18.555
15.200,3.240 GHz,-18.490
15.200,3.250 GHz,-18.395
15.200,3.260 GHz,-18.273
15.200,3.270 GHz,-18.127
15.200,3.280 GHz,-17.962
15.200,3.290 GHz,-17.782
15.200,3.300 GHz,-17.589
15.200,3.310 GHz,-17.386
15.200,3.320 GHz,-17.177
15.200,3.330 GHz,-16.964
15.200,3.340 GHz,-16.748
15.200,3.350 GHz,-16.532
15.200,3.360 GHz,-16.316
15.200,3.370 GHz,-16.103
15.200,3.380 GHz,-15.891
15.200,3.390 GHz,-15.684
15.200,3.400 GHz,-15.480
15.200,3.410 GHz,-15.280
15.200,3.420 GHz,-15.085
15.200,3.430 GHz,-14.895
15.200,3.440 GHz,-14.710
15.200,3.450 GHz,-14.531
15.200,3.460 GHz,-14.356
15.200,3.470 GHz,-14.186
15.200,3.480 GHz,-14.021
15.200,3.490 GHz,-13.862
15.200,3.500 GHz,-13.707
15.200,3.510 GHz,-13.557
15.200,3.520 GHz,-13.412
15.200,3.530 GHz,-13.272
15.200,3.540 GHz,-13.136
15.200,3.550 GHz,-13.005
15.200,3.560 GHz,-12.878
15.200,3.570 GHz,-12.755
15.200,3.580 GHz,-12.637
15.200,3.590 GHz,-12.522
15.200,3.600 GHz,-12.411
15.200,3.610 GHz,-12.305
15.200,3.620 GHz,-12.202
15.200,3.630 GHz,-12.102
15.200,3.640 GHz,-12.006
15.200,3.650 GHz,-11.914
15.200,3.660 GHz,-11.825
15.200,3.670 GHz,-11.739
15.200,3.680 GHz,-11.657
15.200,3.690 GHz,-11.578
15.200,3.700 GHz,-11.502
15.200,3.710 GHz,-11.429
15.200,3.720 GHz,-11.359
15.200,3.730 GHz,-11.291
15.200,3.740 GHz,-11.227
15.200,3.750 GHz,-11.166
15.200,3.760 GHz,-11.108
15.200,3.770 GHz,-11.052
15.200,3.780 GHz,-10.999
15.200,3.790 GHz,-10.949
15.200,3.800 GHz,-10.902
15.200,3.810 GHz,-10.857
15.200,3.820 GHz,-10.815
15.200,3.830 GHz,-10.776
15.200,3.840 GHz,-10.740
15.200,3.850 GHz,-10.706
15.200,3.860 GHz,-10.675
15.200,3.870 GHz,-10.647
15.200,3.880 GHz,-10.621
15.200,3.890 GHz,-10.599
15.200,3.900 GHz,-10.579
15.200,3.910 GHz,-10.562
15.200,3.920 GHz,-10.548
15.200,3.930 GHz,-10.537
15.200,3.940 GHz,-10.529
15.200,3.950 GHz,-10.524
15.200,3.960 GHz,-10.523
15.200,3.970 GHz,-10.525
15.200,3.980 GHz,-10.530
15.200,3.990 GHz,-10.539
15.200,4.000 GHz,-10.552
15.200,4.010 GHz,-10.568
15.200,4.020 GHz,-10.589
15.200,4.030 GHz,-10.613
15.200,4.040 GHz,-10.643
