        Frequency / GHz                S1,1/abs,dB
----------------------------------------------------------------------
                     0,1                     -0,35047055
                  0,1179                     -0,34256212
                  0,1358                     -0,33347833
              0,15369999                     -0,32327381
                  0,1716                     -0,31200836
                  0,1895                     -0,29974852
              0,20739999                     -0,28656329
                  0,2253                     -0,27252989
                  0,2432                     -0,25772619
              0,26109999                     -0,24223437
              0,27900001                     -0,22613882
                  0,2969                     -0,20952603
              0,31479999                     -0,19248446
              0,33270001                     -0,17510239
                  0,3506                     -0,15746845
              0,36849999                     -0,13967107
              0,38640001                     -0,12179753
                  0,4043                     -0,10393615
              0,42219999                    -0,086170721
              0,44010001                    -0,068583761
                   0,458                    -0,051255909
              0,47589999                    -0,034265373
              0,49380001                    -0,017686279
              0,51169997                   -0,0015897135
              0,52960002                     0,013956612
              0,54750001                     0,028888356
                  0,5654                     0,043145967
              0,58329999                     0,056672749
              0,60119998                     0,069418426
              0,61909997                     0,081333761
              0,63700002                     0,092376456
              0,65490001                      0,10251029
                  0,6728                      0,11169703
              0,69069999                      0,11991187
              0,70859998                      0,12712726
              0,72649997                      0,13332338
              0,74440002                      0,13848588
              0,76230001                      0,14260229
                  0,7802                      0,14566533
              0,79809999                      0,14767462
              0,81599998                      0,14863035
              0,83389997                       0,1485398
              0,85180002                      0,14741233
              0,86970001                      0,14526435
                  0,8876                      0,14211271
              0,90549999                      0,13798108
              0,92339998                      0,13289456
              0,94129997                      0,12688329
              0,95920002                      0,11997952
              0,97710001                      0,11221857
                   0,995                      0,10364201
                  1,0129                     0,094290014
                  1,0308                     0,084207553
                  1,0487                     0,073442105
                  1,0666                     0,062041903
                  1,0845                     0,050059761
               1,1023999                     0,037547625
               1,1203001                     0,024559856
                  1,1382                     0,011151672
                  1,1561                    -0,002619453
                   1,174                     -0,01669817
                  1,1919                    -0,031026887
                  1,2098                    -0,045546589
                  1,2277                    -0,060202807
                  1,2456                     -0,07493851
                  1,2635                    -0,089698758
                  1,2814                     -0,10442966
                  1,2993                     -0,11907917
               1,3171999                     -0,13359725
               1,3351001                     -0,14793557
                   1,353                     -0,16204905
                  1,3709                     -0,17589513
                  1,3888                     -0,18943465
                  1,4067                     -0,20263133
                  1,4246                     -0,21545289
                  1,4425                     -0,22787114
                  1,4604                     -0,23986129
                  1,4783                     -0,25140239
                  1,4962                     -0,26247894
                  1,5141                     -0,27307871
               1,5319999                     -0,28319556
               1,5499001                     -0,29282568
                  1,5678                     -0,30197059
                  1,5857                     -0,31063768
                  1,6036                     -0,31883663
                  1,6215                     -0,32658242
                  1,6394                     -0,33389451
                  1,6573                     -0,34079693
