        Frequency / GHz                S1,1/abs,dB
                  1,6752                     -0,34731649
                  1,6931                     -0,35348472
                   1,711                     -0,35933488
                  1,7289                     -0,36490657
               1,7467999                     -0,37023967
               1,7647001                     -0,37537858
                  1,7826                     -0,38037036
                  1,8005                     -0,38526247
                  1,8184                     -0,39010602
                  1,8363                     -0,39495489
                  1,8542                     -0,39986178
                  1,8721                     -0,40488223
                    1,89                     -0,41007196
                  1,9079                     -0,41548941
                  1,9258                     -0,42119154
                  1,9437                     -0,42723433
               1,9615999                     -0,43367666
               1,9795001                     -0,44057556
                  1,9974                     -0,44798811
                  2,0153                     -0,45596949
                  2,0332                     -0,46457619
                  2,0511                      -0,4738607
                   2,069                     -0,48387867
                  2,0869                     -0,49468033
                  2,1048                     -0,50631559
                  2,1227                     -0,51883456
                  2,1406                     -0,53228454
                  2,1585                      -0,5467107
               2,1763999                     -0,56215623
               2,1942999                     -0,57866367
               2,2121999                     -0,59627316
               2,2300999                     -0,61502147
               2,2479999                     -0,63494605
               2,2658999                      -0,6560798
               2,2837999                     -0,67845598
               2,3017001                     -0,70210352
               2,3196001                     -0,72704985
               2,3375001                     -0,75332181
               2,3554001                     -0,78094193
               2,3733001                      -0,8099324
               2,3912001                     -0,84031221
               2,4091001                     -0,87209825
                   2,427                     -0,90530711
                  2,4449                     -0,93995204
                  2,4628                     -0,97604243
                  2,4807                        -1,01359
                  2,4986                      -1,0525992
                  2,5165                      -1,0930767
                  2,5344                      -1,1350261
                  2,5523                      -1,1784473
                  2,5702                      -1,2233394
                  2,5881                      -1,2697006
               2,6059999                      -1,3175254
               2,6238999                       -1,366807
               2,6417999                      -1,4175369
               2,6596999                      -1,4697041
               2,6775999                      -1,5232954
               2,6954999                      -1,5782966
               2,7133999                      -1,6346905
               2,7313001                      -1,6924583
               2,7492001                      -1,7515807
               2,7671001                      -1,8120326
               2,7850001                       -1,873789
               2,8029001                      -1,9368249
               2,8208001                      -2,0011107
               2,8387001                      -2,0666125
                  2,8566                         -2,1333
                  2,8745                      -2,2011364
                  2,8924                       -2,270083
                  2,9103                       -2,340101
                  2,9282                      -2,4111482
                  2,9461                      -2,4831786
                   2,964                      -2,5561468
                  2,9819                      -2,6300036
                  2,9998                      -2,7046966
                  3,0177                      -2,7801729
               3,0355999                       -2,856376
               3,0534999                      -2,9332481
               3,0713999                      -3,0107285
               3,0892999                      -3,0887542
               3,1071999                      -3,1672596
               3,1250999                      -3,2461785
               3,1429999                        -3,32544
               3,1609001                      -3,4049729
               3,1788001                      -3,4847043
               3,1967001                      -3,5645596
               3,2146001                      -3,6444587
               3,2325001                      -3,7243256
               3,2504001                      -3,8040779
               3,2683001                      -3,8836349
                  3,2862                      -3,9629119
                  3,3041                      -4,0418267
                   3,322                      -4,1202932
                  3,3399                      -4,1982258
                  3,3578                      -4,2755382
                  3,3757                      -4,3521452
                  3,3936                      -4,4279588
                  3,4115                      -4,5028959
                  3,4294                      -4,5768697
                  3,4473                      -4,6497973
               3,4651999                      -4,7215962
               3,4830999                       -4,792184
               3,5009999                      -4,8614831
               3,5188999                      -4,9294171
               3,5367999                      -4,9959107
               3,5546999                      -5,0608922
               3,5725999                      -5,1242944
               3,5905001                      -5,1860528
               3,6084001                      -5,2461065
               3,6263001                       -5,304399
               3,6442001                      -5,3608768
               3,6621001                      -5,4154924
               3,6800001                      -5,4682019
               3,6979001                      -5,5189666
                  3,7158                      -5,5677532
                  3,7337                      -5,6145339
                  3,7516                      -5,6592834
                  3,7695                      -5,7019838
                  3,7874                      -5,7426216
                  3,8053                       -5,781188
                  3,8232                      -5,8176805
                  3,8411                      -5,8521031
                   3,859                       -5,884457
                  3,8769                      -5,9147588
               3,8947999                      -5,9430201
               3,9126999                      -5,9692637
               3,9305999                      -5,9935114
               3,9484999                      -6,0157934
               3,9663999                      -6,0361413
               3,9842999                      -6,0545884
               4,0022001                      -6,0711746
               4,0201001                      -6,0859411
               4,0380001                       -6,098931
               4,0559001                      -6,1101921
               4,0738001                      -6,1197728
               4,0917001                      -6,1277234
               4,1096001                      -6,1340979
               4,1275001                       -6,138949
                  4,1454                      -6,1423345
                  4,1633                      -6,1443097
                  4,1812                      -6,1449338
                  4,1991                       -6,144266
                   4,217                      -6,1423656
                  4,2349                      -6,1392944
                  4,2528                      -6,1351132
                  4,2707                      -6,1298838
                  4,2886                      -6,1236699
                  4,3065                      -6,1165333
               4,3243999                      -6,1085363
               4,3422999                      -6,0997442
               4,3601999                        -6,09022
               4,3780999                      -6,0800279
               4,3959999                      -6,0692304
               4,4138999                      -6,0578938
               4,4317999                      -6,0460824
               4,4496999                      -6,0338589
               4,4675999                      -6,0212901
               4,4854999                      -6,0084387
               4,5033998                      -5,9953709
               4,5212998                      -5,9821502
               4,5391998                      -5,9688431
               4,5570998                      -5,9555125
               4,5749998                      -5,9422235
               4,5928998                      -5,9290421
               4,6107998                      -5,9160302
               4,6286998                       -5,903255
               4,6465998                      -5,8907785
               4,6645002                      -5,8786651
               4,6824002                      -5,8669786
               4,7003002                      -5,8557816
               4,7182002                      -5,8451385
               4,7361002                       -5,835111
               4,7540002                      -5,8257597
               4,7719002                      -5,8171476
               4,7898002                      -5,8093359
               4,8077002                      -5,8023819
               4,8256001                       -5,796348
               4,8435001                       -5,791292
               4,8614001                        -5,78727
               4,8793001                      -5,7843401
               4,8972001                      -5,7825593
               4,9151001                      -5,7819797
               4,9330001                      -5,7826569
               4,9509001                      -5,7846436
               4,9688001                      -5,7879907
               4,9867001                      -5,7927492
                  5,0046                      -5,7989667
                  5,0225                      -5,8066925
                  5,0404                      -5,8159715
                  5,0583                      -5,8268494
                  5,0762                      -5,8393692
                  5,0941                      -5,8535734
                   5,112                      -5,8695014
                  5,1299                      -5,8871925
                  5,1478                      -5,9066844
                  5,1657                      -5,9280136
               5,1835999                      -5,9512122
               5,2014999                      -5,9763142
               5,2193999                      -6,0033499
               5,2372999                      -6,0323471
               5,2551999                      -6,0633349
               5,2730999                      -6,0963374
               5,2909999                      -6,1313792
               5,3088999                      -6,1684819
               5,3267999                      -6,2076669
               5,3446999                      -6,2489503
               5,3625998                        -6,29235
               5,3804998                      -6,3378814
               5,3983998                      -6,3855566
               5,4162998                      -6,4353868
               5,4341998                      -6,4873816
               5,4520998                      -6,5415485
               5,4699998                      -6,5978922
               5,4878998                      -6,6564178
               5,5057998                      -6,7171264
               5,5237002                      -6,7800185
               5,5416002                      -6,8450926
               5,5595002                      -6,9123445
               5,5774002                      -6,9817696
               5,5953002                      -7,0533609
               5,6132002                      -7,1271083
               5,6311002                      -7,2030039
               5,6490002                      -7,2810338
               5,6669002                      -7,3611839
               5,6848001                      -7,4434402
               5,7027001                      -7,5277849
               5,7206001                         -7,6142
               5,7385001                      -7,7026647
               5,7564001                      -7,7931607
               5,7743001                      -7,8856629
               5,7922001                      -7,9801491
               5,8101001                      -8,0765942
               5,8280001                       -8,174974
               5,8459001                      -8,2752622
                  5,8638                      -8,3774302
                  5,8817                      -8,4814515
                  5,8996                      -8,5872988
                  5,9175                      -8,6949433
                  5,9354                      -8,8043583
                  5,9533                      -8,9155158
                  5,9712                      -9,0283871
                  5,9891                      -9,1429475
                   6,007                      -9,2591697
                  6,0249                      -9,3770288
               6,0427999                      -9,4965021
               6,0606999                      -9,6175666
               6,0785999                      -9,7402046
               6,0964999                      -9,8643953
               6,1143999                      -9,9901253
               6,1322999                      -10,117381
               6,1501999                      -10,246153
               6,1680999                      -10,376435
               6,1859999                      -10,508223
               6,2038999                      -10,641519
               6,2217999                      -10,776328
               6,2396998                      -10,912657
               6,2575998                      -11,050525
               6,2754998                      -11,189946
               6,2933998                      -11,330948
               6,3112998                      -11,473559
               6,3291998                      -11,617814
               6,3470998                      -11,763755
               6,3649998                      -11,911426
               6,3829002                      -12,060884
               6,4008002                      -12,212186
               6,4187002                      -12,365397
               6,4366002                      -12,520591
               6,4545002                      -12,677845
               6,4724002                      -12,837243
               6,4903002                      -12,998879
               6,5082002                      -13,162847
               6,5261002                      -13,329253
               6,5440001                      -13,498207
               6,5619001                      -13,669824
               6,5798001                      -13,844223
               6,5977001                      -14,021535
               6,6156001                      -14,201889
               6,6335001                      -14,385422
               6,6514001                      -14,572274
               6,6693001                      -14,762588
               6,6872001                      -14,956511
               6,7051001                      -15,154191
                   6,723                      -15,355775
                  6,7409                      -15,561412
                  6,7588                      -15,771248
                  6,7767                      -15,985425
                  6,7946                      -16,204079
                  6,8125                      -16,427336
                  6,8304                      -16,655313
                  6,8483                      -16,888109
                  6,8662                      -17,125806
                  6,8841                      -17,368459
                   6,902                      -17,616093
               6,9198999                      -17,868695
               6,9377999                      -18,126205
               6,9556999                      -18,388506
               6,9735999                      -18,655409
               6,9914999                      -18,926646
               7,0093999                      -19,201846
               7,0272999                      -19,480523
               7,0451999                      -19,762051
               7,0630999                      -20,045644
               7,0809999                      -20,330328
               7,0988998                      -20,614923
               7,1167998                      -20,898008
               7,1346998                      -21,177908
               7,1525998                      -21,452678
               7,1704998                       -21,72009
               7,1883998                      -21,977649
               7,2062998                      -22,222617
               7,2241998                      -22,452065
               7,2420998                      -22,662959
               7,2600002                      -22,852262
               7,2779002                       -23,01708
               7,2958002                      -23,154817
               7,3137002                      -23,263327
               7,3316002                      -23,341076
               7,3495002                      -23,387244
               7,3674002                      -23,401801
               7,3853002                      -23,385508
               7,4032001                      -23,339867
               7,4211001                      -23,267015
               7,4390001                      -23,169578
               7,4569001                      -23,050515
               7,4748001                      -22,912959
               7,4927001                      -22,760074
               7,5106001                      -22,594936
               7,5285001                      -22,420446
               7,5464001                      -22,239272
               7,5643001                      -22,053814
               7,5822001                      -21,866192
                  7,6001                      -21,678248
                   7,618                      -21,491562
                  7,6359                      -21,307469
                  7,6538                      -21,127083
                  7,6717                      -20,951324
                  7,6896                      -20,780938
                  7,7075                      -20,616523
                  7,7254                      -20,458546
                  7,7433                      -20,307362
                  7,7612                      -20,163228
               7,7790999                      -20,026321
               7,7969999                      -19,896741
               7,8148999                      -19,774526
               7,8327999                      -19,659653
               7,8506999                      -19,552051
               7,8685999                      -19,451598
               7,8864999                      -19,358125
               7,9043999                      -19,271419
               7,9222999                      -19,191222
               7,9401999                      -19,117232
               7,9580998                      -19,049097
               7,9759998                       -18,98642
               7,9938998                       -18,92875
               8,0117998                      -18,875583
               8,0297003                      -18,826359
               8,0475998                      -18,780456
               8,0655003                      -18,737192
               8,0833998                      -18,695819
               8,1013002                      -18,655524
               8,1191998                       -18,61543
               8,1371002                      -18,574594
               8,1549997                      -18,532018
               8,1729002                      -18,486652
               8,1907997                      -18,437403
               8,2087002                      -18,383152
               8,2265997                      -18,322768
               8,2445002                      -18,255132
               8,2623997                      -18,179155
               8,2803001                      -18,093808
               8,2981997                      -17,998148
               8,3161001                      -17,891343
               8,3339996                      -17,772699
               8,3519001                      -17,641684
               8,3697996                      -17,497941
               8,3877001                      -17,341298
               8,4055996                      -17,171782
               8,4235001                      -16,989607
               8,4413996                      -16,795165
                  8,4593                      -16,589017
               8,4771996                      -16,371864
                  8,4951                      -16,144525
               8,5129995                       -15,90791
                  8,5309                      -15,662996
               8,5488005                      -15,410796
                  8,5667                      -15,152338
               8,5846004                      -14,888641
                  8,6025                      -14,620703
               8,6204004                       -14,34948
               8,6382999                      -14,075879
               8,6562004                      -13,800748
               8,6740999                      -13,524874
               8,6920004                      -13,248978
               8,7098999                      -12,973715
               8,7278004                      -12,699676
               8,7456999                       -12,42739
               8,7636003                      -12,157325
               8,7814999                      -11,889896
               8,7994003                      -11,625467
               8,8172998                      -11,364349
               8,8352003                      -11,106817
               8,8530998                      -10,853101
               8,8710003                      -10,603399
               8,8888998                      -10,357878
               8,9068003                      -10,116672
               8,9246998                      -9,8798936
               8,9426003                      -9,6476327
               8,9604998                      -9,4199578
               8,9784002                      -9,1969219
               8,9962997                      -8,9785603
               9,0142002                      -8,7648972
               9,0320997                      -8,5559424
               9,0500002                      -8,3516985
               9,0678997                      -8,1521555
               9,0858002                      -7,9572982
               9,1036997                      -7,7671037
               9,1216002                      -7,5815436
               9,1394997                      -7,4005838
               9,1574001                      -7,2241841
               9,1752996                      -7,0523027
               9,1932001                      -6,8848947
               9,2110996                      -6,7219096
               9,2290001                      -6,5632978
               9,2468996                      -6,4090043
               9,2648001                      -6,2589742
               9,2826996                      -6,1131503
               9,3006001                      -5,9714729
               9,3184996                      -5,8338836
                  9,3364                      -5,7003195
               9,3542995                      -5,5707201
                  9,3722                      -5,4450212
               9,3900995                      -5,3231593
                   9,408                      -5,2050706
               9,4259005                      -5,0906886
                  9,4438                      -4,9799482
               9,4617004                      -4,8727815
                  9,4796                      -4,7691231
               9,4975004                      -4,6689059
               9,5153999                      -4,5720602
               9,5333004                      -4,4785172
               9,5511999                      -4,3882093
               9,5691004                      -4,3010657
               9,5869999                      -4,2170153
               9,6049004                      -4,1359907
               9,6227999                      -4,0579195
               9,6407003                      -3,9827293
               9,6585999                      -3,9103494
               9,6765003                      -3,8407072
               9,6943998                      -3,7737304
               9,7123003                      -3,7093464
               9,7301998                      -3,6474819
               9,7481003                      -3,5880626
               9,7659998                      -3,5310169
               9,7839003                      -3,4762686
               9,8017998                      -3,4237461
               9,8197002                      -3,3733736
               9,8375998                      -3,3250798
               9,8555002                      -3,2787879
               9,8733997                      -3,2344267
               9,8913002                      -3,1919213
               9,9091997                      -3,1511996
               9,9271002                      -3,1121899
               9,9449997                      -3,0748194
               9,9629002                      -3,0390163
               9,9807997                      -3,0047116
               9,9987001                      -2,9718371
                 10,0166                      -2,9403224
                 10,0345                      -2,9101014
                 10,0524                      -2,8811089
                 10,0703                       -2,853279
                 10,0882                      -2,8265519
                 10,1061                      -2,8008664
                  10,124                      -2,7761619
                 10,1419                      -2,7523829
                 10,1598                      -2,7294747
                 10,1777                      -2,7073846
                 10,1956                      -2,6860632
                 10,2135                      -2,6654619
                 10,2314                      -2,6455371
                 10,2493                      -2,6262451
                 10,2672                       -2,607548
                 10,2851                      -2,5894081
                  10,303                      -2,5717917
                 10,3209                      -2,5546674
                 10,3388                      -2,5380072
                 10,3567                      -2,5217861
                 10,3746                      -2,5059816
                 10,3925                      -2,4905746
                 10,4104                      -2,4755473
                 10,4283                      -2,4608864
                 10,4462                      -2,4465816
                 10,4641                      -2,4326217
                  10,482                      -2,4190028
                 10,4999                      -2,4057195
                 10,5178                      -2,3927713
                 10,5357                      -2,3801582
                 10,5536                      -2,3678819
                 10,5715                      -2,3559473
                 10,5894                      -2,3443607
                 10,6073                      -2,3331288
                 10,6252                      -2,3222602
                 10,6431                      -2,3117644
                  10,661                      -2,3016533
                 10,6789                      -2,2919366
                 10,6968                      -2,2826268
                 10,7147                       -2,273737
                 10,7326                      -2,2652779
                 10,7505                      -2,2572646
                 10,7684                      -2,2497072
                 10,7863                      -2,2426191
                 10,8042                      -2,2360121
                 10,8221                      -2,2298957
                   10,84                      -2,2242821
                 10,8579                      -2,2191789
                 10,8758                      -2,2145958
                 10,8937                      -2,2105403
                 10,9116                      -2,2070178
                 10,9295                      -2,2040325
                 10,9474                       -2,201589
                 10,9653                      -2,1996891
                 10,9832                      -2,1983317
                 11,0011                       -2,197517
                  11,019                      -2,1972423
                 11,0369                      -2,1975028
                 11,0548                      -2,1982932
                 11,0727                      -2,1996049
                 11,0906                      -2,2014298
                 11,1085                      -2,2037563
                 11,1264                      -2,2065712
                 11,1443                      -2,2098635
                 11,1622                      -2,2136155
                 11,1801                      -2,2178118
                  11,198                      -2,2224343
                 11,2159                      -2,2274632
                 11,2338                      -2,2328796
                 11,2517                      -2,2386616
                 11,2696                      -2,2447865
                 11,2875                      -2,2512329
                 11,3054                      -2,2579767
                 11,3233                      -2,2649934
                 11,3412                        -2,27226
                 11,3591                      -2,2797503
                  11,377                      -2,2874399
                 11,3949                      -2,2953059
                 11,4128                      -2,3033225
                 11,4307                      -2,3114666
                 11,4486                      -2,3197142
                 11,4665                      -2,3280429
                 11,4844                      -2,3364309
                 11,5023                      -2,3448566
                 11,5202                      -2,3533009
                 11,5381                      -2,3617446
                  11,556                      -2,3701705
                 11,5739                      -2,3785624
                 11,5918                       -2,386906
                 11,6097                      -2,3951888
                 11,6276                      -2,4033992
                 11,6455                      -2,4115292
                 11,6634                      -2,4195697
                 11,6813                      -2,4275161
                 11,6992                      -2,4353653
                 11,7171                      -2,4431143
                  11,735                      -2,4507638
                 11,7529                      -2,4583162
                 11,7708                      -2,4657756
                 11,7887                      -2,4731484
                 11,8066                       -2,480441
                 11,8245                      -2,4876641
                 11,8424                      -2,4948277
                 11,8603                      -2,5019459
                 11,8782                      -2,5090336
                 11,8961                      -2,5161039
                  11,914                      -2,5231764
                 11,9319                      -2,5302686
                 11,9498                      -2,5373993
                 11,9677                      -2,5445907
                 11,9856                      -2,5518621
                 12,0035                      -2,5592363
                 12,0214                      -2,5667354
                 12,0393                      -2,5743823
                 12,0572                      -2,5822011
                 12,0751                      -2,5902142
                  12,093                      -2,5984458
                 12,1109                      -2,6069188
                 12,1288                      -2,6156565
                 12,1467                      -2,6246825
                 12,1646                      -2,6340176
                 12,1825                      -2,6436857
                 12,2004                      -2,6537061
                 12,2183                      -2,6641011
                 12,2362                      -2,6748884
                 12,2541                      -2,6860887
                  12,272                       -2,697718
                 12,2899                      -2,7097939
                 12,3078                      -2,7223315
                 12,3257                      -2,7353448
                 12,3436                      -2,7488478
                 12,3615                      -2,7628519
                 12,3794                      -2,7773664
                 12,3973                      -2,7924014
                 12,4152                      -2,8079647
                 12,4331                      -2,8240619
                  12,451                      -2,8406977
                 12,4689                      -2,8578772
                 12,4868                      -2,8756002
                 12,5047                      -2,8938704
                 12,5226                      -2,9126837
                 12,5405                      -2,9320401
                 12,5584                      -2,9519349
                 12,5763                       -2,972366
                 12,5942                      -2,9933253
                 12,6121                      -3,0148061
                   12,63                      -3,0368013
                 12,6479                      -3,0593005
                 12,6658                      -3,0822928
                 12,6837                      -3,1057689
                 12,7016                      -3,1297142
                 12,7195                       -3,154117
                 12,7374                      -3,1789642
                 12,7553                      -3,2042404
                 12,7732                      -3,2299301
                 12,7911                      -3,2560177
                  12,809                       -3,282487
                 12,8269                       -3,309322
                 12,8448                      -3,3365044
                 12,8627                      -3,3640198
                 12,8806                       -3,391848
                 12,8985                      -3,4199734
                 12,9164                      -3,4483793
                 12,9343                      -3,4770475
                 12,9522                      -3,5059603
                 12,9701                      -3,5351038
                  12,988                      -3,5644592
                 13,0059                      -3,5940119
                 13,0238                      -3,6237461
                 13,0417                      -3,6536475
                 13,0596                      -3,6837016
                 13,0775                      -3,7138952
                 13,0954                      -3,7442158
                 13,1133                        -3,77465
                 13,1312                      -3,8051879
                 13,1491                      -3,8358201
                  13,167                      -3,8665371
                 13,1849                      -3,8973307
                 13,2028                      -3,9281915
                 13,2207                      -3,9591156
                 13,2386                      -3,9900959
                 13,2565                      -4,0211292
                 13,2744                      -4,0522125
                 13,2923                      -4,0833416
                 13,3102                      -4,1145161
                 13,3281                       -4,145734
                  13,346                       -4,176998
                 13,3639                      -4,2083074
                 13,3818                      -4,2396648
                 13,3997                      -4,2710713
                 13,4176                      -4,3025315
                 13,4355                      -4,3340491
                 13,4534                      -4,3656278
                 13,4713                       -4,397272
                 13,4892                      -4,4289869
                 13,5071                      -4,4607781
                  13,525                      -4,4926503
                 13,5429                      -4,5246107
                 13,5608                      -4,5566607
                 13,5787                      -4,5888108
                 13,5966                      -4,6210618
                 13,6145                      -4,6534184
                 13,6324                      -4,6858874
                 13,6503                      -4,7184707
                 13,6682                      -4,7511696
                 13,6861                      -4,7839875
                  13,704                      -4,8169257
                 13,7219                       -4,849982
                 13,7398                      -4,8831581
                 13,7577                      -4,9164487
                 13,7756                      -4,9498514
                 13,7935                      -4,9833624
                 13,8114                      -5,0169714
                 13,8293                      -5,0506726
                 13,8472                      -5,0844552
                 13,8651                      -5,1183081
                  13,883                      -5,1522177
                 13,9009                       -5,186167
                 13,9188                      -5,2201408
                 13,9367                      -5,2541188
                 13,9546                      -5,2880813
                 13,9725                      -5,3220041
                 13,9904                      -5,3558636
                 14,0083                       -5,389633
                 14,0262                      -5,4232833
                 14,0441                      -5,4567844
                  14,062                      -5,4901051
                 14,0799                      -5,5232127
                 14,0978                      -5,5560715
                 14,1157                      -5,5886439
                 14,1336                      -5,6208955
                 14,1515                      -5,6527866
                 14,1694                      -5,6842776
                 14,1873                       -5,715329
                 14,2052                      -5,7458989
                 14,2231                      -5,7759482
                  14,241                      -5,8054354
                 14,2589                        -5,83432
                 14,2768                      -5,8625623
                 14,2947                      -5,8901204
                 14,3126                      -5,9169572
                 14,3305                      -5,9430359
                 14,3484                      -5,9683187
                 14,3663                      -5,9927728
                 14,3842                       -6,016364
                 14,4021                      -6,0390632
                   14,42                      -6,0608426
                 14,4379                      -6,0816758
                 14,4558                      -6,1015411
                 14,4737                      -6,1204194
                 14,4916                      -6,1382934
                 14,5095                      -6,1551515
                 14,5274                      -6,1709829
                 14,5453                      -6,1857816
                 14,5632                       -6,199546
                 14,5811                      -6,2122766
                  14,599                      -6,2239775
                 14,6169                      -6,2346564
                 14,6348                      -6,2443274
                 14,6527                      -6,2530022
                 14,6706                      -6,2607004
                 14,6885                      -6,2674438
                 14,7064                      -6,2732546
                 14,7243                      -6,2781604
                 14,7422                      -6,2821899
                 14,7601                      -6,2853753
                  14,778                      -6,2877477
                 14,7959                      -6,2893424
                 14,8138                      -6,2901956
                 14,8317                      -6,2903426
                 14,8496                       -6,289822
                 14,8675                       -6,288671
                 14,8854                      -6,2869269
                 14,9033                      -6,2846269
                 14,9212                      -6,2818084
                 14,9391                       -6,278505
                  14,957                      -6,2747528
                 14,9749                      -6,2705839
                 14,9928                      -6,2660284
                 15,0107                       -6,261116
                 15,0286                      -6,2558733
                 15,0465                      -6,2503225
                 15,0644                       -6,244487
                 15,0823                      -6,2383832
                 15,1002                      -6,2320282
                 15,1181                      -6,2254325
                  15,136                      -6,2186068
                 15,1539                      -6,2115546
                 15,1718                      -6,2042799
                 15,1897                      -6,1967799
                 15,2076                      -6,1890521
                 15,2255                      -6,1810865
                 15,2434                      -6,1728748
                 15,2613                      -6,1644007
                 15,2792                      -6,1556489
                 15,2971                      -6,1465982
                  15,315                      -6,1372263
                 15,3329                      -6,1275093
                 15,3508                        -6,11742
                 15,3687                       -6,106928
                 15,3866                      -6,0960044
                 15,4045                      -6,0846162
                 15,4224                      -6,0727307
                 15,4403                       -6,060315
                 15,4582                      -6,0473338
                 15,4761                      -6,0337549
                  15,494                       -6,019544
                 15,5119                      -6,0046668
                 15,5298                      -5,9890943
                 15,5477                       -5,972795
                 15,5656                      -5,9557416
                 15,5835                      -5,9379072
                 15,6014                      -5,9192692
                 15,6193                      -5,8998087
                 15,6372                      -5,8795066
                 15,6551                      -5,8583496
                  15,673                      -5,8363284
                 15,6909                      -5,8134355
                 15,7088                      -5,7896723
                 15,7267                      -5,7650392
                 15,7446                      -5,7395425
                 15,7625                      -5,7131956
                 15,7804                      -5,6860126
                 15,7983                      -5,6580157
                 15,8162                      -5,6292288
                 15,8341                      -5,5996802
                  15,852                      -5,5694058
                 15,8699                      -5,5384406
                 15,8878                      -5,5068283
                 15,9057                      -5,4746127
                 15,9236                       -5,441843
                 15,9415                       -5,408571
                 15,9594                      -5,3748522
                 15,9773                      -5,3407432
                 15,9952                      -5,3063035
                 16,0131                      -5,2715954
                  16,031                      -5,2366834
               16,048901                      -5,2016312
               16,066799                      -5,1665033
                 16,0847                       -5,131369
                 16,1026                      -5,0962929
               16,120501                      -5,0613435
               16,138399                      -5,0265877
                 16,1563                      -4,9920912
                 16,1742                      -4,9579203
               16,192101                      -4,9241403
               16,209999                       -4,890814
                 16,2279                      -4,8580049
                 16,2458                      -4,8257729
                 16,2637                      -4,7941786
               16,281601                      -4,7632766
                 16,2995                      -4,7331249
                 16,3174                       -4,703775
                 16,3353                      -4,6752785
               16,353201                      -4,6476846
               16,371099                      -4,6210395
                  16,389                      -4,5953874
                 16,4069                      -4,5707697
               16,424801                      -4,5472268
               16,442699                      -4,5247943
                 16,4606                      -4,5035086
                 16,4785                      -4,4834011
               16,496401                      -4,4645009
               16,514299                      -4,4468384
                 16,5322                      -4,4304365
                 16,5501                      -4,4153202
               16,568001                      -4,4015108
               16,585899                      -4,3890276
                 16,6038                       -4,377889
                 16,6217                      -4,3681089
               16,639601                      -4,3597035
               16,657499                      -4,3526844
                 16,6754                      -4,3470624
                 16,6933                      -4,3428488
               16,711201                      -4,3400501
               16,729099                      -4,3386739
                  16,747                      -4,3387282
                 16,7649                      -4,3402166
               16,782801                      -4,3431433
               16,800699                      -4,3475147
                 16,8186                      -4,3533303
                 16,8365                       -4,360595
               16,854401                      -4,3693107
               16,872299                      -4,3794802
                 16,8902                      -4,3911038
                 16,9081                      -4,4041841
               16,926001                      -4,4187224
               16,943899                      -4,4347218
                 16,9618                      -4,4521832
                 16,9797                      -4,4711085
               16,997601                      -4,4915007
               17,015499                      -4,5133623
                 17,0334                      -4,5366977
                 17,0513                      -4,5615103
               17,069201                      -4,5878026
               17,087099                      -4,6155817
                  17,105                      -4,6448508
                 17,1229                      -4,6756181
