freq	dB(S11_fitted)
0,00000000000000000E0	-3,18228063962585361E-14
8,27425244570652296E0	-4,43590634614513135E-14
8,27425244570652296E1	-7,32888874580501160E-14
8,27425244570652296E2	-1,20540933319169241E-12
8,27425244570652296E3	-1,15848515867685165E-10
1,04166666674999808E4	-1,83588663084354975E-10
1,31138063739049882E4	-2,90924096079467054E-10
1,65093040894573129E4	-4,61058462355895227E-10
2,07839824492551761E4	-7,30695993952290657E-10
2,61654836636513233E4	-1,15804542542157618E-9
3,29403922960557960E4	-1,83535721523891926E-9
4,14694969359734511E4	-2,90878387001385885E-9
5,22070035070173422E4	-4,61009956794432885E-9
6,57247233886113502E4	-7,30647970721028717E-9
8,27425244570652829E4	-1,15799431676056397E-8
1,04166666674999875E5	-1,83529058195601591E-8
1,31138063739049970E5	-2,90873305433970275E-8
1,65093040894573262E5	-4,61001577889783842E-8
2,07839824492551895E5	-7,30634415042495355E-8
2,61654836636513455E5	-1,15796866295355705E-7
3,29403922960558182E5	-1,83523428268127953E-7
4,14694969359734955E5	-2,90859506433499782E-7
5,22070035070173866E5	-4,60967361059268121E-7
6,57247233886114124E5	-7,30549228930998407E-7
8,27425244570653362E5	-1,15775507117907739E-6
1,04166666674999941E6	-1,83469869793720219E-6
1,31138063739050059E6	-2,90725052476625612E-6
1,65093040894573351E6	-4,60629860789691925E-6
2,07839824492552072E6	-7,29702109480657146E-6
2,61654836636513544E6	-1,15562968658469911E-5
3,29403922960558404E6	-1,82936946888517937E-5
4,14694969359735133E6	-2,89390160236127114E-5
5,22070035070174043E6	-4,57291566204216426E-5
6,57247233886114213E6	-7,21374961171205253E-5
8,27425244570654073E6	-1,13494074765194797E-4
1,04166666675000008E7	-1,77828402908126693E-4
1,17776035376542465E7	-2,25408519080976832E-4
1,31449446777222834E7	-2,78148939583136068E-4
1,65485048914130806E7	-4,29045796219742481E-4
2,08333333350000016E7	-6,52978719479228076E-4
2,55251850424648241E7	-9,31595356343348335E-4
3,12500000025000002E7	-1,30383460563944631E-3
3,62192144522705917E7	-1,64436246500946170E-3
4,16666666700000032E7	-2,02681306408674944E-3
4,75881478483200571E7	-2,44555895410703528E-3
5,37826408951066970E7	-2,88073838816696881E-3
6,77083333362500195E7	-3,82891118425146848E-3
7,98540067173112522E7	-4,60851052381276638E-3
9,37500000025000091E7	-5,43960719587133745E-3
1,06589080239259126E8	-6,15045666140887182E-3
1,19791666668750030E8	-6,82889115922897361E-3
1,45833333335000015E8	-8,03764555232589117E-3
1,71875000001250022E8	-9,12240798779366813E-3
1,97916666667500007E8	-1,01338472411287150E-2
2,23958333333749993E8	-1,11108620534351754E-2
2,50000000000000000E8	-1,20813185871829476E-2
2,81250000000000000E8	-1,32639445832834646E-2
3,12500000000000000E8	-1,44866320224838185E-2
3,43750000000000000E8	-1,57630156185905745E-2
3,75000000000000000E8	-1,71013557263879590E-2
4,06250000000000000E8	-1,85064951764164665E-2
4,37500000000000000E8	-1,99811348563686519E-2
4,68750000000000000E8	-2,15266813850520311E-2
5,00000000000000000E8	-2,31438267793158303E-2
5,31250000000000000E8	-2,48329586099954769E-2
5,62500000000000000E8	-2,65944612054747509E-2
5,93750000000000000E8	-2,84289454760903393E-2
6,25000000000000000E8	-3,03374310327539387E-2
6,56250000000000000E8	-3,23214958108215011E-2
6,87500000000000000E8	-3,43834032013328850E-2
7,18750000000000000E8	-3,65262134457965404E-2
7,50000000000000000E8	-3,87538839973091598E-2
7,73437500000000000E8	-4,04832629330454097E-2
7,96875000000000000E8	-4,22656175951105517E-2
8,20312500000000000E8	-4,41037900662137528E-2
8,43750000000000000E8	-4,60010032294093030E-2
8,67187500000000000E8	-4,79608803350935720E-2
8,90625000000000000E8	-4,99874645719614108E-2
9,14062500000000000E8	-5,20852387877874445E-2
9,37500000000000000E8	-5,42591454934183659E-2
9,60937500000000000E8	-5,65146072737557681E-2
9,84375000000000000E8	-5,88575477208635967E-2
1,00781250000000000E9	-6,12944129987088449E-2
1,03125000000000000E9	-6,38321941436666407E-2
1,05468750000000000E9	-6,64784502009983669E-2
1,07812500000000000E9	-6,92413322945695153E-2
1,10156250000000000E9	-7,21296087235742078E-2
1,12500000000000000E9	-7,51526911787512475E-2
1,14843750000000000E9	-7,83206621675418013E-2
1,17187500000000000E9	-8,16443037360217971E-2
1,19531250000000000E9	-8,51351275733616397E-2
1,21875000000000000E9	-8,88054065820768201E-2
1,24218750000000000E9	-9,26682079947293502E-2
1,26562500000000000E9	-9,67374281143515269E-2
1,28906250000000000E9	-1,01027828752380655E-1
1,31250000000000000E9	-1,05555075432486012E-1
1,33593750000000000E9	-1,10335777423185988E-1
