"# Channel 1"
"# Trace 1"
Frequency; Formatted Data; Formatted Data
+8,55015750000E+009; -1,25061571758E+001; +0,00000000000E+000
+8,64015600000E+009; -1,16696446991E+001; +0,00000000000E+000
+8,73015450000E+009; -1,10432525570E+001; +0,00000000000E+000
+8,82015300000E+009; -9,93829575779E+000; +0,00000000000E+000
+8,91015150000E+009; -9,80503194310E+000; +0,00000000000E+000
+9,00015000000E+009; -9,76371897123E+000; +0,00000000000E+000
+9,09014850000E+009; -8,72895297407E+000; +0,00000000000E+000
+9,18014700000E+009; -8,22177502053E+000; +0,00000000000E+000
+9,27014550000E+009; -7,19553587555E+000; +0,00000000000E+000
+9,36014400000E+009; -7,12181954424E+000; +0,00000000000E+000
+9,45014250000E+009; -6,78824519796E+000; +0,00000000000E+000
+9,54014100000E+009; -6,81640361994E+000; +0,00000000000E+000
+9,63013950000E+009; -5,60786812227E+000; +0,00000000000E+000
+9,72013800000E+009; -5,80568444071E+000; +0,00000000000E+000
+9,81013650000E+009; -4,59237370000E+000; +0,00000000000E+000
+9,90013500000E+009; -4,31078052903E+000; +0,00000000000E+000
+9,99013350000E+009; -4,17594883467E+000; +0,00000000000E+000
+1,00801320000E+010; -3,70528364256E+000; +0,00000000000E+000
+1,01701305000E+010; -3,54950186201E+000; +0,00000000000E+000
+1,02601290000E+010; -3,75299178044E+000; +0,00000000000E+000
+1,03501275000E+010; -3,47073187677E+000; +0,00000000000E+000
+1,04401260000E+010; -3,98219722411E+000; +0,00000000000E+000
+1,05301245000E+010; -3,17833871153E+000; +0,00000000000E+000
+1,06201230000E+010; -2,71185064336E+000; +0,00000000000E+000
+1,07101215000E+010; -2,51370639417E+000; +0,00000000000E+000
+1,08001200000E+010; -2,23229347708E+000; +0,00000000000E+000
+1,08901185000E+010; -2,44106618079E+000; +0,00000000000E+000
+1,09801170000E+010; -2,40038734780E+000; +0,00000000000E+000
+1,10701155000E+010; -2,56485166398E+000; +0,00000000000E+000
+1,11601140000E+010; -3,07422602074E+000; +0,00000000000E+000
+1,12501125000E+010; -3,11964446942E+000; +0,00000000000E+000
+1,13401110000E+010; -2,64879285338E+000; +0,00000000000E+000
+1,14301095000E+010; -2,81414772146E+000; +0,00000000000E+000
+1,15201080000E+010; -2,53330789739E+000; +0,00000000000E+000
+1,16101065000E+010; -2,63076032135E+000; +0,00000000000E+000
+1,17001050000E+010; -2,83377422049E+000; +0,00000000000E+000
