        Frequency / GHz                S1,1 (1)/abs,dB
                   5.908                      -12.654104
               5.9344001                      -12.624947
               5.9608002                      -12.593682
               5.9871998                      -12.561093
               6.0135999                      -12.527903
                    6.04                      -12.494775
               6.0664001                      -12.462308
               6.0928001                      -12.431045
               6.1192002                      -12.401469
               6.1455998                      -12.374013
               6.1719999                      -12.349062
                  6.1984                      -12.326953
               6.2248001                      -12.307984
               6.2512002                      -12.292417
               6.2775998                      -12.280477
               6.3039999                       -12.27236
                  6.3304                      -12.268232
               6.3568001                       -12.26823
               6.3832002                      -12.272462
               6.4095998                      -12.281008
               6.4359999                      -12.293923
                  6.4624                      -12.311228
                  6.4888                      -12.332912
               6.5152001                      -12.358934
               6.5416002                      -12.389212
               6.5679998                      -12.423626
               6.5943999                      -12.462016
                  6.6208                      -12.504173
               6.6472001                      -12.549842
               6.6736002                      -12.598716
               6.6999998                      -12.650439
               6.7263999                      -12.704595
                  6.7528                      -12.760719
               6.7792001                      -12.818294
               6.8056002                      -12.876751
               6.8319998                      -12.935478
               6.8583999                      -12.993824
                  6.8848                      -13.051112
                  6.9112                      -13.106646
               6.9376001                       -13.15973
               6.9640002                      -13.209681
               6.9903998                      -13.255847
               7.0167999                      -13.297631
                  7.0432                      -13.334502
               7.0696001                      -13.366023
               7.0960002                      -13.391866
               7.1223998                      -13.411823
               7.1487999                      -13.425825
                  7.1752                      -13.433944
               7.2016001                      -13.436396
               7.2280002                      -13.433546
               7.2543998                      -13.425892
               7.2807999                      -13.414059
                  7.3072                      -13.398786
                  7.3336                      -13.380905
               7.3600001                      -13.361324
               7.3864002                       -13.34101
               7.4127998                      -13.320971
               7.4391999                      -13.302234
                  7.4656                       -13.28583
               7.4920001                       -13.27279
               7.5184002                      -13.264118
               7.5447998                      -13.260796
               7.5711999                       -13.26377
                  7.5976                      -13.273951
               7.6240001                      -13.292206
               7.6504002                      -13.319362
               7.6767998                      -13.356207
               7.7031999                      -13.403488
                  7.7296                      -13.461915
                   7.756                      -13.532167
               7.7824001                       -13.61489
               7.8088002                      -13.710702
               7.8351998                      -13.820201
               7.8615999                       -13.94396
                   7.888                      -14.082533
               7.9144001                      -14.236458
               7.9408002                      -14.406255
               7.9671998                      -14.592423
               7.9935999                      -14.795439
               8.0200005                       -15.01575
               8.0464001                      -15.253758
               8.0727997                      -15.509807
               8.0992002                      -15.784159
               8.1255999                      -16.076948
               8.1520004                      -16.388141
                  8.1784                      -16.717459
               8.2047997                      -17.064286
               8.2312002                      -17.427539
               8.2575998                      -17.805497
               8.2840004                      -18.195577
                  8.3104                      -18.594069
               8.3367996                      -18.995805
               8.3632002                      -19.393817
               8.3895998                      -19.779019
               8.4160004                      -20.140045
                  8.4424                      -20.463381
               8.4687996                      -20.734018
               8.4952002                      -20.936751
               8.5215998                      -21.058113
               8.5480003                       -21.08857
               8.5743999                      -21.024342
               8.6007996                      -20.868166
               8.6272001                      -20.628692
               8.6535997                      -20.318762
               8.6800003                      -19.953208
               8.7063999                      -19.546886
               8.7327995                      -19.113278
               8.7592001                      -18.663782
               8.7855997                      -18.207523
               8.8120003                      -17.751495
               8.8383999                      -17.300866
               8.8648005                       -16.85933
               8.8912001                      -16.429429
               8.9175997                      -16.012838
               8.9440002                      -15.610588
               8.9703999                      -15.223249
               8.9968004                       -14.85106
                  9.0232                      -14.494027
               9.0495996                         -14.152
               9.0760002                      -13.824721
               9.1023998                      -13.511872
               9.1288004                       -13.21309
                  9.1552                      -12.927992
               9.1815996                      -12.656186
               9.2080002                      -12.397281
               9.2343998                      -12.150891
               9.2608004                      -11.916636
                  9.2872                      -11.694147
               9.3135996                       -11.48306
               9.3400002                      -11.283026
               9.3663998                      -11.093694
               9.3928003                      -10.914724
               9.4191999                      -10.745777
               9.4455996                      -10.586517
               9.4720001                      -10.436604
               9.4983997                      -10.295699
               9.5248003                      -10.163456
               9.5511999                      -10.039524
               9.5775995                      -9.9235464
               9.6040001                      -9.8151575
               9.6303997                      -9.7139818
               9.6568003                      -9.6196357
               9.6831999                      -9.5317262
               9.7096004                      -9.4498525
               9.7360001                      -9.3736037
               9.7623997                       -9.302566
               9.7888002                      -9.2363182
               9.8151999                      -9.1744397
               9.8416004                      -9.1165087
                   9.868                      -9.0621085
               9.8943996                      -9.0108318
               9.9208002                      -8.9622825
               9.9471998                       -8.916084
               9.9736004                      -8.8718788
                      10                      -8.8293379
                 10.0264                      -8.7881644
                 10.0528                      -8.7480957
                 10.0792                      -8.7089133
                 10.1056                      -8.6704385
                  10.132                      -8.6325426
                 10.1584                      -8.5951451
                 10.1848                      -8.5582181
                 10.2112                      -8.5217824
                 10.2376                      -8.4859126
                  10.264                      -8.4507312
                 10.2904                      -8.4164053
                 10.3168                      -8.3831512
                 10.3432                      -8.3512206
                 10.3696                      -8.3209036
                  10.396                      -8.2925205
                 10.4224                      -8.2664191
                 10.4488                      -8.2429657
                 10.4752                      -8.2225468
                 10.5016                      -8.2055555
                  10.528                      -8.1923959
                 10.5544                      -8.1834717
                 10.5808                      -8.1791861
                 10.6072                      -8.1799387
                 10.6336                      -8.1861184
                   10.66                      -8.1981071
                 10.6864                      -8.2162708
                 10.7128                      -8.2409626
                 10.7392                      -8.2725203
                 10.7656                      -8.3112621
                  10.792                      -8.3574896
                 10.8184                      -8.4114852
                 10.8448                      -8.4735099
                 10.8712                      -8.5438074
                 10.8976                      -8.6225971
                  10.924                      -8.7100797
                 10.9504                      -8.8064301
                 10.9768                      -8.9118017
                 11.0032                      -9.0263233
                 11.0296                      -9.1500976
                  11.056                      -9.2831994
                 11.0824                      -9.4256756
                 11.1088                      -9.5775365
                 11.1352                      -9.7387608
                 11.1616                      -9.9092893
                  11.188                      -10.089014
                 11.2144                      -10.277784
                 11.2408                      -10.475395
                 11.2672                      -10.681578
                 11.2936                      -10.896004
                   11.32                       -11.11826
                 11.3464                      -11.347858
                 11.3728                      -11.584216
                 11.3992                      -11.826646
                 11.4256                      -12.074355
                  11.452                      -12.326431
                 11.4784                      -12.581837
                 11.5048                      -12.839405
                 11.5312                      -13.097839
                 11.5576                      -13.355715
                  11.584                      -13.611493
                 11.6104                      -13.863534
                 11.6368                       -14.11012
                 11.6632                        -14.3495
                 11.6896                       -14.57992
                  11.716                      -14.799688
                 11.7424                      -15.007219
                 11.7688                       -15.20111
                 11.7952                      -15.380187
                 11.8216                      -15.543568
                  11.848                      -15.690702
                 11.8744                      -15.821396
                 11.9008                      -15.935824
                 11.9272                      -16.034517
                 11.9536                      -16.118339
                   11.98                      -16.188439
                 12.0064                      -16.246202
                 12.0328                      -16.293186
                 12.0592                      -16.331071
                 12.0856                      -16.361587
                  12.112                      -16.386485
                 12.1384                       -16.40748
                 12.1648                      -16.426224
                 12.1912                      -16.444288
                 12.2176                      -16.463141
                  12.244                       -16.48415
                 12.2704                      -16.508576
                 12.2968                      -16.537579
                 12.3232                      -16.572228
                 12.3496                      -16.613508
                  12.376                      -16.662333
                 12.4024                      -16.719565
                 12.4288                      -16.786023
                 12.4552                      -16.862496
                 12.4816                       -16.94976
                  12.508                      -17.048595
                 12.5344                        -17.1598
                 12.5608                      -17.284203
