        Frequency / GHz                S1,1 (Lgnd=16.25)/abs,dB
               5.8551998                      -7.2038044
               5.8815999                      -7.1836605
                   5.908                       -7.163095
               5.9344001                      -7.1422961
               5.9608002                      -7.1214617
               5.9871998                      -7.1007968
               6.0135999                      -7.0805188
                    6.04                      -7.0608521
               6.0664001                      -7.0420281
               6.0928001                      -7.0242898
               6.1192002                       -7.007883
               6.1455998                      -6.9930642
               6.1719999                      -6.9800906
                  6.1984                      -6.9692266
               6.2248001                       -6.960736
               6.2512002                      -6.9548854
               6.2775998                      -6.9519418
               6.3039999                      -6.9521673
                  6.3304                      -6.9558229
               6.3568001                      -6.9631624
               6.3832002                      -6.9744352
               6.4095998                      -6.9898812
               6.4359999                      -7.0097332
                  6.4624                      -7.0342127
                  6.4888                      -7.0635291
               6.5152001                      -7.0978819
               6.5416002                      -7.1374548
               6.5679998                      -7.1824186
               6.5943999                      -7.2329305
                  6.6208                      -7.2891297
               6.6472001                      -7.3511416
               6.6736002                      -7.4190722
               6.6999998                      -7.4930145
               6.7263999                      -7.5730392
                  6.7528                      -7.6592002
               6.7792001                      -7.7515334
               6.8056002                      -7.8500544
               6.8319998                      -7.9547592
               6.8583999                      -8.0656227
                  6.8848                      -8.1825993
                  6.9112                      -8.3056207
               6.9376001                      -8.4345971
               6.9640002                      -8.5694127
               6.9903998                        -8.70993
               7.0167999                      -8.8559868
                  7.0432                      -9.0073906
               7.0696001                      -9.1639243
               7.0960002                      -9.3253386
               7.1223998                      -9.4913566
               7.1487999                      -9.6616665
                  7.1752                      -9.8359195
               7.2016001                      -10.013732
               7.2280002                      -10.194678
               7.2543998                       -10.37829
               7.2807999                      -10.564051
                  7.3072                      -10.751393
                  7.3336                      -10.939696
               7.3600001                      -11.128275
               7.3864002                      -11.316387
               7.4127998                      -11.503219
               7.4391999                      -11.687884
                  7.4656                      -11.869422
               7.4920001                      -12.046797
               7.5184002                      -12.218897
               7.5447998                      -12.384535
               7.5711999                       -12.54246
                  7.5976                      -12.691362
               7.6240001                      -12.829891
               7.6504002                      -12.956678
               7.6767998                       -13.07036
               7.7031999                      -13.169613
                  7.7296                      -13.253186
                   7.756                      -13.319947
               7.7824001                      -13.368916
               7.8088002                       -13.39931
               7.8351998                      -13.410573
               7.8615999                      -13.402412
                   7.888                      -13.374801
               7.9144001                      -13.327998
               7.9408002                      -13.262533
               7.9671998                      -13.179192
               7.9935999                      -13.078987
               8.0200005                      -12.963115
               8.0464001                      -12.832924
               8.0727997                      -12.689865
               8.0992002                      -12.535444
               8.1255999                      -12.371193
               8.1520004                      -12.198623
                  8.1784                      -12.019204
               8.2047997                      -11.834334
               8.2312002                      -11.645325
               8.2575998                      -11.453396
               8.2840004                      -11.259655
                  8.3104                      -11.065105
               8.3367996                      -10.870644
               8.3632002                      -10.677062
               8.3895998                       -10.48505
               8.4160004                      -10.295207
                  8.4424                      -10.108043
               8.4687996                      -9.9239864
               8.4952002                      -9.7433969
               8.5215998                      -9.5665635
               8.5480003                      -9.3937188
               8.5743999                      -9.2250388
               8.6007996                      -9.0606564
               8.6272001                      -8.9006606
               8.6535997                      -8.7451072
