        Frequency / GHz                S1,1 (Scl=0.8)/abs,dB
               5.8024001                      -11.903189
               5.8288002                      -11.951543
               5.8551998                      -12.003718
               5.8815999                      -12.060015
                   5.908                      -12.120617
               5.9344001                      -12.185578
               5.9608002                      -12.254838
               5.9871998                       -12.32822
               6.0135999                      -12.405441
                    6.04                      -12.486109
               6.0664001                      -12.569738
               6.0928001                      -12.655749
               6.1192002                       -12.74348
               6.1455998                      -12.832198
               6.1719999                      -12.921106
                  6.1984                      -13.009359
               6.2248001                      -13.096076
               6.2512002                      -13.180355
               6.2775998                      -13.261298
               6.3039999                       -13.33802
                  6.3304                      -13.409674
               6.3568001                      -13.475472
               6.3832002                      -13.534702
               6.4095998                      -13.586747
               6.4359999                      -13.631101
                  6.4624                      -13.667385
                  6.4888                       -13.69535
               6.5152001                      -13.714887
               6.5416002                      -13.726031
               6.5679998                      -13.728948
               6.5943999                      -13.723938
                  6.6208                      -13.711418
               6.6472001                      -13.691906
               6.6736002                      -13.666015
               6.6999998                      -13.634427
               6.7263999                      -13.597879
                  6.7528                      -13.557149
               6.7792001                      -13.513035
               6.8056002                      -13.466342
               6.8319998                      -13.417877
               6.8583999                      -13.368425
                  6.8848                      -13.318747
                  6.9112                      -13.269574
               6.9376001                      -13.221598
               6.9640002                      -13.175465
               6.9903998                      -13.131779
               7.0167999                      -13.091089
                  7.0432                      -13.053896
               7.0696001                      -13.020648
               7.0960002                      -12.991735
               7.1223998                      -12.967497
               7.1487999                      -12.948216
                  7.1752                      -12.934117
               7.2016001                       -12.92537
               7.2280002                      -12.922085
               7.2543998                      -12.924317
               7.2807999                      -12.932061
                  7.3072                      -12.945252
                  7.3336                      -12.963767
               7.3600001                      -12.987423
               7.3864002                      -13.015978
               7.4127998                       -13.04913
               7.4391999                       -13.08652
                  7.4656                      -13.127732
               7.4920001                      -13.172302
               7.5184002                       -13.21971
               7.5447998                      -13.269397
               7.5711999                      -13.320764
                  7.5976                      -13.373182
               7.6240001                      -13.426003
               7.6504002                      -13.478565
               7.6767998                      -13.530209
               7.7031999                      -13.580288
                  7.7296                      -13.628177
                   7.756                      -13.673294
               7.7824001                      -13.715098
               7.8088002                      -13.753115
               7.8351998                      -13.786932
               7.8615999                       -13.81622
                   7.888                      -13.840719
               7.9144001                      -13.860255
               7.9408002                      -13.874729
               7.9671998                      -13.884115
               7.9935999                      -13.888455
               8.0200005                      -13.887844
               8.0464001                      -13.882424
               8.0727997                      -13.872371
               8.0992002                      -13.857878
               8.1255999                       -13.83915
               8.1520004                      -13.816389
                  8.1784                      -13.789787
               8.2047997                      -13.759515
               8.2312002                      -13.725722
               8.2575998                      -13.688527
               8.2840004                      -13.648024
                  8.3104                      -13.604281
               8.3367996                       -13.55734
               8.3632002                      -13.507229
               8.3895998                      -13.453963
               8.4160004                      -13.397557
                  8.4424                       -13.33803
               8.4687996                      -13.275414
               8.4952002                      -13.209768
               8.5215998                      -13.141176
               8.5480003                      -13.069759
               8.5743999                      -12.995679
               8.6007996                      -12.919138
               8.6272001                      -12.840383
               8.6535997                      -12.759703
               8.6800003                      -12.677422
               8.7063999                      -12.593902
               8.7327995                      -12.509528
               8.7592001                      -12.424709
               8.7855997                       -12.33986
               8.8120003                      -12.255401
               8.8383999                      -12.171747
               8.8648005                      -12.089294
               8.8912001                      -12.008418
               8.9175997                      -11.929462
               8.9440002                      -11.852728
               8.9703999                       -11.77848
               8.9968004                      -11.706928
                  9.0232                       -11.63823
               9.0495996                      -11.572487
               9.0760002                      -11.509745
               9.1023998                       -11.44999
               9.1288004                      -11.393148
                  9.1552                      -11.339094
               9.1815996                      -11.287645
               9.2080002                      -11.238571
               9.2343998                        -11.1916
               9.2608004                      -11.146419
                  9.2872                      -11.102688
               9.3135996                      -11.060048
               9.3400002                      -11.018125
               9.3663998                      -10.976546
               9.3928003                      -10.934951
               9.4191999                      -10.892996
               9.4455996                      -10.850377
               9.4720001                      -10.806825
               9.4983997                      -10.762134
               9.5248003                      -10.716146
               9.5511999                      -10.668782
               9.5775995                      -10.620029
               9.6040001                      -10.569953
               9.6303997                      -10.518689
               9.6568003                      -10.466454
               9.6831999                      -10.413523
               9.7096004                      -10.360241
               9.7360001                      -10.307009
               9.7623997                      -10.254271
               9.7888002                      -10.202507
               9.8151999                      -10.152227
               9.8416004                      -10.103955
                   9.868                      -10.058223
               9.8943996                      -10.015559
               9.9208002                      -9.9764836
               9.9471998                      -9.9414928
               9.9736004                      -9.9110573
                      10                      -9.8856181
                 10.0264                       -9.865574
                 10.0528                      -9.8512852
                 10.0792                      -9.8430624
                 10.1056                       -9.841168
                  10.132                      -9.8458103
                 10.1584                      -9.8571447
                 10.1848                      -9.8752672
                 10.2112                      -9.9002153
                 10.2376                      -9.9319657
                  10.264                      -9.9704337
                 10.2904                      -10.015465
                 10.3168                      -10.066847
                 10.3432                      -10.124293
                 10.3696                      -10.187451
                  10.396                        -10.2559
                 10.4224                       -10.32915
                 10.4488                      -10.406641
                 10.4752                      -10.487749
                 10.5016                      -10.571782
                  10.528                      -10.657989
                 10.5544                      -10.745566
                 10.5808                      -10.833661
                 10.6072                      -10.921385
                 10.6336                      -11.007824
                   10.66                      -11.092054
                 10.6864                      -11.173155
                 10.7128                      -11.250228
                 10.7392                      -11.322421
                 10.7656                      -11.388934
                  10.792                      -11.449052
                 10.8184                      -11.502154
                 10.8448                      -11.547731
                 10.8712                      -11.585394
                 10.8976                      -11.614886
                  10.924                      -11.636085
                 10.9504                      -11.649004
                 10.9768                       -11.65378
                 11.0032                       -11.65067
                 11.0296                       -11.64004
                  11.056                      -11.622344
                 11.0824                      -11.598114
                 11.1088                      -11.567935
                 11.1352                       -11.53244
                 11.1616                      -11.492281
                  11.188                      -11.448125
                 11.2144                      -11.400637
                 11.2408                      -11.350469
                 11.2672                      -11.298252
                 11.2936                      -11.244597
                   11.32                      -11.190081
                 11.3464                      -11.135252
                 11.3728                      -11.080625
                 11.3992                      -11.026681
                 11.4256                      -10.973875
                  11.452                      -10.922629
                 11.4784                       -10.87334
                 11.5048                       -10.82638
                 11.5312                      -10.782105
                 11.5576                      -10.740846
                  11.584                       -10.70292
                 11.6104                      -10.668633
                 11.6368                      -10.638275
                 11.6632                      -10.612128
                 11.6896                      -10.590467
                  11.716                      -10.573555
                 11.7424                      -10.561653
                 11.7688                      -10.555015
                 11.7952                      -10.553887
                 11.8216                      -10.558516
                  11.848                      -10.569138
                 11.8744                      -10.585991
                 11.9008                        -10.6093
                 11.9272                      -10.639299
                 11.9536                      -10.676204
                   11.98                      -10.720236
                 12.0064                      -10.771607
                 12.0328                      -10.830528
                 12.0592                      -10.897202
                 12.0856                      -10.971832
                  12.112                      -11.054611
                 12.1384                      -11.145734
                 12.1648                      -11.245388
                 12.1912                      -11.353752
                 12.2176                      -11.471006
                  12.244                      -11.597316
                 12.2704                      -11.732845
                 12.2968                      -11.877746
                 12.3232                      -12.032159
                 12.3496                      -12.196209
                  12.376                      -12.370004
                 12.4024                      -12.553625
                 12.4288                      -12.747126
                 12.4552                      -12.950517
                 12.4816                      -13.163761
                  12.508                      -13.386756
                 12.5344                      -13.619318
                 12.5608                       -13.86116
                 12.5872                      -14.111867
                 12.6136                      -14.370866
                   12.64                      -14.637385
                 12.6664                       -14.91041
                 12.6928                      -15.188641
                 12.7192                      -15.470429
                 12.7456                      -15.753722
                  12.772                      -16.036013
                 12.7984                      -16.314284
                 12.8248                      -16.584984
                 12.8512                      -16.844028
                 12.8776                      -17.086853
                  12.904                      -17.308534
                 12.9304                      -17.503972
                 12.9568                      -17.668178
                 12.9832                      -17.796604
                 13.0096                      -17.885518
                  13.036                      -17.932342
                 13.0624                      -17.935929
                 13.0888                      -17.896673
                 13.1152                      -17.816479
                 13.1416                      -17.698572
                  13.168                      -17.547184
