        Frequency / GHz                S1,1 (Lgnd=18.25)/abs,dB
               5.9344001                      -15.406695
               5.9608002                      -15.387443
               5.9871998                      -15.371137
               6.0135999                      -15.357625
                    6.04                      -15.346623
               6.0664001                      -15.337724
               6.0928001                       -15.33041
               6.1192002                      -15.324058
               6.1455998                      -15.317947
               6.1719999                      -15.311269
                  6.1984                       -15.30314
               6.2248001                      -15.292607
               6.2512002                      -15.278668
               6.2775998                      -15.260289
               6.3039999                       -15.23642
                  6.3304                      -15.206026
               6.3568001                      -15.168109
               6.3832002                       -15.12174
               6.4095998                      -15.066089
               6.4359999                      -15.000455
                  6.4624                      -14.924293
                  6.4888                      -14.837241
               6.5152001                      -14.739136
               6.5416002                      -14.630025
               6.5679998                      -14.510171
               6.5943999                      -14.380046
                  6.6208                      -14.240317
               6.6472001                      -14.091827
               6.6736002                       -13.93557
               6.6999998                      -13.772658
               6.7263999                      -13.604297
                  6.7528                      -13.431745
               6.7792001                      -13.256297
               6.8056002                      -13.079244
               6.8319998                      -12.901859
               6.8583999                      -12.725375
                  6.8848                      -12.550976
                  6.9112                      -12.379773
               6.9376001                      -12.212812
               6.9640002                      -12.051059
               6.9903998                      -11.895403
               7.0167999                      -11.746659
                  7.0432                      -11.605562
               7.0696001                      -11.472778
               7.0960002                      -11.348907
               7.1223998                      -11.234483
               7.1487999                      -11.129982
                  7.1752                      -11.035828
               7.2016001                      -10.952393
               7.2280002                      -10.880008
               7.2543998                      -10.818961
               7.2807999                      -10.769504
                  7.3072                      -10.731855
                  7.3336                      -10.706206
               7.3600001                      -10.692716
               7.3864002                      -10.691521
               7.4127998                      -10.702736
               7.4391999                      -10.726451
                  7.4656                      -10.762737
               7.4920001                      -10.811645
               7.5184002                      -10.873207
               7.5447998                      -10.947433
               7.5711999                      -11.034314
                  7.5976                      -11.133818
               7.6240001                      -11.245887
               7.6504002                      -11.370442
               7.6767998                      -11.507367
               7.7031999                      -11.656512
                  7.7296                      -11.817689
                   7.756                      -11.990657
               7.7824001                      -12.175121
               7.8088002                      -12.370713
               7.8351998                      -12.576987
               7.8615999                      -12.793396
                   7.888                      -13.019274
               7.9144001                      -13.253819
               7.9408002                       -13.49606
               7.9671998                       -13.74483
               7.9935999                      -13.998734
               8.0200005                      -14.256114
               8.0464001                      -14.515017
               8.0727997                      -14.773154
               8.0992002                      -15.027885
               8.1255999                      -15.276199
               8.1520004                      -15.514726
                  8.1784                      -15.739772
               8.2047997                      -15.947395
               8.2312002                      -16.133525
               8.2575998                      -16.294128
               8.2840004                      -16.425421
                  8.3104                       -16.52409
               8.3367996                      -16.587539
               8.3632002                      -16.614083
               8.3895998                      -16.603087
               8.4160004                      -16.555021
                  8.4424                      -16.471411
               8.4687996                       -16.35471
               8.4952002                      -16.208092
               8.5215998                      -16.035228
               8.5480003                      -15.840045
               8.5743999                      -15.626518
               8.6007996                        -15.3985
               8.6272001                      -15.159603
               8.6535997                      -14.913112
               8.6800003                       -14.66195
               8.7063999                      -14.408668
               8.7327995                      -14.155452
               8.7592001                      -13.904153
               8.7855997                      -13.656314
               8.8120003                      -13.413207
               8.8383999                      -13.175865
               8.8648005                      -12.945117
               8.8912001                      -12.721615
               8.9175997                      -12.505864
               8.9440002                      -12.298242
               8.9703999                      -12.099014
               8.9968004                       -11.90836
                  9.0232                       -11.72638
               9.0495996                      -11.553105
               9.0760002                      -11.388513
               9.1023998                      -11.232531
               9.1288004                      -11.085046
                  9.1552                      -10.945909
               9.1815996                      -10.814937
               9.2080002                      -10.691926
               9.2343998                      -10.576643
               9.2608004                      -10.468841
                  9.2872                      -10.368257
               9.3135996                      -10.274614
               9.3400002                      -10.187628
               9.3663998                      -10.107009
               9.3928003                      -10.032466
               9.4191999                      -9.9637058
               9.4455996                      -9.9004435
               9.4720001                      -9.8424005
               9.4983997                      -9.7893077
               9.5248003                      -9.7409128
               9.5511999                      -9.6969802
               9.5775995                      -9.6572912
               9.6040001                      -9.6216545
               9.6303997                      -9.5898988
               9.6568003                       -9.561881
               9.6831999                      -9.5374874
               9.7096004                      -9.5166292
               9.7360001                      -9.4992493
               9.7623997                      -9.4853172
               9.7888002                      -9.4748301
               9.8151999                      -9.4678105
               9.8416004                       -9.464304
                   9.868                      -9.4643769
               9.8943996                      -9.4681153
               9.9208002                      -9.4756151
               9.9471998                      -9.4869871
               9.9736004                      -9.5023436
                      10                      -9.5217999
                 10.0264                      -9.5454675
                 10.0528                      -9.5734499
                 10.0792                      -9.6058362
                 10.1056                      -9.6426955
                  10.132                      -9.6840777
                 10.1584                      -9.7300004
                 10.1848                       -9.780449
                 10.2112                        -9.83537
                 10.2376                      -9.8946678
                  10.264                      -9.9581977
                 10.2904                      -10.025762
                 10.3168                      -10.097111
                 10.3432                      -10.171933
                 10.3696                      -10.249855
                  10.396                      -10.330437
                 10.4224                      -10.413177
                 10.4488                      -10.497506
                 10.4752                      -10.582792
                 10.5016                      -10.668343
                  10.528                      -10.753412
                 10.5544                      -10.837206
                 10.5808                      -10.918894
                 10.6072                       -10.99762
                 10.6336                      -11.072522
                   10.66                      -11.142743
                 10.6864                      -11.207453
                 10.7128                      -11.265872
                 10.7392                      -11.317286
                 10.7656                      -11.361069
                  10.792                      -11.396701
                 10.8184                       -11.42378
                 10.8448                      -11.442041
