        Frequency / GHz                S1,1 (Lf=13.28)/abs,dB
               5.8024001                      -8.2939428
               5.8288002                      -8.3519768
               5.8551998                      -8.4085071
               5.8815999                      -8.4632835
                   5.908                      -8.5164695
               5.9344001                      -8.5683831
               5.9608002                      -8.6191737
               5.9871998                      -8.6685053
               6.0135999                      -8.7153083
                    6.04                      -8.7576396
               6.0664001                      -8.7927044
               6.0928001                      -8.8170514
               6.1192002                      -8.8269434
               6.1455998                      -8.8188417
               6.1719999                      -8.7899488
                  6.1984                       -8.738662
               6.2248001                      -8.6648655
               6.2512002                      -8.5699627
               6.2775998                      -8.4566553
               6.3039999                      -8.3285309
                  6.3304                      -8.1895505
               6.3568001                       -8.043566
               6.3832002                      -7.8939304
               6.4095998                      -7.7432712
               6.4359999                       -7.593421
                  6.4624                      -7.4454904
                  6.4888                      -7.3000594
               6.5152001                      -7.1574116
               6.5416002                       -7.017793
               6.5679998                      -6.8816371
               6.5943999                      -6.7497122
                  6.6208                      -6.6231886
               6.6472001                      -6.5036016
               6.6736002                      -6.3927367
               6.6999998                      -6.2924543
               6.7263999                      -6.2044873
                  6.7528                      -6.1302403
               6.7792001                      -6.0706215
               6.8056002                       -6.025915
               6.8319998                      -5.9957208
               6.8583999                      -5.9789528
                  6.8848                      -5.9739129
                  6.9112                      -5.9784114
               6.9376001                      -5.9899593
               6.9640002                      -6.0059766
               6.9903998                      -6.0240107
               7.0167999                      -6.0419345
                  7.0432                      -6.0580724
               7.0696001                      -6.0712534
               7.0960002                      -6.0807652
               7.1223998                      -6.0862299
               7.1487999                       -6.087415
                  7.1752                      -6.0840355
               7.2016001                      -6.0755834
               7.2280002                      -6.0612221
               7.2543998                      -6.0397785
               7.2807999                      -6.0098432
                  7.3072                      -5.9699634
                  7.3336                        -5.91891
               7.3600001                      -5.8559411
               7.3864002                      -5.7810455
               7.4127998                      -5.6950692
               7.4391999                       -5.599719
                  7.4656                      -5.4974406
               7.4920001                       -5.391177
               7.5184002                      -5.2840719
               7.5447998                      -5.1791533
               7.5711999                      -5.0790695
                  7.5976                      -4.9858708
               7.6240001                      -4.9008896
               7.6504002                      -4.8247022
               7.6767998                      -4.7571671
               7.7031999                      -4.6975364
                  7.7296                      -4.6446106
                   7.756                       -4.596924
               7.7824001                      -4.5529282
               7.8088002                      -4.5111636
               7.8351998                      -4.4703717
               7.8615999                      -4.4295539
                   7.888                      -4.3879655
               7.9144001                      -4.3450391
               7.9408002                      -4.3002837
               7.9671998                      -4.2531485
               7.9935999                      -4.2029315
               8.0200005                      -4.1487201
               8.0464001                      -4.0894086
               8.0727997                      -4.0237948
               8.0992002                      -3.9507395
               8.1255999                      -3.8693826
               8.1520004                      -3.7793527
                  8.1784                      -3.6809479
               8.2047997                      -3.5752336
               8.2312002                      -3.4640348
               8.2575998                      -3.3498167
               8.2840004                      -3.2354729
                  8.3104                      -3.1240564
               8.3367996                      -3.0184884
               8.3632002                      -2.9212838
               8.3895998                      -2.8343222
               8.4160004                      -2.7586894
                  8.4424                      -2.6945796
               8.4687996                      -2.6412971
               8.4952002                      -2.5973201
               8.5215998                      -2.5604684
               8.5480003                      -2.5281284
               8.5743999                      -2.4975566
               8.6007996                      -2.4662047
               8.6272001                      -2.4320455
               8.6535997                      -2.3938447
               8.6800003                      -2.3513314
               8.7063999                      -2.3052375
               8.7327995                      -2.2571904
               8.7592001                      -2.2094981
               8.7855997                      -2.1648343
               8.8120003                      -2.1259012
               8.8383999                      -2.0950916
               8.8648005                      -2.0742112
               8.8912001                      -2.0642483
               8.9175997                      -2.0652442
               8.9440002                       -2.076241
               8.9703999                      -2.0953217
               8.9968004                      -2.1197507
                  9.0232                      -2.1462064
               9.0495996                      -2.1711003
               9.0760002                      -2.1909526
               9.1023998                      -2.2027947
               9.1288004                      -2.2045271
                  9.1552                      -2.1951808
               9.1815996                      -2.1750304
               9.2080002                      -2.1455368
               9.2343998                      -2.1091343
               9.2608004                       -2.068911
                  9.2872                        -2.02824
               9.3135996                      -1.9904076
               9.3400002                      -1.9583161
               9.3663998                      -1.9342532
               9.3928003                       -1.919754
               9.4191999                      -1.9155456
               9.4455996                      -1.9215726
               9.4720001                      -1.9370839
               9.4983997                      -1.9607621
               9.5248003                      -1.9909031
               9.5511999                      -2.0256014
               9.5775995                      -2.0629595
               9.6040001                      -2.1012606
               9.6303997                      -2.1391277
               9.6568003                      -2.1756221
               9.6831999                      -2.2102784
               9.7096004                      -2.2430872
               9.7360001                      -2.2744194
               9.7623997                      -2.3049068
               9.7888002                      -2.3353141
               9.8151999                      -2.3664061
               9.8416004                      -2.3988356
                   9.868                      -2.4330657
               9.8943996                      -2.4693232
               9.9208002                      -2.5075942
               9.9471998                      -2.5476479
               9.9736004                      -2.5890897
                      10                      -2.6314211
                 10.0264                      -2.6741163
                 10.0528                      -2.7166772
                 10.0792                      -2.7586911
                 10.1056                       -2.799858
                  10.132                      -2.8400062
                 10.1584                       -2.879082
                 10.1848                      -2.9171322
                 10.2112                      -2.9542747
                 10.2376                      -2.9906667
                  10.264                      -3.0264709
                 10.2904                      -3.0618367
                 10.3168                      -3.0968793
                 10.3432                      -3.1316732
                 10.3696                      -3.1662421
                  10.396                       -3.200564
                 10.4224                      -3.2345644
                 10.4488                       -3.268126
                 10.4752                      -3.3010838
                 10.5016                      -3.3332307
                  10.528                      -3.3643302
                 10.5544                      -3.3941214
                 10.5808                      -3.4223485
                 10.6072                      -3.4487798
                 10.6336                      -3.4732401
                   10.66                      -3.4956452
                 10.6864                      -3.5160191
                 10.7128                      -3.5345163
                 10.7392                      -3.5514106
                 10.7656                      -3.5670806
                  10.792                      -3.5819628
                 10.8184                      -3.5965046
                 10.8448                      -3.6111011
                 10.8712                      -3.6260291
                 10.8976                       -3.641409
                  10.924                      -3.6571687
                 10.9504                      -3.6730519
                 10.9768                      -3.6886492
                 11.0032                      -3.7034675
                 11.0296                      -3.7170105
                  11.056                      -3.7288861
                 11.0824                      -3.7389028
                 11.1088                      -3.7471445
                 11.1352                      -3.7540071
                 11.1616                      -3.7601917
                  11.188                      -3.7666449
                 11.2144                      -3.7744603
                 11.2408                      -3.7847444
                 11.2672                      -3.7984772
                 11.2936                       -3.816386
                   11.32                      -3.8388515
                 11.3464                      -3.8658627
                 11.3728                      -3.8970465
                 11.3992                      -3.9317559
                 11.4256                       -3.969237
                  11.452                      -4.0088463
                 11.4784                      -4.0502902
                 11.5048                      -4.0938628
                 11.5312                      -4.1406324
                 11.5576                      -4.1925406
                  11.584                      -4.2523997
                 11.6104                      -4.3237632
                 11.6368                      -4.4107036
                 11.6632                      -4.5174982
                 11.6896                      -4.6482494
                  11.716                      -4.8064495
                 11.7424                      -4.9945052
                 11.7688                      -5.2131792
                 11.7952                      -5.4609611
                 11.8216                       -5.733339
                  11.848                      -6.0220421
                 11.8744                      -6.3143962
                 11.9008                      -6.5931188
                 11.9272                      -6.8370572
                 11.9536                      -7.0234137
                   11.98                      -7.1315755
                 12.0064                       -7.147793
                 12.0328                      -7.0689132
                 12.0592                      -6.9033499
                 12.0856                      -6.6687458
                  12.112                      -6.3875861
                 12.1384                      -6.0827292
                 12.1648                      -5.7742526
                 12.1912                      -5.4779327
                 12.2176                      -5.2049907
                  12.244                      -4.9625314
                 12.2704                      -4.7542542
                 12.2968                      -4.5811951
                 12.3232                      -4.4423683
                 12.3496                      -4.3353331
                  12.376                      -4.2566595
                 12.4024                      -4.2023528
                 12.4288                      -4.1682235
                 12.4552                       -4.150238
                 12.4816                      -4.1448216
                  12.508                      -4.1490931
                 12.5344                      -4.1610257
                 12.5608                      -4.1794987
                 12.5872                       -4.204241
                 12.6136                      -4.2356841
                   12.64                      -4.2747435
                 12.6664                      -4.3225693
                 12.6928                       -4.380292
                 12.7192                        -4.44881
                 12.7456                      -4.5286227
                  12.772                      -4.6197354
                 12.7984                      -4.7216343
                 12.8248                       -4.833322
                 12.8512                      -4.9534216
                 12.8776                      -5.0803213
                  12.904                      -5.2123455
                 12.9304                      -5.3479319
                 12.9568                      -5.4857923
                 12.9832                      -5.6250179
                 13.0096                      -5.7651313
                  13.036                      -5.9060593
                 13.0624                      -6.0480388
                 13.0888                      -6.1914722
                 13.1152                      -6.3367427
                 13.1416                      -6.4840325
                  13.168                      -6.6331629
                 13.1944                      -6.7834825
                 13.2208                      -6.9338171
                 13.2472                      -7.0824928
                 13.2736                      -7.2274426
                    13.3                      -7.3663713
                 13.3264                      -7.4969696
                 13.3528                      -7.6171445
                 13.3792                      -7.7252312
                 13.4056                        -7.82014
                  13.432                       -7.901419
                 13.4584                      -7.9692229
                 13.4848                      -8.0241878
                 13.5112                      -8.0672464
                 13.5376                      -8.0994255
                  13.564                      -8.1216485
                 13.5904                      -8.1346047
                 13.6168                      -8.1386716
                 13.6432                      -8.1339337
                 13.6696                      -8.1202567
                  13.696                      -8.0974242
                 13.7224                      -8.0652929
                 13.7488                      -8.0239465
                 13.7752                      -7.9738117
                 13.8016                       -7.915724
                  13.828                      -7.8509179
                 13.8544                      -7.7809674
                 13.8808                       -7.707664
                 13.9072                      -7.6328778
                 13.9336                      -7.5584125
                   13.96                      -7.4858706
                 13.9864                      -7.4165604
                 14.0128                      -7.3514374
                 14.0392                      -7.2910894
                 14.0656                      -7.2357633
                  14.092                      -7.1854259
                 14.1184                      -7.1398446
                 14.1448                      -7.0986848
                 14.1712                      -7.0616019
                 14.1976                      -7.0283257
                  14.224                      -6.9987194
                 14.2504                      -6.9728096
                 14.2768                      -6.9507862
                 14.3032                      -6.9329695
                 14.3296                       -6.919754
                  14.356                      -6.9115325
                 14.3824                      -6.9086209
                 14.4088                      -6.9111826
                 14.4352                      -6.9191751
                 14.4616                       -6.932312
                  14.488                      -6.9500609
                 14.5144                      -6.9716604
                 14.5408                      -6.9961827
                 14.5672                      -7.0225989
                 14.5936                      -7.0498721
                   14.62                      -7.0770503
                 14.6464                      -7.1033432
                 14.6728                      -7.1281847
                 14.6992                      -7.1512638
                 14.7256                       -7.172512
                  14.752                      -7.1920661
                 14.7784                      -7.2102003
                 14.8048                        -7.22724
                 14.8312                      -7.2434758
                 14.8576                      -7.2590911
                  14.884                      -7.2741069
                 14.9104                      -7.2883623
                 14.9368                      -7.3015279
                 14.9632                      -7.3131498
                 14.9896                      -7.3227192
                  15.016                      -7.3297552
                 15.0424                      -7.3338886
                 15.0688                      -7.3349293
                 15.0952                      -7.3329124
                 15.1216                       -7.328105
                  15.148                      -7.3209818
                 15.1744                      -7.3121684
                 15.2008                      -7.3023661
                 15.2272                      -7.2922639
                 15.2536                      -7.2824634
                   15.28                      -7.2734118
                 15.3064                       -7.265376
                 15.3328                      -7.2584329
                 15.3592                      -7.2525046
                 15.3856                      -7.2474109
                  15.412                      -7.2429424
                 15.4384                      -7.2389477
                 15.4648                      -7.2353967
                 15.4912                      -7.2324418
                 15.5176                      -7.2304453
                  15.544                      -7.2299714
                 15.5704                      -7.2317542
                 15.5968                      -7.2366354
                 15.6232                      -7.2454894
                 15.6496                      -7.2591366
                  15.676                      -7.2782797
                 15.7024                      -7.3034398
                 15.7288                      -7.3349248
                 15.7552                      -7.3728281
                 15.7816                      -7.4170469
                  15.808                      -7.4673332
                 15.8344                       -7.523355
                 15.8608                      -7.5847703
                 15.8872                      -7.6512984
                 15.9136                      -7.7227763
                   15.94                      -7.7991949
                 15.9664                      -7.8807128
                 15.9928                      -7.9676313
               16.019199                      -8.0603505
               16.045601                      -8.1593055
               16.072001                      -8.2648844
                 16.0984                      -8.3773595
                 16.1248                      -8.4968171
               16.151199                      -8.6231209
               16.177601                      -8.7558872
                  16.204                      -8.8945062
                 16.2304                      -9.0381827
                 16.2568                      -9.1860089
               16.283199                      -9.3370437
               16.309601                      -9.4904067
                  16.336                      -9.6453539
                 16.3624                      -9.8013301
                 16.3888                      -9.9579853
               16.415199                      -10.115159
               16.441601                      -10.272815
                  16.468                      -10.430953
                 16.4944                      -10.589501
                 16.5208                      -10.748217
               16.547199                      -10.906604
               16.573601                      -11.063863
                    16.6                      -11.218906
                 16.6264                      -11.370405
                 16.6528                      -11.516905
               16.679199                      -11.656973
               16.705601                      -11.789356
                  16.732                      -11.913132
                 16.7584                      -12.027827
                 16.7848                      -12.133461
               16.811199                      -12.230534
               16.837601                      -12.319939
                  16.864                       -12.40283
                 16.8904                      -12.480468
                 16.9168                      -12.554076
               16.943199                      -12.624718
               16.969601                      -12.693249
                  16.996                        -12.7603
                 17.0224                      -12.826337
                 17.0488                      -12.891752
               17.075199                      -12.956976
               17.101601                        -13.0226
                  17.128                      -13.089458
                 17.1544                      -13.158674
               17.180799                      -13.231665
               17.207199                      -13.310078
               17.233601                      -13.395695
                   17.26                       -13.49031
                 17.2864                      -13.595593
               17.312799                      -13.712975
               17.339199                       -13.84355
               17.365601                       -13.98802
                  17.392                      -14.146683
                 17.4184                      -14.319465
               17.444799                      -14.505991
               17.471201                      -14.705694
               17.497601                      -14.917937
                  17.524                      -15.142133
                 17.5504                      -15.377853
               17.576799                      -15.624887
               17.603201                      -15.883236
               17.629601                       -16.15306
                  17.656                      -16.434524
                 17.6824                      -16.727598
               17.708799                      -17.031806
               17.735201                      -17.345939
                 17.7616                       -17.66779
                  17.788                      -17.993922
                 17.8144                      -18.319539
               17.840799                      -18.638493
               17.867201                       -18.94349
                 17.8936                      -19.226514
                   17.92                      -19.479453
                 17.9464                      -19.694847
               17.972799                      -19.866603
               17.999201                      -19.990522
                 18.0256                      -20.064485
                  18.052                      -20.088301
                 18.0784                      -20.063284
               18.104799                      -19.991752
               18.131201                       -19.87661
                 18.1576                      -19.721127
                  18.184                      -19.528897
                 18.2104                      -19.303938
               18.236799                      -19.050781
               18.263201                      -18.774488
                 18.2896                      -18.480533
                  18.316                      -18.174554
                 18.3424                      -17.862033
               18.368799                      -17.547969
               18.395201                      -17.236608
                 18.4216                       -16.93124
                  18.448                      -16.634129
                 18.4744                      -16.346521
               18.500799                      -16.068742
               18.527201                      -15.800367
                 18.5536                      -15.540431
                   18.58                      -15.287651
                 18.6064                      -15.040658
               18.632799                      -14.798197
               18.659201                      -14.559282
                 18.6856                      -14.323294
                  18.712                      -14.090007
                 18.7384                      -13.859565
               18.764799                      -13.632399
               18.791201                      -13.409127
                 18.8176                      -13.190437
                  18.844                       -12.97699
               18.870399                      -12.769338
               18.896799                      -12.567891
               18.923201                      -12.372901
                 18.9496                      -12.184486
                  18.976                      -12.002678
               19.002399                      -11.827471
               19.028799                      -11.658887
               19.055201                      -11.497006
                 19.0816                      -11.342007
                  19.108                      -11.194166
               19.134399                      -11.053837
               19.160801                      -10.921412
               19.187201                      -10.797275
                 19.2136                      -10.681736
                   19.24                      -10.574985
               19.266399                      -10.477037
               19.292801                      -10.387702
               19.319201                      -10.306583
                 19.3456                      -10.233079
                  19.372                      -10.166421
               19.398399                      -10.105725
               19.424801                      -10.050055
                 19.4512                      -9.9984927
                 19.4776                      -9.9502119
                  19.504                      -9.9045349
               19.530399                      -9.8609796
               19.556801                      -9.8192837
                 19.5832                      -9.7794057
                 19.6096                      -9.7415074
                  19.636                      -9.7059184
               19.662399                      -9.6730921
               19.688801                      -9.6435627
                 19.7152                      -9.6178961
                 19.7416                       -9.596657
                  19.768                      -9.5803905
               19.794399                      -9.5696012
               19.820801                       -9.564759
                 19.8472                      -9.5662936
                 19.8736                       -9.574609
                    19.9                      -9.5900738
               19.926399                       -9.613018
               19.952801                      -9.6437201
                 19.9792                      -9.6823767
                 20.0056                      -9.7290671
                  20.032                      -9.7837102
               20.058399                      -9.8460237
               20.084801                      -9.9154843
                 20.1112                      -9.9913032
                 20.1376                      -10.072417
                  20.164                      -10.157508
               20.190399                      -10.245046
               20.216801                      -10.333376
                 20.2432                      -10.420803
                 20.2696                      -10.505729
                  20.296                      -10.586769
               20.322399                      -10.662861
               20.348801                      -10.733352
                 20.3752                      -10.798032
                 20.4016                       -10.85712
               20.427999                      -10.911188
               20.454399                      -10.961054
               20.480801                      -11.007642
                 20.5072                      -11.051824
                 20.5336                      -11.094291
               20.559999                      -11.135441
               20.586399                      -11.175315
               20.612801                      -11.213575
                 20.6392                      -11.249545
                 20.6656                      -11.282285
               20.691999                      -11.310709
               20.718399                      -11.333713
               20.744801                      -11.350315
                 20.7712                       -11.35976
                 20.7976                      -11.361603
               20.823999                      -11.355727
               20.850401                      -11.342319
               20.876801                      -11.321794
