"# Channel 1"
"# Trace 1"
Frequency; Formatted Data; Formatted Data
+8,55015750000E+009; -2,08897422846E+001; +0,00000000000E+000
+8,64015600000E+009; -2,06914514884E+001; +0,00000000000E+000
+8,73015450000E+009; -1,80099151257E+001; +0,00000000000E+000
+8,82015300000E+009; -1,76107859237E+001; +0,00000000000E+000
+8,91015150000E+009; -1,37748246716E+001; +0,00000000000E+000
+9,00015000000E+009; -1,13453230765E+001; +0,00000000000E+000
+9,09014850000E+009; -8,83102203298E+000; +0,00000000000E+000
+9,18014700000E+009; -7,67181320557E+000; +0,00000000000E+000
+9,27014550000E+009; -6,88982167123E+000; +0,00000000000E+000
+9,36014400000E+009; -6,73692688502E+000; +0,00000000000E+000
+9,45014250000E+009; -6,49387374293E+000; +0,00000000000E+000
+9,54014100000E+009; -6,59030613321E+000; +0,00000000000E+000
+9,63013950000E+009; -6,64674091079E+000; +0,00000000000E+000
+9,72013800000E+009; -6,60392012698E+000; +0,00000000000E+000
+9,81013650000E+009; -6,58432730982E+000; +0,00000000000E+000
+9,90013500000E+009; -6,79042190191E+000; +0,00000000000E+000
+9,99013350000E+009; -6,79674687493E+000; +0,00000000000E+000
+1,00801320000E+010; -6,84411385136E+000; +0,00000000000E+000
+1,01701305000E+010; -6,88600656858E+000; +0,00000000000E+000
+1,02601290000E+010; -7,21021334212E+000; +0,00000000000E+000
+1,03501275000E+010; -7,47800100373E+000; +0,00000000000E+000
+1,04401260000E+010; -8,36020024815E+000; +0,00000000000E+000
+1,05301245000E+010; -7,95340700826E+000; +0,00000000000E+000
+1,06201230000E+010; -7,82624244467E+000; +0,00000000000E+000
+1,07101215000E+010; -7,87954938792E+000; +0,00000000000E+000
+1,08001200000E+010; -7,55285302371E+000; +0,00000000000E+000
+1,08901185000E+010; -8,23108872791E+000; +0,00000000000E+000
+1,09801170000E+010; -8,36356530647E+000; +0,00000000000E+000
+1,10701155000E+010; -8,98193809017E+000; +0,00000000000E+000
+1,11601140000E+010; -9,93015874572E+000; +0,00000000000E+000
+1,12501125000E+010; -1,07291371565E+001; +0,00000000000E+000
+1,13401110000E+010; -9,96686541196E+000; +0,00000000000E+000
+1,14301095000E+010; -1,07774768358E+001; +0,00000000000E+000
+1,15201080000E+010; -1,12513931981E+001; +0,00000000000E+000
+1,16101065000E+010; -1,19545154276E+001; +0,00000000000E+000
+1,17001050000E+010; -1,32959985172E+001; +0,00000000000E+000
+1,17901035000E+010; -1,42007422043E+001; +0,00000000000E+000
+1,18801020000E+010; -1,36239917353E+001; +0,00000000000E+000
+1,19701005000E+010; -1,49522579840E+001; +0,00000000000E+000
+1,20600990000E+010; -1,50721968797E+001; +0,00000000000E+000
+1,21500975000E+010; -1,53310386495E+001; +0,00000000000E+000
+1,22400960000E+010; -1,53184984616E+001; +0,00000000000E+000
+1,23300945000E+010; -1,74160526267E+001; +0,00000000000E+000
+1,24200930000E+010; -1,66809877875E+001; +0,00000000000E+000
+1,25100915000E+010; -1,75891880006E+001; +0,00000000000E+000
+1,26000900000E+010; -1,85084419643E+001; +0,00000000000E+000
+1,26900885000E+010; -1,81944951036E+001; +0,00000000000E+000
+1,27800870000E+010; -1,99399288455E+001; +0,00000000000E+000
+1,28700855000E+010; -2,04100122734E+001; +0,00000000000E+000
+1,29600840000E+010; -1,77318296495E+001; +0,00000000000E+000
+1,30500825000E+010; -1,66017322600E+001; +0,00000000000E+000
+1,31400810000E+010; -1,68637521068E+001; +0,00000000000E+000
+1,32300795000E+010; -1,70083032241E+001; +0,00000000000E+000
+1,33200780000E+010; -1,68840246719E+001; +0,00000000000E+000
+1,34100765000E+010; -1,60477902759E+001; +0,00000000000E+000
+1,35000750000E+010; -1,54441538012E+001; +0,00000000000E+000
+1,35900735000E+010; -1,31685883809E+001; +0,00000000000E+000
+1,36800720000E+010; -1,31370626627E+001; +0,00000000000E+000
+1,37700705000E+010; -1,36836924464E+001; +0,00000000000E+000
+1,38600690000E+010; -1,41216872308E+001; +0,00000000000E+000
+1,39500675000E+010; -1,32048132727E+001; +0,00000000000E+000
+1,40400660000E+010; -1,25971535937E+001; +0,00000000000E+000
+1,41300645000E+010; -1,16811497844E+001; +0,00000000000E+000
+1,42200630000E+010; -1,11454246800E+001; +0,00000000000E+000
+1,43100615000E+010; -9,28103615874E+000; +0,00000000000E+000
+1,44000600000E+010; -9,95879906501E+000; +0,00000000000E+000
+1,44900585000E+010; -9,85639480360E+000; +0,00000000000E+000
+1,45800570000E+010; -9,85088803955E+000; +0,00000000000E+000
+1,46700555000E+010; -1,04426770893E+001; +0,00000000000E+000
+1,47600540000E+010; -9,52759890943E+000; +0,00000000000E+000
+1,48500525000E+010; -9,32881470361E+000; +0,00000000000E+000
+1,49400510000E+010; -8,07083749621E+000; +0,00000000000E+000
+1,50300495000E+010; -8,18163204826E+000; +0,00000000000E+000
+1,51200480000E+010; -8,28452846643E+000; +0,00000000000E+000
