        Frequency / GHz                S1,1/abs,dB
               3,9126999                       -3,653814
               3,9305999                      -3,6713862
               3,9484999                      -3,6878544
               3,9663999                      -3,7032251
               3,9842999                       -3,717504
               4,0022001                      -3,7306983
               4,0201001                      -3,7428189
               4,0380001                       -3,753878
               4,0559001                      -3,7638895
               4,0738001                      -3,7728716
               4,0917001                      -3,7808412
               4,1096001                      -3,7878212
               4,1275001                       -3,793837
                  4,1454                      -3,7989143
                  4,1633                       -3,803083
                  4,1812                      -3,8063759
                  4,1991                       -3,808826
                   4,217                      -3,8104731
                  4,2349                      -3,8113555
                  4,2528                      -3,8115173
                  4,2707                      -3,8110016
                  4,2886                      -3,8098573
                  4,3065                      -3,8081341
               4,3243999                      -3,8058827
               4,3422999                      -3,8031572
               4,3601999                      -3,8000132
               4,3780999                      -3,7965076
               4,3959999                      -3,7926982
               4,4138999                      -3,7886446
               4,4317999                      -3,7844072
               4,4496999                      -3,7800462
               4,4675999                      -3,7756249
               4,4854999                      -3,7712017
               4,5033998                      -3,7668416
               4,5212998                      -3,7626032
               4,5391998                      -3,7585483
               4,5570998                      -3,7547355
               4,5749998                      -3,7512252
               4,5928998                      -3,7480739
               4,6107998                      -3,7453377
               4,6286998                      -3,7430705
               4,6465998                      -3,7413261
               4,6645002                      -3,7401536
               4,6824002                      -3,7396025
               4,7003002                      -3,7397181
               4,7182002                       -3,740544
               4,7361002                      -3,7421204
               4,7540002                      -3,7444851
               4,7719002                      -3,7476747
               4,7898002                      -3,7517208
               4,8077002                      -3,7566514
               4,8256001                      -3,7624952
               4,8435001                       -3,769273
               4,8614001                      -3,7770073
               4,8793001                      -3,7857134
               4,8972001                      -3,7954072
               4,9151001                      -3,8060974
               4,9330001                      -3,8177937
               4,9509001                      -3,8305019
               4,9688001                      -3,8442235
               4,9867001                      -3,8589576
                  5,0046                      -3,8747034
                  5,0225                      -3,8914541
                  5,0404                      -3,9092001
                  5,0583                      -3,9279332
                  5,0762                      -3,9476396
                  5,0941                      -3,9683072
                   5,112                      -3,9899176
                  5,1299                      -4,0124543
                  5,1478                      -4,0358976
                  5,1657                       -4,060225
               5,1835999                      -4,0854168
               5,2014999                      -4,1114506
               5,2193999                      -4,1383018
               5,2372999                      -4,1659455
               5,2551999                        -4,19436
               5,2730999                      -4,2235177
               5,2909999                      -4,2533976
               5,3088999                      -4,2839726
               5,3267999                      -4,3152211
               5,3446999                      -4,3471178
               5,3625998                      -4,3796423
               5,3804998                      -4,4127735
               5,3983998                      -4,4464892
               5,4162998                      -4,4807739
               5,4341998                       -4,515607
               5,4520998                      -4,5509749
               5,4699998                      -4,5868638
               5,4878998                      -4,6232618
               5,5057998                      -4,6601583
               5,5237002                       -4,697545
               5,5416002                      -4,7354171
               5,5595002                      -4,7737715
               5,5774002                      -4,8126062
               5,5953002                      -4,8519221
               5,6132002                      -4,8917245
               5,6311002                      -4,9320176
               5,6490002                      -4,9728104
               5,6669002                      -5,0141137
               5,6848001                      -5,0559423
               5,7027001                      -5,0983093
               5,7206001                       -5,141236
               5,7385001                       -5,184738
               5,7564001                      -5,2288439
               5,7743001                      -5,2735745
               5,7922001                      -5,3189581
               5,8101001                      -5,3650256
               5,8280001                      -5,4118059
               5,8459001                       -5,459336
                  5,8638                      -5,5076503
                  5,8817                      -5,5567851
                  5,8996                      -5,6067811
                  5,9175                        -5,65768
                  5,9354                      -5,7095258
                  5,9533                      -5,7623632
                  5,9712                      -5,8162376
                  5,9891                      -5,8711985
                   6,007                      -5,9272964
                  6,0249                      -5,9845823
               6,0427999                      -6,0431095
               6,0606999                      -6,1029327
               6,0785999                      -6,1641077
               6,0964999                      -6,2266919
               6,1143999                      -6,2907438
               6,1322999                      -6,3563232
               6,1501999                      -6,4234898
               6,1680999                      -6,4923069
               6,1859999                      -6,5628359
               6,2038999                      -6,6351407
               6,2217999                      -6,7092853
               6,2396998                      -6,7853341
               6,2575998                      -6,8633533
               6,2754998                      -6,9434062
               6,2933998                      -7,0255596
               6,3112998                      -7,1098773
               6,3291998                       -7,196425
               6,3470998                      -7,2852653
               6,3649998                      -7,3764613
               6,3829002                      -7,4700745
               6,4008002                       -7,566165
               6,4187002                       -7,664789
               6,4366002                      -7,7660028
               6,4545002                      -7,8698567
               6,4724002                       -7,976399
               6,4903002                      -8,0856735
               6,5082002                      -8,1977188
               6,5261002                      -8,3125671
               6,5440001                      -8,4302451
               6,5619001                      -8,5507718
               6,5798001                      -8,6741545
               6,5977001                       -8,800394
               6,6156001                        -8,92948
               6,6335001                        -9,06139
               6,6514001                      -9,1960839
               6,6693001                      -9,3335095
               6,6872001                      -9,4735983
               6,7051001                      -9,6162593
                   6,723                      -9,7613825
                  6,7409                      -9,9088353
                  6,7588                      -10,058458
                  6,7767                      -10,210064
                  6,7946                      -10,363436
                  6,8125                      -10,518326
                  6,8304                       -10,67445
                  6,8483                      -10,831485
                  6,8662                      -10,989073
                  6,8841                      -11,146813
                   6,902                      -11,304263
               6,9198999                      -11,460937
               6,9377999                      -11,616305
               6,9556999                        -11,7698
               6,9735999                      -11,920812
               6,9914999                      -12,068694
               7,0093999                       -12,21277
               7,0272999                      -12,352338
               7,0451999                      -12,486677
               7,0630999                      -12,615063
               7,0809999                      -12,736773
               7,0988998                      -12,851102
               7,1167998                      -12,957377
               7,1346998                      -13,054969
               7,1525998                      -13,143312
               7,1704998                      -13,221911
               7,1883998                      -13,290363
               7,2062998                      -13,348362
               7,2241998                      -13,395708
               7,2420998                      -13,432315
               7,2600002                      -13,458214
               7,2779002                      -13,473549
               7,2958002                      -13,478569
               7,3137002                      -13,473632
               7,3316002                      -13,459182
               7,3495002                      -13,435742
               7,3674002                      -13,403898
               7,3853002                      -13,364289
               7,4032001                      -13,317587
               7,4211001                      -13,264485
               7,4390001                      -13,205685
               7,4569001                      -13,141884
               7,4748001                      -13,073769
               7,4927001                      -13,001999
               7,5106001                      -12,927211
               7,5285001                      -12,850003
               7,5464001                       -12,77094
               7,5643001                      -12,690546
               7,5822001                      -12,609305
                  7,6001                      -12,527663
                   7,618                      -12,446027
                  7,6359                      -12,364763
                  7,6538                      -12,284207
                  7,6717                       -12,20466
                  7,6896                      -12,126391
                  7,7075                      -12,049644
                  7,7254                       -11,97464
                  7,7433                      -11,901573
                  7,7612                      -11,830624
               7,7790999                      -11,761954
               7,7969999                      -11,695714
               7,8148999                       -11,63204
               7,8327999                      -11,571063
               7,8506999                      -11,512905
               7,8685999                      -11,457687
               7,8864999                      -11,405524
               7,9043999                      -11,356535
               7,9222999                      -11,310835
               7,9401999                      -11,268547
               7,9580998                      -11,229793
               7,9759998                      -11,194705
               7,9938998                      -11,163416
               8,0117998                      -11,136073
               8,0297003                      -11,112829
               8,0475998                      -11,093843
               8,0655003                      -11,079288
               8,0833998                       -11,06935
               8,1013002                       -11,06422
               8,1191998                      -11,064109
               8,1371002                      -11,069239
               8,1549997                      -11,079842
               8,1729002                      -11,096173
               8,1907997                      -11,118496
               8,2087002                      -11,147097
               8,2265997                      -11,182276
               8,2445002                      -11,224358
               8,2623997                      -11,273683
               8,2803001                      -11,330617
               8,2981997                      -11,395551
               8,3161001                      -11,468903
               8,3339996                      -11,551119
               8,3519001                      -11,642681
               8,3697996                      -11,744103
               8,3877001                      -11,855942
               8,4055996                      -11,978802
               8,4235001                      -12,113337
               8,4413996                      -12,260257
                  8,4593                      -12,420343
               8,4771996                      -12,594446
                  8,4951                      -12,783509
               8,5129995                      -12,988573
                  8,5309                      -13,210795
               8,5488005                      -13,451469
                  8,5667                      -13,712049
               8,5846004                      -13,994177
                  8,6025                       -14,29972
               8,6204004                       -14,63081
               8,6382999                      -14,989902
               8,6562004                      -15,379844
               8,6740999                      -15,803955
               8,6920004                      -16,266142
               8,7098999                       -16,77104
               8,7278004                      -17,324181
               8,7456999                       -17,93223
               8,7636003                      -18,603268
               8,7814999                      -19,347129
               8,7994003                      -20,175784
               8,8172998                      -21,103618
               8,8352003                      -22,147264
               8,8530998                      -23,323836
               8,8710003                      -24,644362
               8,8888998                      -26,093431
               8,9068003                      -27,574216
               8,9246998                      -28,800365
               8,9426003                      -29,264803
               8,9604998                      -28,657549
               8,9784002                      -27,292029
               8,9962997                      -25,674637
               9,0142002                      -24,090131
               9,0320997                      -22,634528
               9,0500002                      -21,322959
               9,0678997                      -20,144339
               9,0858002                      -19,081562
               9,1036997                      -18,118031
               9,1216002                      -17,239397
               9,1394997                       -16,43373
               9,1574001                      -15,691229
               9,1752996                      -15,003849
               9,1932001                      -14,364959
               9,2110996                      -13,769053
               9,2290001                      -13,211533
               9,2468996                      -12,688522
               9,2648001                      -12,196726
               9,2826996                      -11,733331
               9,3006001                      -11,295911
               9,3184996                      -10,882363
                  9,3364                       -10,49085
               9,3542995                      -10,119761
                  9,3722                      -9,7676702
               9,3900995                      -9,4333153
                   9,408                      -9,1155676
               9,4259005                      -8,8134136
                  9,4438                       -8,525943
               9,4617004                      -8,2523281
                  9,4796                      -7,9918182
               9,4975004                      -7,7437264
               9,5153999                      -7,5074233
               9,5333004                      -7,2823307
               9,5511999                      -7,0679108
               9,5691004                      -6,8636654
               9,5869999                      -6,6691327
               9,6049004                       -6,483877
               9,6227999                      -6,3074913
               9,6407003                      -6,1395924
               9,6585999                      -5,9798166
               9,6765003                      -5,8278214
               9,6943998                      -5,6832766
               9,7123003                      -5,5458716
               9,7301998                      -5,4153055
               9,7481003                      -5,2912933
               9,7659998                      -5,1735554
               9,7839003                      -5,0618278
               9,8017998                      -4,9558502
               9,8197002                       -4,855375
               9,8375998                      -4,7601592
               9,8555002                      -4,6699667
               9,8733997                      -4,5845703
               9,8913002                      -4,5037471
               9,9091997                      -4,4272816
               9,9271002                      -4,3549616
               9,9449997                      -4,2865818
               9,9629002                      -4,2219463
               9,9807997                      -4,1608588
               9,9987001                      -4,1031334
                 10,0166                      -4,0485882
                 10,0345                      -3,9970475
                 10,0524                      -3,9483441
                 10,0703                      -3,9023161
