        Frequency / GHz                S1,1/abs,dB
                 17,0513                      -7,5581623
               17,069201                      -7,6700677
               17,087099                      -7,7833559
                  17,105                      -7,8979742
                 17,1229                      -8,0138685
                 17,1408                      -8,1309851
               17,158701                      -8,2492711
                 17,1766                      -8,3686739
                 17,1945                      -8,4891446
                 17,2124                      -8,6106364
               17,230301                      -8,7331037
               17,248199                      -8,8565092
                 17,2661                      -8,9808181
                  17,284                      -9,1060014
               17,301901                      -9,2320355
               17,319799                      -9,3589069
                 17,3377                      -9,4866061
                 17,3556                      -9,6151357
               17,373501                      -9,7445034
               17,391399                      -9,8747293
                 17,4093                       -10,00584
                 17,4272                      -10,137874
               17,445101                       -10,27088
               17,462999                      -10,404913
                 17,4809                      -10,540042
                 17,4988                      -10,676344
               17,516701                      -10,813902
               17,534599                      -10,952811
                 17,5525                       -11,09317
                 17,5704                       -11,23509
               17,588301                      -11,378678
               17,606199                      -11,524052
                 17,6241                       -11,67133
                  17,642                       -11,82063
               17,659901                      -11,972069
               17,677799                      -12,125758
                 17,6957                      -12,281801
                 17,7136                      -12,440292
               17,731501                      -12,601312
               17,749399                      -12,764925
                 17,7673                      -12,931171
                 17,7852                      -13,100066
               17,803101                      -13,271591
               17,820999                      -13,445689
                 17,8389                       -13,62226
                 17,8568                      -13,801149
               17,874701                      -13,982142
               17,892599                      -14,164953
                 17,9105                      -14,349216
                 17,9284                      -14,534477
               17,946301                      -14,720178
               17,964199                      -14,905655
                 17,9821                      -15,090116
                      18                      -15,272643

