freq	dB(S11_fitted)
2,83984375000000000E9	-3,63333835550433637E0
2,85937500000000000E9	-3,75330005656662813E0
2,87890625000000000E9	-3,87387273014225730E0
2,89843750000000000E9	-3,99482891115273420E0
2,91796875000000000E9	-4,11593737037238228E0
2,93750000000000000E9	-4,23696485877420681E0
2,96191406250000000E9	-4,38777979341320723E0
2,98632812500000000E9	-4,53765149873033025E0
3,01074218750000000E9	-4,68613732000743521E0
3,03515625000000000E9	-4,83280929774061985E0
3,05957031250000000E9	-4,97725919145359974E0
3,08398437500000000E9	-5,11910307142301413E0
3,10839843750000000E9	-5,25798536277147122E0
3,13281250000000000E9	-5,39358224449323576E0
3,18164062500000000E9	-5,65379856775351364E0
3,23046875000000000E9	-5,89787895236515425E0
3,27929687500000000E9	-6,12454892819504693E0
3,32812500000000000E9	-6,33310897100837789E0
3,37695312500000000E9	-6,52337185014416043E0
3,42578125000000000E9	-6,69557312086149281E0
3,47460937500000000E9	-6,85026839690935674E0
3,52343750000000000E9	-6,98823021973453162E0
3,57226562500000000E9	-7,11035482343427283E0
3,62109375000000000E9	-7,21758572541261767E0
3,66992187500000000E9	-7,31085763342446704E0
3,71875000000000000E9	-7,39106119546914719E0
3,76757812500000000E9	-7,45902689594774682E0
3,81640625000000000E9	-7,51552495850125268E0
3,86523437500000000E9	-7,56127735549815494E0
3,91406250000000000E9	-7,59697779732240708E0
3,96289062500000000E9	-7,62331573720341815E0
4,01171875000000000E9	-7,64100086396719202E0
4,06054687500000000E9	-7,65078517976300443E0
4,10937500000000000E9	-7,65348050466286267E0
4,20703125000000000E9	-7,64121352223396677E0
4,30468750000000000E9	-7,61217051800528477E0
4,40234375000000000E9	-7,57538312612618725E0
4,50000000000000000E9	-7,54056369768773571E0
4,56250000000000000E9	-7,52389610188913416E0
4,62500000000000000E9	-7,51466386973280009E0
4,68750000000000000E9	-7,51535528773065753E0
4,75000000000000000E9	-7,52835910554044396E0
4,81250000000000000E9	-7,55594941189151026E0
4,87500000000000000E9	-7,60027692968959734E0
4,93750000000000000E9	-7,66336282968270055E0
5,00000000000000000E9	-7,74709035081782016E0
5,06250000000000000E9	-7,85318884070363321E0
5,12500000000000000E9	-7,98320415699886077E0
5,18750000000000000E9	-8,13844862313764494E0
5,25000000000000000E9	-8,31992293611666689E0
5,31250000000000000E9	-8,52820177958919245E0
5,37500000000000000E9	-8,76327488977532632E0
5,43750000000000000E9	-9,02433691035949437E0
5,50000000000000000E9	-9,30952421799976904E0
5,54166666662499985E9	-9,51152339716745132E0
5,58333333325000059E9	-9,72148346442068068E0
5,62499999987500132E9	-9,93766933543152930E0
5,66666666650000028E9	-1,01579411501313444E1
5,70833333312500013E9	-1,03797400300127562E1
5,74999999975000087E9	-1,06000996562599847E1
5,79166666637500072E9	-1,08156939429195909E1
5,83333333299999968E9	-1,10229303946644142E1
