"# Channel 1"
"# Trace 1"
Frequency; Formatted Data; Formatted Data
+3,00000000000E+005; +1,43198424830E-001; +0,00000000000E+000
+9,02985000000E+007; +8,04999349318E-002; +0,00000000000E+000
+1,80297000000E+008; +6,81741659037E-002; +0,00000000000E+000
+2,70295500000E+008; +9,09987167572E-003; +0,00000000000E+000
+3,60294000000E+008; -3,74580093654E-002; +0,00000000000E+000
+4,50292500000E+008; -7,15603006924E-002; +0,00000000000E+000
+5,40291000000E+008; -8,76226317943E-002; +0,00000000000E+000
+6,30289500000E+008; -1,03423941767E-001; +0,00000000000E+000
+7,20288000000E+008; -1,72661149842E-001; +0,00000000000E+000
+8,10286500000E+008; -3,01247344339E-001; +0,00000000000E+000
+9,00285000000E+008; -4,03873688611E-001; +0,00000000000E+000
+9,90283500000E+008; -4,53664139952E-001; +0,00000000000E+000
+1,08028200000E+009; -4,94790729488E-001; +0,00000000000E+000
+1,17028050000E+009; -5,38220905591E-001; +0,00000000000E+000
+1,26027900000E+009; -6,56190607251E-001; +0,00000000000E+000
+1,35027750000E+009; -7,32970736655E-001; +0,00000000000E+000
+1,44027600000E+009; -8,12021318344E-001; +0,00000000000E+000
+1,53027450000E+009; -8,64723922645E-001; +0,00000000000E+000
+1,62027300000E+009; -9,62893641408E-001; +0,00000000000E+000
+1,71027150000E+009; -1,01193605450E+000; +0,00000000000E+000
+1,80027000000E+009; -1,04735524012E+000; +0,00000000000E+000
+1,89026850000E+009; -1,01945483211E+000; +0,00000000000E+000
+1,98026700000E+009; -1,06575982218E+000; +0,00000000000E+000
+2,07026550000E+009; -9,69019925469E-001; +0,00000000000E+000
+2,16026400000E+009; -8,56113959059E-001; +0,00000000000E+000
+2,25026250000E+009; -7,62851227600E-001; +0,00000000000E+000
+2,34026100000E+009; -6,17003737473E-001; +0,00000000000E+000
+2,43025950000E+009; -5,23358811529E-001; +0,00000000000E+000
+2,52025800000E+009; -4,66460157006E-001; +0,00000000000E+000
+2,61025650000E+009; -4,76745075006E-001; +0,00000000000E+000
+2,70025500000E+009; -4,72341490269E-001; +0,00000000000E+000
+2,79025350000E+009; -4,98306533645E-001; +0,00000000000E+000
+2,88025200000E+009; -4,83789995042E-001; +0,00000000000E+000
+2,97025050000E+009; -5,03991083737E-001; +0,00000000000E+000
+3,06024900000E+009; -6,05943163891E-001; +0,00000000000E+000
+3,15024750000E+009; -7,94003918594E-001; +0,00000000000E+000
+3,24024600000E+009; -9,72846295943E-001; +0,00000000000E+000
+3,33024450000E+009; -1,20820679821E+000; +0,00000000000E+000
+3,42024300000E+009; -1,48162006439E+000; +0,00000000000E+000
+3,51024150000E+009; -1,61950245825E+000; +0,00000000000E+000
+3,60024000000E+009; -1,84020485920E+000; +0,00000000000E+000
+3,69023850000E+009; -2,14719222344E+000; +0,00000000000E+000
+3,78023700000E+009; -2,60283642314E+000; +0,00000000000E+000
+3,87023550000E+009; -2,84667447093E+000; +0,00000000000E+000
+3,96023400000E+009; -3,29082950402E+000; +0,00000000000E+000
+4,05023250000E+009; -3,61949296436E+000; +0,00000000000E+000
+4,14023100000E+009; -4,01034218555E+000; +0,00000000000E+000
+4,23022950000E+009; -4,27219740861E+000; +0,00000000000E+000
+4,32022800000E+009; -4,20330907270E+000; +0,00000000000E+000
+4,41022650000E+009; -4,41813633385E+000; +0,00000000000E+000
+4,50022500000E+009; -4,17016959210E+000; +0,00000000000E+000
+4,59022350000E+009; -4,50119371446E+000; +0,00000000000E+000
+4,68022200000E+009; -4,22076022981E+000; +0,00000000000E+000
+4,77022050000E+009; -4,16541515759E+000; +0,00000000000E+000
+4,86021900000E+009; -4,12300147448E+000; +0,00000000000E+000
+4,95021750000E+009; -4,11382050640E+000; +0,00000000000E+000
+5,04021600000E+009; -3,87756492005E+000; +0,00000000000E+000
+5,13021450000E+009; -3,85882961772E+000; +0,00000000000E+000
+5,22021300000E+009; -3,72314583432E+000; +0,00000000000E+000
+5,31021150000E+009; -3,96763577355E+000; +0,00000000000E+000
+5,40021000000E+009; -3,97104720756E+000; +0,00000000000E+000
+5,49020850000E+009; -4,27065286470E+000; +0,00000000000E+000
+5,58020700000E+009; -4,69294001087E+000; +0,00000000000E+000
+5,67020550000E+009; -5,26884799386E+000; +0,00000000000E+000
+5,76020400000E+009; -5,77589101578E+000; +0,00000000000E+000
+5,85020250000E+009; -6,43914216531E+000; +0,00000000000E+000
+5,94020100000E+009; -7,49842280208E+000; +0,00000000000E+000
+6,03019950000E+009; -8,26530426247E+000; +0,00000000000E+000
+6,12019800000E+009; -1,01223144304E+001; +0,00000000000E+000
+6,21019650000E+009; -1,13970572766E+001; +0,00000000000E+000
+6,30019500000E+009; -1,41488827407E+001; +0,00000000000E+000
+6,39019350000E+009; -1,89802536154E+001; +0,00000000000E+000
+6,48019200000E+009; -1,80805432681E+001; +0,00000000000E+000
+6,57019050000E+009; -1,41316882195E+001; +0,00000000000E+000
+6,66018900000E+009; -9,95605446529E+000; +0,00000000000E+000
+6,75018750000E+009; -7,75254074077E+000; +0,00000000000E+000
+6,84018600000E+009; -6,53461756556E+000; +0,00000000000E+000
+6,93018450000E+009; -5,78583717739E+000; +0,00000000000E+000
+7,02018300000E+009; -6,13434510028E+000; +0,00000000000E+000
+7,11018150000E+009; -6,12816552449E+000; +0,00000000000E+000
+7,20018000000E+009; -6,56751740738E+000; +0,00000000000E+000
+7,29017850000E+009; -7,85896863449E+000; +0,00000000000E+000
+7,38017700000E+009; -8,54187234334E+000; +0,00000000000E+000
+7,47017550000E+009; -1,00290620091E+001; +0,00000000000E+000
+7,56017400000E+009; -1,16129210512E+001; +0,00000000000E+000
+7,65017250000E+009; -1,04629357689E+001; +0,00000000000E+000
+7,74017100000E+009; -8,79415549547E+000; +0,00000000000E+000
+7,83016950000E+009; -1,13021355355E+001; +0,00000000000E+000
+7,92016800000E+009; -1,17426823984E+001; +0,00000000000E+000
+8,01016650000E+009; -1,42726479424E+001; +0,00000000000E+000
+8,10016500000E+009; -1,71158881901E+001; +0,00000000000E+000
+8,19016350000E+009; -1,74435068624E+001; +0,00000000000E+000
+8,28016200000E+009; -1,94246072439E+001; +0,00000000000E+000
+8,37016050000E+009; -1,90062543252E+001; +0,00000000000E+000
+8,46015900000E+009; -2,18603680837E+001; +0,00000000000E+000
+8,55015750000E+009; -2,85467271997E+001; +0,00000000000E+000
+8,64015600000E+009; -3,23405857337E+001; +0,00000000000E+000
+8,73015450000E+009; -2,97165854702E+001; +0,00000000000E+000
+8,82015300000E+009; -2,56269863558E+001; +0,00000000000E+000
+8,91015150000E+009; -2,11484946631E+001; +0,00000000000E+000
+9,00015000000E+009; -2,11897643144E+001; +0,00000000000E+000
+9,09014850000E+009; -1,73680081987E+001; +0,00000000000E+000
+9,18014700000E+009; -1,77999366904E+001; +0,00000000000E+000
+9,27014550000E+009; -1,55034613113E+001; +0,00000000000E+000
