        Frequency / GHz                S1,1 (W=0.9)/abs,dB
----------------------------------------------------------------------
                     0.1                      0.17646116
              0.12639999                       0.1687505
              0.15279999                      0.15940166
              0.17919999                      0.14851138
              0.20559999                      0.13619538
              0.23199999                      0.12258416
              0.25839999                       0.1078194
              0.28479999                     0.092057788
              0.31119999                     0.075465176
              0.33759999                     0.058219538
              0.36399999                     0.040500859
              0.39039999                     0.022498825
              0.41679999                    0.0044017041
              0.44319999                    -0.013599288
              0.46959999                    -0.031316676
              0.49599999                    -0.048569104
              0.52240002                    -0.065178188
              0.54879999                    -0.080981223
              0.57520002                    -0.095823058
              0.60159999                      -0.1095653
              0.62800002                     -0.12208573
              0.65439999                     -0.13327922
              0.68080002                     -0.14306118
              0.70719999                     -0.15136926
              0.73360002                     -0.15816013
              0.75999999                       -0.163416
              0.78640002                     -0.16713721
              0.81279999                     -0.16934989
              0.83920002                     -0.17009871
              0.86559999                     -0.16945108
              0.89200002                     -0.16749052
              0.91839999                     -0.16431929
              0.94480002                      -0.1600555
              0.97119999                     -0.15482845
              0.99760002                     -0.14878122
                   1.024                     -0.14206339
                  1.0504                     -0.13483183
                  1.0768                     -0.12724796
                  1.1032                      -0.1194757
                  1.1296                     -0.11167711
                   1.156                     -0.10401466
                  1.1824                    -0.096643918
                  1.2088                    -0.089718505
                  1.2352                     -0.08338089
                  1.2616                    -0.077769108
                   1.288                    -0.073009644
                  1.3144                    -0.069219685
                  1.3408                    -0.066505098
                  1.3672                    -0.064959859
                  1.3936                    -0.064666566
                    1.42                    -0.065697116
                  1.4464                    -0.068109741
                  1.4728                    -0.071951538
                  1.4992                    -0.077258617
                  1.5256                    -0.084055578
                   1.552                     -0.09235598
                  1.5784                      -0.1021639
                  1.6048                     -0.11347368
                  1.6312                     -0.12627113
                  1.6576                     -0.14053577
                   1.684                     -0.15623815
                  1.7104                     -0.17334313
                  1.7368                     -0.19181123
                  1.7632                     -0.21159923
                  1.7896                     -0.23266036
                   1.816                     -0.25494575
                  1.8424                      -0.2784059
                  1.8688                     -0.30299169
                  1.8952                     -0.32865365
                  1.9216                     -0.35534602
                   1.948                     -0.38302464
                  1.9744                      -0.4116493
               2.0007999                     -0.44118489
                  2.0272                     -0.47160123
               2.0536001                     -0.50287522
               2.0799999                     -0.53498896
                  2.1064                     -0.56793125
               2.1328001                      -0.6016999
                  2.1592                     -0.63630028
                  2.1856                       -0.671745
               2.2119999                     -0.70805642
                  2.2384                     -0.74526257
               2.2648001                     -0.78340314
               2.2911999                     -0.82252182
                  2.3176                       -0.862674
               2.3440001                     -0.90391932
                  2.3704                     -0.94632761
                  2.3968                     -0.98997129
               2.4231999                      -1.0349326
                  2.4496                      -1.0812973
               2.4760001                       -1.129156
               2.5023999                      -1.1786044
                  2.5288                      -1.2297399
               2.5552001                      -1.2826623
                  2.5816                      -1.3374767
                   2.608                      -1.3942832
               2.6343999                      -1.4531866
                  2.6608                      -1.5142881
               2.6872001                      -1.5776875
               2.7135999                      -1.6434808
                    2.74                      -1.7117612
               2.7664001                       -1.782616
               2.7927999                      -1.8561261
                  2.8192                      -1.9323648
               2.8455999                      -2.0113957
                   2.872                      -2.0932752
               2.8984001                      -2.1780457
               2.9247999                      -2.2657354
                  2.9512                      -2.3563615
               2.9776001                      -2.4499242
               3.0039999                       -2.546402
                  3.0304                      -2.6457601
               3.0567999                       -2.747937
                  3.0832                      -2.8528517
               3.1096001                      -2.9603945
               3.1359999                      -3.0704315
                  3.1624                      -3.1827962
               3.1888001                       -3.297295
               3.2151999                      -3.4136994
                  3.2416                      -3.5317438
               3.2679999                      -3.6511305
                  3.2944                      -3.7715229
               3.3208001                      -3.8925462
               3.3471999                      -4.0137907
                  3.3736                      -4.1348068
               3.4000001                      -4.2551093
               3.4263999                      -4.3741826
                  3.4528                      -4.4914821
               3.4791999                      -4.6064392
                  3.5056                      -4.7184649
               3.5320001                      -4.8269628
               3.5583999                      -4.9313326
                  3.5848                      -5.0309891
               3.6112001                      -5.1253591
               3.6375999                      -5.2139057
                   3.664                      -5.2961366
               3.6903999                       -5.371611
                  3.7168                      -5.4399597
               3.7432001                      -5.5008872
               3.7695999                      -5.5541841
                   3.796                      -5.5997315
               3.8224001                      -5.6375083
               3.8487999                      -5.6675868
                  3.8752                      -5.6901335
               3.9015999                      -5.7054039
                   3.928                      -5.7137387
               3.9544001                      -5.7155486
               3.9807999                      -5.7113101
               4.0071998                       -5.701549
               4.0335999                      -5.6868311
               4.0599999                       -5.667747
                  4.0864                      -5.6449049
               4.1128001                      -5.6189132
               4.1392002                      -5.5903764
               4.1655998                      -5.5598826
               4.1919999                      -5.5279981
