        Frequency / GHz                S1,1 (Fg=-1.37)/abs,dB
               5.7231998                      -6.6733445
               5.7495999                      -6.8217711
                   5.776                      -6.9757943
               5.8024001                       -7.135599
               5.8288002                      -7.3013603
               5.8551998                      -7.4732483
               5.8815999                      -7.6514272
                   5.908                      -7.8360567
               5.9344001                      -8.0272905
               5.9608002                       -8.225279
               5.9871998                      -8.4301721
               6.0135999                      -8.6421143
                    6.04                      -8.8612583
               6.0664001                      -9.0877552
               6.0928001                      -9.3217628
               6.1192002                      -9.5634474
               6.1455998                      -9.8129862
               6.1719999                      -10.070569
                  6.1984                        -10.3364
               6.2248001                      -10.610704
               6.2512002                      -10.893721
               6.2775998                      -11.185719
               6.3039999                      -11.486981
                  6.3304                      -11.797814
               6.3568001                      -12.118548
               6.3832002                      -12.449531
               6.4095998                      -12.791124
               6.4359999                      -13.143696
                  6.4624                      -13.507613
                  6.4888                      -13.883226
               6.5152001                      -14.270851
               6.5416002                      -14.670743
               6.5679998                      -15.083069
               6.5943999                      -15.507853
                  6.6208                      -15.944929
               6.6472001                      -16.393866
               6.6736002                      -16.853869
               6.6999998                      -17.323673
               6.7263999                      -17.801384
                  6.7528                       -18.28433
               6.7792001                      -18.768858
               6.8056002                      -19.250148
               6.8319998                      -19.722049
               6.8583999                      -20.176986
                  6.8848                      -20.606031
                  6.9112                      -20.999199
               6.9376001                      -21.346058
               6.9640002                       -21.63668
               6.9903998                      -21.862795
               7.0167999                      -22.018972
                  7.0432                       -22.10348
               7.0696001                      -22.118582
               7.0960002                       -22.07014
               7.1223998                      -21.966698
               7.1487999                      -21.818278
                  7.1752                      -21.635242
               7.2016001                      -21.427388
               7.2280002                      -21.203386
               7.2543998                      -20.970522
               7.2807999                      -20.734656
                  7.3072                       -20.50033
                  7.3336                      -20.270943
               7.3600001                      -20.048956
               7.3864002                      -19.836077
               7.4127998                      -19.633439
               7.4391999                      -19.441748
                  7.4656                      -19.261408
               7.4920001                       -19.09262
               7.5184002                      -18.935471
               7.5447998                      -18.789996
               7.5711999                      -18.656233
                  7.5976                       -18.53427
               7.6240001                      -18.424276
               7.6504002                      -18.326529
               7.6767998                      -18.241438
               7.7031999                      -18.169565
                  7.7296                      -18.111626
                   7.756                      -18.068514
               7.7824001                        -18.0413
               7.8088002                      -18.031247
               7.8351998                       -18.03982
               7.8615999                      -18.068696
                   7.888                      -18.119792
               7.9144001                       -18.19528
               7.9408002                      -18.297632
               7.9671998                      -18.429661
               7.9935999                      -18.594589
               8.0200005                      -18.796142
               8.0464001                      -19.038659
               8.0727997                      -19.327264
               8.0992002                      -19.668084
               8.1255999                      -20.068561
               8.1520004                      -20.537889
                  8.1784                      -21.087636
               8.2047997                      -21.732669
               8.2312002                      -22.492517
               8.2575998                      -23.393456
               8.2840004                      -24.471687
                  8.3104                      -25.777976
               8.3367996                      -27.382947
               8.3632002                      -29.373498
               8.3895998                      -31.775999
               8.4160004                      -34.075841
                  8.4424                      -34.281266
               8.4687996                      -31.887761
               8.4952002                      -29.027712
               8.5215998                      -26.538639
               8.5480003                      -24.455207
               8.5743999                      -22.692179
               8.6007996                      -21.173612
               8.6272001                      -19.844242
               8.6535997                       -18.66478
               8.6800003                      -17.606912
               8.7063999                      -16.649775
               8.7327995                      -15.777637
               8.7592001                      -14.978372
               8.7855997                       -14.24245
               8.8120003                      -13.562243
               8.8383999                       -12.93155
               8.8648005                      -12.345251
               8.8912001                      -11.799063
               8.9175997                       -11.28936
               8.9440002                      -10.813034
               8.9703999                      -10.367394
               8.9968004                      -9.9500844
                  9.0232                      -9.5590277
               9.0495996                      -9.1923698
               9.0760002                      -8.8484439
               9.1023998                      -8.5257402
               9.1288004                      -8.2228817
                  9.1552                      -7.9386024
               9.1815996                      -7.6717323
               9.2080002                      -7.4211829
               9.2343998                        -7.18594
               9.2608004                      -6.9650508
                  9.2872                      -6.7576239
               9.3135996                       -6.562819
               9.3400002                       -6.379846
               9.3663998                      -6.2079626
               9.3928003                      -6.0464716
               9.4191999                      -5.8947236
               9.4455996                       -5.752114
               9.4720001                      -5.6180836
               9.4983997                      -5.4921225
               9.5248003                      -5.3737686
               9.5511999                      -5.2626095
               9.5775995                      -5.1582828
               9.6040001                      -5.0604778
               9.6303997                      -4.9689387
               9.6568003                      -4.8834587
               9.6831999                      -4.8038845
               9.7096004                      -4.7301163
               9.7360001                      -4.6621007
               9.7623997                      -4.5998338
               9.7888002                      -4.5433579
               9.8151999                      -4.4927565
               9.8416004                      -4.4481521
                   9.868                       -4.409703
               9.8943996                      -4.3775958
               9.9208002                      -4.3520489
               9.9471998                      -4.3332971
               9.9736004                      -4.3215931
                      10                       -4.317204
                 10.0264                      -4.3204043
                 10.0528                      -4.3314671
                 10.0792                      -4.3506695
                 10.1056                      -4.3782779
                  10.132                      -4.4145465
                 10.1584                      -4.4597135
                 10.1848                      -4.5139974
                 10.2112                      -4.5775861
                 10.2376                      -4.6506379
                  10.264                      -4.7332704
                 10.2904                       -4.825553
                 10.3168                      -4.9275051
                 10.3432                        -5.03908
                 10.3696                      -5.1601625
                  10.396                      -5.2905535
                 10.4224                      -5.4299567
                 10.4488                      -5.5779697
                 10.4752                      -5.7340684
                 10.5016                      -5.8975867
                  10.528                      -6.0677077
                 10.5544                      -6.2434413
                 10.5808                      -6.4236127
                 10.6072                      -6.6068486
                 10.6336                       -6.791571
                   10.66                      -6.9759965
                 10.6864                      -7.1581389
                 10.7128                       -7.335837
                 10.7392                      -7.5067891
                 10.7656                      -7.6686038
                  10.792                      -7.8188711
                 10.8184                      -7.9552539
                 10.8448                      -8.0755855
                 10.8712                      -8.1779785
                 10.8976                       -8.260922
                  10.924                      -8.3233759
                 10.9504                      -8.3648315
                 10.9768                      -8.3853403
                 11.0032                      -8.3855076
                 11.0296                      -8.3664566
                  11.056                      -8.3297443
                 11.0824                      -8.2772761
                 11.1088                      -8.2111945
                 11.1352                      -8.1337781
                 11.1616                      -8.0473398
                  11.188                       -7.954147
                 11.2144                      -7.8563538
                 11.2408                       -7.755955
                 11.2672                      -7.6547523
                 11.2936                      -7.5543413
                   11.32                      -7.4561025
                 11.3464                      -7.3612058
                 11.3728                      -7.2706204
                 11.3992                      -7.1851265
                 11.4256                       -7.105331
                  11.452                      -7.0316825
                 11.4784                      -6.9644887
                 11.5048                      -6.9039297
                 11.5312                      -6.8500713
                 11.5576                      -6.8028806
                  11.584                      -6.7622375
                 11.6104                      -6.7279403
                 11.6368                       -6.699723
                 11.6632                      -6.6772587
                 11.6896                      -6.6601712
                  11.716                      -6.6480399
                 11.7424                      -6.6404097
                 11.7688                      -6.6367969
                 11.7952                      -6.6366984
                 11.8216                      -6.6395945
                  11.848                      -6.6449625
                 11.8744                      -6.6522778
                 11.9008                      -6.6610225
                 11.9272                      -6.6706966
                 11.9536                      -6.6808203
                   11.98                      -6.6909392
                 12.0064                      -6.7006388
                 12.0328                      -6.7095372
                 12.0592                      -6.7173014
                 12.0856                      -6.7236455
                  12.112                      -6.7283322
                 12.1384                      -6.7311778
                 12.1648                      -6.7320508
                 12.1912                      -6.7308702
                 12.2176                      -6.7276074
                  12.244                       -6.722277
                 12.2704                      -6.7149388
                 12.2968                      -6.7056905
                 12.3232                       -6.694661
                 12.3496                      -6.6820086
                  12.376                      -6.6679113
                 12.4024                      -6.6525638
                 12.4288                      -6.6361699
                 12.4552                      -6.6189365
                 12.4816                       -6.601071
                  12.508                      -6.5827737
                 12.5344                      -6.5642343
                 12.5608                      -6.5456309
                 12.5872                       -6.527122
                 12.6136                      -6.5088502
                   12.64                       -6.490932
                 12.6664                      -6.4734658
                 12.6928                       -6.456524
                 12.7192                      -6.4401571
                 12.7456                      -6.4243902
                  12.772                      -6.4092273
                 12.7984                      -6.3946482
                 12.8248                      -6.3806146
                 12.8512                      -6.3670696
                 12.8776                      -6.3539368
                  12.904                      -6.3411293
                 12.9304                      -6.3285465
                 12.9568                      -6.3160795
                 12.9832                      -6.3036149
                 13.0096                      -6.2910352
                  13.036                      -6.2782255
                 13.0624                      -6.2650729
                 13.0888                      -6.2514734
                 13.1152                       -6.237332
                 13.1416                      -6.2225669
                  13.168                      -6.2071105
                 13.1944                      -6.1909151
                 13.2208                      -6.1739495
                 13.2472                      -6.1562048
                 13.2736                       -6.137692
                    13.3                      -6.1184451
                 13.3264                      -6.0985168
                 13.3528                      -6.0779832
                 13.3792                       -6.056937
                 13.4056                      -6.0354898
                  13.432                      -6.0137676
                 13.4584                      -5.9919098
                 13.4848                      -5.9700666
                 13.5112                      -5.9483921
                 13.5376                      -5.9270496
                  13.564                      -5.9061965
                 13.5904                      -5.8859966
                 13.6168                      -5.8666016
                 13.6432                       -5.848158
                 13.6696                      -5.8308029
                  13.696                      -5.8146568
                 13.7224                        -5.79983
                 13.7488                      -5.7864115
                 13.7752                      -5.7744759
                 13.8016                      -5.7640762
                  13.828                      -5.7552457
                 13.8544                      -5.7479991
                 13.8808                      -5.7423272
                 13.9072                      -5.7382036
                 13.9336                      -5.7355827
