        Frequency / GHz                S1,1 (Lf=8.1)/abs,dB
               5.6704001                      -6.2958009
               5.6968002                      -6.4295447
               5.7231998                      -6.5702219
               5.7495999                       -6.718051
                   5.776                      -6.8732345
               5.8024001                      -7.0359686
               5.8288002                      -7.2064334
               5.8551998                      -7.3847985
               5.8815999                      -7.5712172
                   5.908                      -7.7658284
               5.9344001                      -7.9687555
               5.9608002                      -8.1801009
               5.9871998                      -8.3999514
               6.0135999                      -8.6283714
                    6.04                      -8.8654051
               6.0664001                       -9.111073
               6.0928001                      -9.3653686
               6.1192002                      -9.6282622
               6.1455998                      -9.8996933
               6.1719999                      -10.179571
                  6.1984                      -10.467773
               6.2248001                      -10.764142
               6.2512002                      -11.068484
               6.2775998                      -11.380565
               6.3039999                      -11.700112
                  6.3304                      -12.026811
               6.3568001                      -12.360302
               6.3832002                      -12.700185
               6.4095998                      -13.046012
               6.4359999                      -13.397295
                  6.4624                      -13.753502
                  6.4888                      -14.114068
               6.5152001                      -14.478387
               6.5416002                      -14.845829
               6.5679998                      -15.215743
               6.5943999                      -15.587465
                  6.6208                      -15.960328
               6.6472001                      -16.333679
               6.6736002                      -16.706882
               6.6999998                      -17.079338
               6.7263999                      -17.450498
                  6.7528                      -17.819872
               6.7792001                      -18.187036
               6.8056002                      -18.551651
               6.8319998                      -18.913461
               6.8583999                      -19.272293
                  6.8848                      -19.628059
                  6.9112                       -19.98075
               6.9376001                      -20.330418
               6.9640002                      -20.677167
               6.9903998                       -21.02113
               7.0167999                      -21.362443
                  7.0432                       -21.70122
               7.0696001                      -22.037519
               7.0960002                      -22.371315
               7.1223998                       -22.70246
               7.1487999                      -23.030642
                  7.1752                      -23.355364
               7.2016001                      -23.675893
               7.2280002                      -23.991238
               7.2543998                      -24.300124
               7.2807999                      -24.600969
                  7.3072                      -24.891889
                  7.3336                      -25.170709
               7.3600001                      -25.435003
               7.3864002                       -25.68217
               7.4127998                      -25.909526
               7.4391999                      -26.114438
                  7.4656                      -26.294493
               7.4920001                      -26.447652
               7.5184002                      -26.572433
               7.5447998                      -26.668049
               7.5711999                      -26.734513
                  7.5976                      -26.772679
               7.6240001                      -26.784219
               7.6504002                      -26.771541
               7.6767998                      -26.737654
               7.7031999                      -26.686007
                  7.7296                      -26.620325
                   7.756                      -26.544436
               7.7824001                      -26.462147
               7.8088002                      -26.377116
               7.8351998                      -26.292782
               7.8615999                      -26.212301
                   7.888                       -26.13851
               7.9144001                      -26.073898
               7.9408002                      -26.020587
               7.9671998                      -25.980307
               7.9935999                      -25.954358
