        Frequency / GHz                S1,1 (W=37.2)/abs,dB
               5.8815999                      -14.508707
                   5.908                      -14.759745
               5.9344001                      -15.030972
               5.9608002                      -15.315034
               5.9871998                      -15.602464
               6.0135999                      -15.881884
                    6.04                      -16.140614
               6.0664001                      -16.365778
               6.0928001                      -16.545836
               6.1192002                      -16.672254
               6.1455998                      -16.740839
               6.1719999                      -16.752263
                  6.1984                      -16.711564
               6.2248001                      -16.626796
               6.2512002                       -16.50729
               6.2775998                      -16.362032
               6.3039999                      -16.198491
                  6.3304                      -16.022011
               6.3568001                      -15.835717
               6.3832002                      -15.640809
               6.4095998                       -15.43712
               6.4359999                      -15.223784
                  6.4624                      -14.999936
                  6.4888                      -14.765302
               6.5152001                      -14.520638
               6.5416002                       -14.26791
               6.5679998                      -14.010268
               6.5943999                      -13.751798
                  6.6208                      -13.497175
               6.6472001                      -13.251257
               6.6736002                      -13.018711
               6.6999998                      -12.803706
               6.7263999                      -12.609689
                  6.7528                      -12.439248
               6.7792001                      -12.294039
               6.8056002                       -12.17477
               6.8319998                      -12.081222
               6.8583999                      -12.012306
                  6.8848                      -11.966143
                  6.9112                      -11.940188
               6.9376001                      -11.931382
               6.9640002                      -11.936355
               6.9903998                      -11.951665
               7.0167999                       -11.97407
                  7.0432                      -12.000817
               7.0696001                      -12.029893
               7.0960002                      -12.060244
               7.1223998                      -12.091884
               7.1487999                      -12.125908
                  7.1752                      -12.164396
               7.2016001                      -12.210219
               7.2280002                      -12.266797
               7.2543998                      -12.337822
               7.2807999                      -12.427012
                  7.3072                      -12.537876
                  7.3336                      -12.673552
               7.3600001                      -12.836682
               7.3864002                      -13.029347
               7.4127998                       -13.25305
               7.4391999                      -13.508749
                  7.4656                      -13.796942
               7.4920001                      -14.117803
               7.5184002                      -14.471379
               7.5447998                      -14.857867
               7.5711999                      -15.277962
                  7.5976                      -15.733279
               7.6240001                      -16.226848
               7.6504002                      -16.763678
               7.6767998                      -17.351377
               7.7031999                      -18.000863
                  7.7296                       -18.72723
                   7.756                      -19.550888
               7.7824001                      -20.499232
               7.8088002                      -21.609141
               7.8351998                      -22.930628
               7.8615999                      -24.530926
                   7.888                      -26.491692
               7.9144001                      -28.853325
               7.9408002                      -31.274016
               7.9671998                      -32.155121
               7.9935999                       -30.40967
               8.0200005                      -27.835491
               8.0464001                      -25.546725
               8.0727997                      -23.685531
               8.0992002                      -22.190714
               8.1255999                      -20.992076
               8.1520004                      -20.036607
                  8.1784                      -19.286721
               8.2047997                      -18.715582
               8.2312002                      -18.303134
               8.2575998                      -18.032845
               8.2840004                      -17.888541
                  8.3104                       -17.85071
               8.3367996                      -17.891629
               8.3632002                      -17.969252
               8.3895998                      -18.021505
               8.4160004                      -17.966552
                  8.4424                       -17.71795
               8.4687996                      -17.216936
               8.4952002                      -16.462342
               8.5215998                      -15.509628
               8.5480003                       -14.43997
               8.5743999                      -13.328358
               8.6007996                       -12.22906
               8.6272001                      -11.175562
               8.6535997                      -10.185984
               8.6800003                      -9.2686303
               8.7063999                      -8.4260485
               8.7327995                      -7.6576084
               8.7592001                      -6.9610373
               8.7855997                      -6.3332867
               8.8120003                      -5.7710164
               8.8383999                      -5.2708397
               8.8648005                      -4.8294459
               8.8912001                       -4.443634
               8.9175997                      -4.1103214
               8.9440002                      -3.8265159
               8.9703999                      -3.5892699
               8.9968004                      -3.3956455
                  9.0232                       -3.242652
               9.0495996                      -3.1272032
               9.0760002                      -3.0460646
               9.1023998                      -2.9958094
               9.1288004                      -2.9727959
                  9.1552                      -2.9731437
               9.1815996                      -2.9927577
               9.2080002                      -3.0273612
               9.2343998                      -3.0725823
               9.2608004                      -3.1240744
