        Frequency - GHz                S1,1 (7)-abs,dB
               3.9305999                      -6.7560335
               3.9484999                      -6.7699996
               3.9663999                      -6.7791888
               3.9842999                      -6.7837367
               4.0022001                      -6.7838175
               4.0201001                      -6.7796395
               4.0380001                      -6.7714405
               4.0559001                      -6.7594876
               4.0738001                      -6.7440648
               4.0917001                      -6.7254779
               4.1096001                      -6.7040419
               4.1275001                       -6.680082
                  4.1454                      -6.6539257
                  4.1633                      -6.6259007
                  4.1812                      -6.5963323
                  4.1991                      -6.5655369
                   4.217                      -6.5338249
                  4.2349                      -6.5014919
                  4.2528                      -6.4688232
                  4.2707                      -6.4360871
                  4.2886                      -6.4035371
                  4.3065                      -6.3714107
               4.3243999                      -6.3399273
               4.3422999                      -6.3092899
               4.3601999                      -6.2796832
               4.3780999                      -6.2512771
               4.3959999                      -6.2242246
               4.4138999                       -6.198661
               4.4317999                      -6.1747078
               4.4496999                      -6.1524718
               4.4675999                      -6.1320453
               4.4854999                       -6.113507
               4.5033998                      -6.0969248
               4.5212998                      -6.0823538
               4.5391998                      -6.0698378
               4.5570998                      -6.0594121
               4.5749998                      -6.0511017
               4.5928998                      -6.0449233
               4.6107998                      -6.0408856
               4.6286998                      -6.0389902
               4.6465998                      -6.0392318
               4.6645002                      -6.0416003
               4.6824002                      -6.0460775
               4.7003002                      -6.0526435
               4.7182002                      -6.0612701
               4.7361002                      -6.0719288
               4.7540002                      -6.0845839
               4.7719002                      -6.0991985
               4.7898002                      -6.1157299
               4.8077002                      -6.1341342
               4.8256001                      -6.1543633
               4.8435001                      -6.1763669
               4.8614001                      -6.2000914
               4.8793001                      -6.2254795
               4.8972001                       -6.252471
               4.9151001                       -6.281003
               4.9330001                      -6.3110105
               4.9509001                      -6.3424212
               4.9688001                      -6.3751613
               4.9867001                      -6.4091521
                  5.0046                      -6.4443114
                  5.0225                      -6.4805507
                  5.0404                      -6.5177781
                  5.0583                      -6.5558932
                  5.0762                      -6.5947906
                  5.0941                      -6.6343594
                   5.112                      -6.6744819
                  5.1299                      -6.7150302
                  5.1478                      -6.7558724
                  5.1657                      -6.7968662
               5.1835999                      -6.8378617
               5.2014999                      -6.8787032
               5.2193999                      -6.9192226
               5.2372999                      -6.9592468
               5.2551999                      -6.9985938
               5.2730999                       -7.037073
               5.2909999                      -7.0744888
               5.3088999                      -7.1106382
               5.3267999                      -7.1453133
               5.3446999                      -7.1783023
               5.3625998                      -7.2093895
               5.3804998                      -7.2383601
               5.3983998                      -7.2649977
               5.4162998                      -7.2890898
               5.4341998                      -7.3104291
               5.4520998                      -7.3288121
               5.4699998                      -7.3440489
               5.4878998                      -7.3559585
               5.5057998                      -7.3643737
               5.5237002                      -7.3691463
               5.5416002                      -7.3701443
               5.5595002                      -7.3672567
               5.5774002                      -7.3603977
               5.5953002                      -7.3495023
               5.6132002                      -7.3345335
               5.6311002                      -7.3154798
               5.6490002                      -7.2923563
               5.6669002                      -7.2652064
               5.6848001                      -7.2340989
               5.7027001                       -7.199128
               5.7206001                       -7.160414
               5.7385001                      -7.1181004
               5.7564001                      -7.0723505
               5.7743001                      -7.0233499
               5.7922001                      -6.9712961
               5.8101001                      -6.9164077
               5.8280001                        -6.85891
               5.8459001                      -6.7990403
                  5.8638                      -6.7370424
                  5.8817                      -6.6731635
                  5.8996                      -6.6076543
                  5.9175                       -6.540764
                  5.9354                      -6.4727403
                  5.9533                      -6.4038262
                  5.9712                      -6.3342582
                  5.9891                      -6.2642671
                   6.007                      -6.1940713
                  6.0249                      -6.1238845
               6.0427999                      -6.0539066
               6.0606999                      -5.9843251
               6.0785999                      -5.9153186
               6.0964999                      -5.8470496
               6.1143999                      -5.7796731
               6.1322999                      -5.7133257
               6.1501999                       -5.648135
               6.1680999                      -5.5842156
               6.1859999                      -5.5216684
               6.2038999                      -5.4605833
               6.2217999                       -5.401037
               6.2396998                      -5.3430946
               6.2575998                      -5.2868128
               6.2754998                      -5.2322353
               6.2933998                      -5.1793941
               6.3112998                      -5.1283145
               6.3291998                      -5.0790116
               6.3470998                      -5.0314907
               6.3649998                       -4.985749
               6.3829002                      -4.9417775
               6.4008002                      -4.8995585
               6.4187002                      -4.8590687
               6.4366002                      -4.8202778
               6.4545002                      -4.7831506
               6.4724002                       -4.747648
               6.4903002                      -4.7137265
               6.5082002                      -4.6813357
               6.5261002                      -4.6504269
               6.5440001                      -4.6209462
               6.5619001                      -4.5928373
               6.5798001                      -4.5660441
               6.5977001                      -4.5405102
               6.6156001                      -4.5161759
               6.6335001                      -4.4929875
               6.6514001                      -4.4708855
               6.6693001                      -4.4498182
               6.6872001                      -4.4297332
               6.7051001                      -4.4105793
                   6.723                      -4.3923104
                  6.7409                      -4.3748847
                  6.7588                      -4.3582619
                  6.7767                      -4.3424088
                  6.7946                      -4.3272941
                  6.8125                      -4.3128934
                  6.8304                      -4.2991883
                  6.8483                      -4.2861633
                  6.8662                      -4.2738108
                  6.8841                      -4.2621262
                   6.902                      -4.2511148
               6.9198999                      -4.2407841
               6.9377999                      -4.2311486
               6.9556999                      -4.2222284
               6.9735999                      -4.2140498
               6.9914999                      -4.2066432
               7.0093999                      -4.2000442
               7.0272999                      -4.1942939
               7.0451999                      -4.1894361
               7.0630999                      -4.1855226
               7.0809999                      -4.1826052
               7.0988998                      -4.1807403
               7.1167998                      -4.1799871
               7.1346998                      -4.1804086
               7.1525998                      -4.1820689
               7.1704998                      -4.1850328
               7.1883998                      -4.1893696
               7.2062998                      -4.1951481
               7.2241998                      -4.2024349
               7.2420998                       -4.211302
               7.2600002                      -4.2218172
               7.2779002                       -4.234049
               7.2958002                      -4.2480662
               7.3137002                      -4.2639337
               7.3316002                      -4.2817168
               7.3495002                      -4.3014803
               7.3674002                      -4.3232835
               7.3853002                      -4.3471863
               7.4032001                      -4.3732449
               7.4211001                      -4.4015115
               7.4390001                      -4.4320397
               7.4569001                      -4.4648733
               7.4748001                      -4.5000607
               7.4927001                      -4.5376388
               7.5106001                      -4.5776476
               7.5285001                      -4.6201201
               7.5464001                      -4.6650878
               7.5643001                      -4.7125751
               7.5822001                       -4.762605
                  7.6001                      -4.8151956
                   7.618                      -4.8703626
                  7.6359                      -4.9281155
                  7.6538                       -4.988461
                  7.6717                      -5.0514002
                  7.6896                      -5.1169329
                  7.7075                      -5.1850514
                  7.7254                      -5.2557468
                  7.7433                      -5.3290027
                  7.7612                      -5.4048012
               7.7790999                      -5.4831188
               7.7969999                      -5.5639279
