        Frequency - GHz                S1,1 (Y=5)-abs,dB
                  3.8769                     -0.82922073
               3.8947999                     -0.87070824
               3.9126999                     -0.91427747
               3.9305999                     -0.96002348
               3.9484999                      -1.0080674
               3.9663999                      -1.0585564
               3.9842999                      -1.1116634
               4.0022001                      -1.1675806
               4.0201001                      -1.2265211
               4.0380001                      -1.2887069
               4.0559001                      -1.3543658
               4.0738001                      -1.4237204
               4.0917001                      -1.4969845
               4.1096001                      -1.5743506
               4.1275001                       -1.655981
                  4.1454                      -1.7420013
                  4.1633                      -1.8324927
                  4.1812                      -1.9274843
                  4.1991                      -2.0269475
                   4.217                      -2.1307929
                  4.2349                      -2.2388649
                  4.2528                      -2.3509433
                  4.2707                      -2.4667393
                  4.2886                      -2.5859055
                  4.3065                      -2.7080292
               4.3243999                      -2.8326464
               4.3422999                      -2.9592457
               4.3601999                      -3.0872774
               4.3780999                      -3.2161613
               4.3959999                      -3.3453026
               4.4138999                      -3.4740978
               4.4317999                      -3.6019506
               4.4496999                       -3.728282
               4.4675999                      -3.8525395
               4.4854999                      -3.9742103
               4.5033998                      -4.0928277
               4.5212998                      -4.2079783
               4.5391998                      -4.3193107
               4.5570998                       -4.426537
               4.5749998                      -4.5294339
               4.5928998                      -4.6278477
               4.6107998                      -4.7216958
               4.6286998                      -4.8109597
               4.6465998                      -4.8956942
               4.6645002                      -4.9760172
               4.6824002                      -5.0521163
               4.7003002                      -5.1242441
               4.7182002                      -5.1927178
               4.7361002                      -5.2579177
               4.7540002                       -5.320283
               4.7719002                      -5.3803115
               4.7898002                      -5.4385491
               4.8077002                      -5.4955938
               4.8256001                      -5.5520781
               4.8435001                      -5.6086666
               4.8614001                        -5.66604
               4.8793001                      -5.7248902
               4.8972001                      -5.7859036
               4.9151001                      -5.8497467
               4.9330001                      -5.9170572
               4.9509001                      -5.9884262
               4.9688001                      -6.0643852
               4.9867001                      -6.1453909
                  5.0046                      -6.2318173
                  5.0225                      -6.3239323
                  5.0404                      -6.4218948
                  5.0583                       -6.525734
                  5.0762                      -6.6353409
                  5.0941                       -6.750455
                   5.112                       -6.870652
                  5.1299                      -6.9953344
                  5.1478                      -7.1237183
                  5.1657                      -7.2548309
               5.1835999                      -7.3875071
               5.2014999                      -7.5203826
               5.2193999                      -7.6519134
               5.2372999                      -7.7803824
               5.2551999                      -7.9039312
               5.2730999                      -8.0205984
               5.2909999                      -8.1283711
               5.3088999                      -8.2252503
               5.3267999                      -8.3093253
               5.3446999                      -8.3788627
               5.3625998                      -8.4323831
               5.3804998                      -8.4687504
               5.3983998                      -8.4872291
               5.4162998                      -8.4875396
               5.4341998                      -8.4698698
               5.4520998                      -8.4348727
               5.4699998                      -8.3836241
               5.4878998                      -8.3175658
               5.5057998                      -8.2384238
               5.5237002                      -8.1481245
               5.5416002                      -8.0486989
               5.5595002                      -7.9422041
               5.5774002                      -7.8306436
               5.5953002                      -7.7159047
               5.6132002                      -7.5997136
               5.6311002                      -7.4835971
               5.6490002                        -7.36886
               5.6669002                      -7.2565755
               5.6848001                      -7.1475831
               5.7027001                      -7.0424911
               5.7206001                      -6.9416909
               5.7385001                      -6.8453706
               5.7564001                      -6.7535401
               5.7743001                      -6.6660501
               5.7922001                      -6.5826235
               5.8101001                      -6.5028832
               5.8280001                      -6.4263829
               5.8459001                      -6.3526423
                  5.8638                      -6.2811771
                  5.8817                      -6.2115286
                  5.8996                      -6.1432931
                  5.9175                      -6.0761423
                  5.9354                       -6.009842
                  5.9533                      -5.9442596
                  5.9712                      -5.8793612
                  5.9891                      -5.8152092
                   6.007                      -5.7519432
                  6.0249                      -5.6897539
               6.0427999                       -5.628854
               6.0606999                      -5.5694447
               6.0785999                      -5.5116751
               6.0964999                      -5.4556078
               6.1143999                      -5.4011766
               6.1322999                      -5.3481614
               6.1501999                      -5.2961588
               6.1680999                      -5.2445656
               6.1859999                      -5.1925725
               6.2038999                      -5.1391754
               6.2217999                      -5.0831921
               6.2396998                      -5.0233097
               6.2575998                      -4.9581359
               6.2754998                      -4.8862708
               6.2933998                      -4.8063929
               6.3112998                      -4.7173501
               6.3291998                      -4.6182443
               6.3470998                      -4.5085178
               6.3649998                      -4.3880088
               6.3829002                      -4.2569954
               6.4008002                      -4.1161976
               6.4187002                      -3.9667532
               6.4366002                      -3.8101778
               6.4545002                      -3.6482814
               6.4724002                      -3.4830951
               6.4903002                      -3.3167741
               6.5082002                      -3.1515185
               6.5261002                      -2.9894886
               6.5440001                      -2.8327452
               6.5619001                      -2.6831933
               6.5798001                      -2.5425447
               6.5977001                      -2.4122895
               6.6156001                      -2.2936797
               6.6335001                      -2.1877209
               6.6514001                      -2.0951651
               6.6693001                      -2.0165124
               6.6872001                      -1.9520102
               6.7051001                      -1.9016602
                   6.723                      -1.8652181
                  6.7409                       -1.842199
                  6.7588                      -1.8318823
                  6.7767                      -1.8333211
                  6.7946                      -1.8453517
                  6.8125                      -1.8666035
                  6.8304                      -1.8955311
                  6.8483                      -1.9304335
                  6.8662                      -1.9694972
                  6.8841                      -2.0108429
                   6.902                       -2.052585
               6.9198999                      -2.0928913
               6.9377999                      -2.1300611
               6.9556999                      -2.1625855
               6.9735999                      -2.1892185
               6.9914999                      -2.2090275
               7.0093999                      -2.2214297
               7.0272999                      -2.2262075
               7.0451999                      -2.2234997
               7.0630999                      -2.2137747
               7.0809999                      -2.1977794
               7.0988998                      -2.1764783
               7.1167998                      -2.1509798
               7.1346998                      -2.1224679
               7.1525998                      -2.0921292
               7.1704998                      -2.0610906
               7.1883998                       -2.030372
               7.2062998                       -2.000844
               7.2241998                      -1.9732035
               7.2420998                      -1.9479568
               7.2600002                      -1.9254183
               7.2779002                      -1.9057131
               7.2958002                      -1.8887984
               7.3137002                      -1.8744756
               7.3316002                      -1.8624267
               7.3495002                      -1.8522379
               7.3674002                      -1.8434402
               7.3853002                      -1.8355348
               7.4032001                      -1.8280397
               7.4211001                      -1.8205108
               7.4390001                      -1.8125727
               7.4569001                      -1.8039416
               7.4748001                      -1.7944385
               7.4927001                      -1.7839953
               7.5106001                      -1.7726581
               7.5285001                      -1.7605748
               7.5464001                      -1.7479817
               7.5643001                      -1.7351843
               7.5822001                      -1.7225352
                  7.6001                      -1.7104064
                   7.618                      -1.6991664
                  7.6359                      -1.6891577
                  7.6538                      -1.6806721
                  7.6717                      -1.6739385
                  7.6896                      -1.6691101
                  7.7075                      -1.6662583
                  7.7254                      -1.6653684
                  7.7433                      -1.6663435
                  7.7612                      -1.6690171
               7.7790999                      -1.6731602
               7.7969999                      -1.6784981
               7.8148999                      -1.6847315
               7.8327999                      -1.6915507
               7.8506999                      -1.6986616
               7.8685999                      -1.7057979
               7.8864999                       -1.712743
               7.9043999                      -1.7193397
               7.9222999                      -1.7255017
               7.9401999                      -1.7312182
               7.9580998                      -1.7365513
               7.9759998                      -1.7416349
               7.9938998                      -1.7466634
               8.0117998                      -1.7518774
               8.0297003                      -1.7575535
               8.0475998                      -1.7639816
               8.0655003                      -1.7714511
               8.0833998                       -1.780235
               8.1013002                      -1.7905732
               8.1191998                       -1.802663
               8.1371002                      -1.8166464
               8.1549997                      -1.8326068
               8.1729002                      -1.8505696
               8.1907997                      -1.8704969
               8.2087002                         -1.8923
               8.2265997                      -1.9158455
               8.2445002                      -1.9409652
               8.2623997                      -1.9674701
               8.2803001                      -1.9951654
               8.2981997                      -2.0238672
               8.3161001                      -2.0534119
               8.3339996                      -2.0836739
               8.3519001                       -2.114577
               8.3697996                      -2.1460983
               8.3877001                      -2.1782751
               8.4055996                      -2.2112094
               8.4235001                      -2.2450604
               8.4413996                      -2.2800418
                  8.4593                      -2.3164109
               8.4771996                      -2.3544633
                  8.4951                      -2.3945115
               8.5129995                      -2.4368811
                  8.5309                      -2.4818906
               8.5488005                      -2.5298428
                  8.5667                      -2.5810158
               8.5846004                      -2.6356498
                  8.6025                      -2.6939441
               8.6204004                       -2.756054
               8.6382999                      -2.8220939
               8.6562004                      -2.8921283
               8.6740999                      -2.9661922
               8.6920004                      -3.0442877
               8.7098999                      -3.1263993
               8.7278004                      -3.2125007
               8.7456999                       -3.302573
               8.7636003                      -3.3966115
               8.7814999                      -3.4946413
               8.7994003                      -3.5967267
               8.8172998                      -3.7029831
               8.8352003                      -3.8135805
               8.8530998                      -3.9287538
               8.8710003                      -4.0487993
               8.8888998                      -4.1740779
               8.9068003                       -4.305007
               8.9246998                      -4.4420606
               8.9426003                      -4.5857517
               8.9604998                       -4.736633
               8.9784002                      -4.8952735
               8.9962997                      -5.0622511
               9.0142002                      -5.2381401
               9.0320997                      -5.4234919
               9.0500002                      -5.6188281
               9.0678997                      -5.8246176
               9.0858002                      -6.0412688
               9.1036997                      -6.2691108
               9.1216002                      -6.5083791
               9.1394997                      -6.7591951
               9.1574001                      -7.0215489
               9.1752996                      -7.2952697
               9.1932001                      -7.5800023
               9.2110996                      -7.8751645
               9.2290001                      -8.1799099
               9.2468996                       -8.493072
               9.2648001                      -8.8130996
               9.2826996                      -9.1379899
               9.3006001                      -9.4652088
               9.3184996                      -9.7916109
                  9.3364                      -10.113371
               9.3542995                       -10.42594
                  9.3722                      -10.724051
               9.3900995                      -11.001797
                   9.408                      -11.252824
               9.4259005                      -11.470632
                  9.4438                      -11.649026
               9.4617004                      -11.782641
                  9.4796                      -11.867494
               9.4975004                      -11.901449
               9.5153999                      -11.884502
               9.5333004                        -11.8188
               9.5511999                      -11.708403
               9.5691004                      -11.558837
               9.5869999                      -11.376539
               9.6049004                      -11.168305
               9.6227999                      -10.940817
               9.6407003                      -10.700294
               9.6585999                      -10.452275
               9.6765003                      -10.201521
               9.6943998                      -9.9519875
               9.7123003                      -9.7068728
               9.7301998                      -9.4686825
               9.7481003                      -9.2393225
               9.7659998                      -9.0201863
               9.7839003                        -8.81224
               9.8017998                      -8.6161043
               9.8197002                      -8.4321252
               9.8375998                      -8.2604384
               9.8555002                      -8.1010269
               9.8733997                      -7.9537703
               9.8913002                      -7.8184945
               9.9091997                      -7.6950059
               9.9271002                      -7.5831364
               9.9449997                      -7.4827721
               9.9629002                      -7.3938836
               9.9807997                       -7.316554
               9.9987001                      -7.2509971
                 10.0166                      -7.1975767
                 10.0345                      -7.1568196
                 10.0524                      -7.1294253
                 10.0703                      -7.1162745
                 10.0882                      -7.1184297
                 10.1061                      -7.1371406
                  10.124                      -7.1738459
                 10.1419                      -7.2301786
                 10.1598                      -7.3079705
                 10.1777                      -7.4092665
                 10.1956                      -7.5363429
                 10.2135                      -7.6917325
                 10.2314                      -7.8782687
                 10.2493                      -8.0991396
                 10.2672                      -8.3579671
                 10.2851                      -8.6589088
                  10.303                      -9.0068088
                 10.3209                      -9.4073931
                 10.3388                      -9.8675516
                 10.3567                      -10.395731
                 10.3746                      -11.002511
                 10.3925                      -11.701462
                 10.4104                      -12.510462
                 10.4283                      -13.453815
                 10.4462                      -14.565808
                 10.4641                      -15.897028
                  10.482                      -17.526339
                 10.4999                      -19.585301
                 10.5178                      -22.310301
                 10.5357                      -26.124831
                 10.5536                      -30.865986
                 10.5715                       -29.60237
                 10.5894                      -24.786912
                 10.6073                      -21.243988
                 10.6252                      -18.652958
                 10.6431                       -16.64684
                  10.661                      -15.026061
                 10.6789                      -13.677301
                 10.6968                      -12.531233
                 10.7147                      -11.542624
                 10.7326                      -10.680379
                 10.7505                      -9.9221871
                 10.7684                      -9.2514578
                 10.7863                      -8.6554705
                 10.8042                      -8.1242061
                 10.8221                      -7.6495794
                   10.84                      -7.2249194
                 10.8579                      -6.8446125
