        Frequency - GHz                S1,1 (Lgnd=15.25)-abs,dB
               4.0201001                      -8.5819883
               4.0380001                      -8.4611171
               4.0559001                      -8.3423758
               4.0738001                      -8.2259044
               4.0917001                      -8.1118288
               4.1096001                      -8.0002636
               4.1275001                      -7.8913093
                  4.1454                      -7.7850564
                  4.1633                      -7.6815833
                  4.1812                      -7.5809577
                  4.1991                      -7.4832379
                   4.217                      -7.3884737
                  4.2349                      -7.2967021
                  4.2528                      -7.2079572
                  4.2707                      -7.1222599
                  4.2886                      -7.0396283
                  4.3065                      -6.9600695
               4.3243999                      -6.8835864
               4.3422999                      -6.8101743
               4.3601999                      -6.7398218
               4.3780999                       -6.672514
               4.3959999                       -6.608229
               4.4138999                        -6.54694
               4.4317999                      -6.4886155
               4.4496999                      -6.4332192
               4.4675999                      -6.3807096
               4.4854999                      -6.3310431
               4.5033998                      -6.2841706
               4.5212998                      -6.2400381
               4.5391998                      -6.1985912
               4.5570998                      -6.1597683
               4.5749998                      -6.1235065
               4.5928998                      -6.0897396
               4.6107998                      -6.0583988
               4.6286998                      -6.0294118
               4.6465998                      -6.0027045
               4.6645002                      -5.9781987
               4.6824002                      -5.9558156
               4.7003002                      -5.9354734
               4.7182002                      -5.9170892
               4.7361002                      -5.9005765
               4.7540002                      -5.8858518
               4.7719002                       -5.872823
               4.7898002                      -5.8614047
               4.8077002                      -5.8515056
               4.8256001                      -5.8430345
               4.8435001                      -5.8359015
               4.8614001                      -5.8300151
               4.8793001                       -5.825284
               4.8972001                      -5.8216177
               4.9151001                       -5.818926
               4.9330001                      -5.8171194
               4.9509001                      -5.8161114
               4.9688001                      -5.8158124
               4.9867001                      -5.8161406
                  5.0046                      -5.8170093
                  5.0225                      -5.8183408
                  5.0404                      -5.8200524
                  5.0583                      -5.8220712
                  5.0762                      -5.8243225
                  5.0941                      -5.8267335
                   5.112                      -5.8292414
                  5.1299                      -5.8317782
                  5.1478                      -5.8342852
                  5.1657                      -5.8367032
               5.1835999                       -5.838981
               5.2014999                      -5.8410668
               5.2193999                      -5.8429143
               5.2372999                      -5.8444835
               5.2551999                      -5.8457336
               5.2730999                      -5.8466297
               5.2909999                      -5.8471399
               5.3088999                       -5.847238
               5.3267999                      -5.8468982
               5.3446999                      -5.8461003
               5.3625998                      -5.8448266
               5.3804998                      -5.8430624
               5.3983998                      -5.8407959
               5.4162998                      -5.8380183
               5.4341998                      -5.8347225
               5.4520998                      -5.8309084
               5.4699998                      -5.8265696
               5.4878998                      -5.8217107
               5.5057998                      -5.8163341
               5.5237002                      -5.8104436
               5.5416002                      -5.8040471
               5.5595002                      -5.7971521
               5.5774002                       -5.789767
               5.5953002                      -5.7819059
               5.6132002                      -5.7735805
               5.6311002                       -5.764803
               5.6490002                      -5.7555893
               5.6669002                      -5.7459558
               5.6848001                      -5.7359208
               5.7027001                      -5.7255005
               5.7206001                      -5.7147159
               5.7385001                      -5.7035888
               5.7564001                      -5.6921395
               5.7743001                      -5.6803913
               5.7922001                      -5.6683694
               5.8101001                      -5.6560985
               5.8280001                      -5.6436067
               5.8459001                      -5.6309217
                  5.8638                      -5.6180748
                  5.8817                      -5.6050946
                  5.8996                      -5.5920174
                  5.9175                      -5.5788758
                  5.9354                      -5.5657053
                  5.9533                      -5.5525468
                  5.9712                      -5.5394365
                  5.9891                      -5.5264196
                   6.007                      -5.5135356
                  6.0249                      -5.5008318
               6.0427999                      -5.4883528
               6.0606999                      -5.4761489
               6.0785999                      -5.4642699
               6.0964999                      -5.4527662
               6.1143999                      -5.4416907
               6.1322999                      -5.4310988
               6.1501999                       -5.421047
               6.1680999                      -5.4115902
               6.1859999                      -5.4027879
               6.2038999                      -5.3946996
               6.2217999                      -5.3873846
               6.2396998                      -5.3809043
               6.2575998                      -5.3753206
               6.2754998                       -5.370695
               6.2933998                      -5.3670887
               6.3112998                      -5.3645653
               6.3291998                      -5.3631874
               6.3470998                      -5.3630175
               6.3649998                      -5.3641159
               6.3829002                       -5.366545
               6.4008002                      -5.3703664
               6.4187002                      -5.3756387
               6.4366002                       -5.382421
               6.4545002                      -5.3907725
               6.4724002                      -5.4007488
               6.4903002                      -5.4124061
               6.5082002                      -5.4257955
               6.5261002                      -5.4409731
               6.5440001                      -5.4579862
               6.5619001                      -5.4768856
               6.5798001                      -5.4977146
               6.5977001                      -5.5205181
               6.6156001                       -5.545338
               6.6335001                      -5.5722146
               6.6514001                       -5.601183
               6.6693001                      -5.6322772
               6.6872001                      -5.6655286
               6.7051001                      -5.7009655
                   6.723                      -5.7386126
                  6.7409                      -5.7784906
                  6.7588                      -5.8206197
                  6.7767                      -5.8650147
                  6.7946                      -5.9116845
                  6.8125                      -5.9606402
                  6.8304                      -6.0118818
                  6.8483                      -6.0654121
                  6.8662                      -6.1212242
                  6.8841                      -6.1793117
                   6.902                      -6.2396579
               6.9198999                      -6.3022473
               6.9377999                      -6.3670551
               6.9556999                      -6.4340543
               6.9735999                      -6.5032112
               6.9914999                       -6.574487
               7.0093999                      -6.6478362
               7.0272999                        -6.72321
               7.0451999                      -6.8005502
               7.0630999                      -6.8797947
               7.0809999                      -6.9608742
               7.0988998                      -7.0437122
               7.1167998                      -7.1282252
               7.1346998                      -7.2143231
               7.1525998                      -7.3019082
               7.1704998                      -7.3908737
               7.1883998                       -7.481109
               7.2062998                      -7.5724894
               7.2241998                      -7.6648877
               7.2420998                      -7.7581651
               7.2600002                      -7.8521774
               7.2779002                      -7.9467683
               7.2958002                      -8.0417759
               7.3137002                      -8.1370299
               7.3316002                      -8.2323506
               7.3495002                      -8.3275512
               7.3674002                      -8.4224392
               7.3853002                      -8.5168109
               7.4032001                      -8.6104612
               7.4211001                      -8.7031731
               7.4390001                      -8.7947278
               7.4569001                      -8.8849031
               7.4748001                      -8.9734687
               7.4927001                      -9.0601973
               7.5106001                      -9.1448554
               7.5285001                      -9.2272131
               7.5464001                      -9.3070396
               7.5643001                      -9.3841075
               7.5822001                      -9.4581932
                  7.6001                       -9.529082
                   7.618                      -9.5965623
                  7.6359                      -9.6604351
                  7.6538                      -9.7205105
                  7.6717                      -9.7766121
                  7.6896                      -9.8285774
                  7.7075                       -9.876259
                  7.7254                       -9.919528
                  7.7433                      -9.9582691
                  7.7612                      -9.9923905
               7.7790999                      -10.021818
               7.7969999                      -10.046497
               7.8148999                      -10.066394
               7.8327999                      -10.081496
               7.8506999                      -10.091809
               7.8685999                       -10.09736
               7.8864999                      -10.098196
               7.9043999                       -10.09438
               7.9222999                      -10.085993
               7.9401999                      -10.073135
               7.9580998                      -10.055917
               7.9759998                      -10.034465
               7.9938998                      -10.008917
               8.0117998                      -9.9794231
               8.0297003                      -9.9461404
               8.0475998                       -9.909234
               8.0655003                       -9.868874
               8.0833998                      -9.8252396
               8.1013002                      -9.7785072
               8.1191998                      -9.7288598
               8.1371002                      -9.6764796
               8.1549997                      -9.6215496
               8.1729002                      -9.5642489
               8.1907997                      -9.5047594
               8.2087002                      -9.4432559
               8.2265997                      -9.3799109
               8.2445002                      -9.3148941
               8.2623997                      -9.2483708
               8.2803001                      -9.1804985
               8.2981997                      -9.1114328
               8.3161001                      -9.0413229
               8.3339996                      -8.9703096
               8.3519001                      -8.8985327
               8.3697996                      -8.8261229
               8.3877001                      -8.7532034
               8.4055996                      -8.6798953
               8.4235001                      -8.6063109
               8.4413996                      -8.5325577
                  8.4593                       -8.458736
               8.4771996                      -8.3849421
                  8.4951                      -8.3112648
               8.5129995                      -8.2377896
                  8.5309                      -8.1645928
               8.5488005                      -8.0917488
                  8.5667                       -8.019325
               8.5846004                      -7.9473837
                  8.6025                      -7.8759842
               8.6204004                      -7.8051782
               8.6382999                      -7.7350147
               8.6562004                      -7.6655363
               8.6740999                      -7.5967855
               8.6920004                      -7.5287949
               8.7098999                      -7.4615976
               8.7278004                      -7.3952208
               8.7456999                      -7.3296887
               8.7636003                      -7.2650224
               8.7814999                      -7.2012379
               8.7994003                       -7.138351
               8.8172998                      -7.0763724
               8.8352003                      -7.0153099
               8.8530998                       -6.955171
               8.8710003                      -6.8959564
               8.8888998                      -6.8376693
               8.9068003                      -6.7803084
               8.9246998                      -6.7238705
               8.9426003                      -6.6683513
               8.9604998                      -6.6137441
               8.9784002                      -6.5600419
               8.9962997                      -6.5072359
               9.0142002                      -6.4553137
               9.0320997                      -6.4042673
               9.0500002                      -6.3540829
               9.0678997                      -6.3047498
               9.0858002                      -6.2562522
               9.1036997                      -6.2085794
               9.1216002                       -6.161717
               9.1394997                      -6.1156503
               9.1574001                      -6.0703664
               9.1752996                       -6.025851
               9.1932001                      -5.9820915
               9.2110996                      -5.9390739
               9.2290001                      -5.8967854
               9.2468996                      -5.8552127
